comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000263;NA;.000099;.000200;.000270;.000416;4;647
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000300;NA;.000064;.000108;.000141;.000416;5;555
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000488;NA;.000065;.000097;.000131;.000833;4;472
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000475;NA;.000065;.000145;.000272;.000833;4;476
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000472;NA;.000072;.000214;.000287;.000833;4;485
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000297;NA;.000084;.000092;.000119;.000416;4;756
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000468;NA;.000063;.000190;.000243;.000416;4;544
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000453;NA;.000071;.000100;.000161;.000833;4;550
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000249;NA;.000067;.000085;.000136;.000416;4;623
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000257;NA;.000058;.000075;.000130;.000416;4;522
0.03;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000472;NA;.000075;.000105;.000247;.000833;4;557
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000282;NA;.000064;.000207;.000256;.000833;4;509
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000275;NA;.000058;.000220;.000271;.000416;4;527
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000487;NA;.000047;.000092;.000259;.000833;4;468
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000184;NA;.000073;.000079;.000104;.000416;4;838
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000266;NA;.000078;.000101;.000158;.000416;4;682
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000244;NA;.000065;.000065;.000089;.000416;4;588
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000264;NA;.000078;.000071;.000101;.000416;4;775
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000261;NA;.000058;.000116;.000251;.000833;4;480
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000263;NA;.000062;.000126;.000249;.000833;4;490
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000270;NA;.000077;.000142;.000199;.000416;4;589
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000276;NA;.000076;.000095;.000121;.000416;4;568
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000691;NA;.000060;.000135;.000183;.000833;4;373
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000233;NA;.000067;.000085;.000121;.000416;4;686
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000262;NA;.000082;.000089;.000133;.000416;4;706
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000257;NA;.000066;.000092;.000120;.000416;4;666
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000258;NA;.000063;.000074;.000094;.000416;4;686
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000244;NA;.000064;.000060;.000075;.000416;4;618
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000235;NA;.000064;.000068;.000101;.000416;4;600
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000259;NA;.000088;.000176;.000237;.000833;4;590
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000218;NA;.000078;.000087;.000135;.000416;4;750
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000262;NA;.000067;.000102;.000129;.000416;4;635
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000274;NA;.000066;.000097;.000142;.000416;4;688
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000717;NA;.000079;.000096;.000128;.000833;4;385
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000474;NA;.000063;.000180;.000238;.000833;4;440
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000248;NA;.000067;.000084;.000119;.000416;4;637
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000269;NA;.000077;.000151;.000192;.000416;4;616
0.02;3;1;0;4;512;41;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000233;NA;.000065;.000082;.000105;.000416;4;582
