comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000496;NA;.000060;.000179;.000332;.000833;3;454
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000253;NA;.000073;.000117;.000221;.000416;3;555
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000278;NA;.000073;.000123;.000181;.000416;3;563
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000267;NA;.000073;.000122;.000205;.000416;3;557
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000238;NA;.000112;.000190;.000268;.000833;3;675
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000469;NA;.000065;.000098;.000223;.000416;3;510
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000264;NA;.000075;.000082;.000106;.000416;3;652
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000275;NA;.000103;.000166;.000214;.000833;3;640
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000495;NA;.000117;.000249;.000351;.000833;3;516
0.03;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000509;NA;.000091;.000153;.000348;.000833;3;540
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000463;NA;.000065;.000102;.000184;.000833;3;463
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000473;NA;.000054;.000125;.000219;.000833;3;385
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000253;NA;.000080;.000102;.000204;.000416;5;694
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000264;NA;.000070;.000117;.000209;.000833;5;555
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000260;NA;.000077;.000144;.000183;.000416;3;573
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000496;NA;.000047;.000120;.000204;.000833;3;400
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000259;NA;.000071;.000103;.000171;.000416;3;647
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000165;NA;.000073;.000096;.000183;.000416;3;650
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000468;NA;.000063;.000096;.000193;.000833;3;475
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000471;NA;.000049;.000108;.000205;.000833;3;362
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000256;NA;.000066;.000167;.000250;.000833;3;480
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000468;NA;.000061;.000113;.000269;.000833;3;428
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000256;NA;.000062;.000159;.000238;.000833;3;452
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000263;NA;.000067;.000123;.000282;.000833;3;509
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000258;NA;.000066;.000106;.000219;.000416;3;521
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000270;NA;.000076;.000107;.000190;.000416;3;706
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000261;NA;.000070;.000168;.000253;.000416;3;582
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000162;NA;.000069;.000093;.000166;.000416;6;726
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000257;NA;.000063;.000146;.000221;.000416;3;515
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;25000;1;0;1;0;1;.000715;NA;.000093;.000180;.000259;.001250;3;383
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000251;NA;.000067;.000090;.000164;.000416;3;561
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000255;NA;.000063;.000149;.000214;.000833;3;495
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000276;NA;.000076;.000119;.000204;.000416;3;662
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000260;NA;.000070;.000145;.000194;.000416;3;611
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000260;NA;.000062;.000133;.000231;.000833;3;485
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000265;NA;.000067;.000129;.000195;.000416;3;561
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000272;NA;.000069;.000191;.000269;.000833;3;514
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000264;NA;.000062;.000153;.000231;.000833;3;510
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000246;NA;.000058;.000100;.000200;.000416;3;541
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;10000;1;0;1;0;1;.000268;NA;.000079;.000122;.000195;.000416;3;600
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000266;NA;.000068;.000132;.000251;.000833;7;560
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000256;NA;.000070;.000109;.000179;.000416;3;594
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000260;NA;.000072;.000169;.000214;.000416;3;550
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000243;NA;.000064;.000164;.000239;.000416;3;531
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000468;NA;.000064;.000142;.000267;.000833;3;436
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000245;NA;.000066;.000086;.000112;.000416;3;587
0.02;3;1;0;4;512;46;1;0;5;10000;10000;0;1000;1;0;1;0;1;.000280;NA;.000102;.000134;.000213;.000833;3;675
