comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000259;NA;.000035;.000119;.000157;.000416;4;487
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000253;NA;.000037;.000037;.000078;.000416;4;506
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000256;NA;.000027;.000048;.000076;.000416;4;480
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000256;NA;.000038;.000053;.000089;.000416;4;566
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000929;NA;.000057;.000086;.000155;.000833;4;350
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000205;NA;.000035;.000042;.000073;.000416;4;607
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000176;NA;.000037;.000040;.000090;.000416;4;621
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000478;NA;.000044;.000082;.000127;.000833;4;420
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000250;NA;.000045;.000045;.000077;.000416;4;642
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000271;NA;.000050;.000081;.000136;.000416;4;568
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000709;NA;.000052;.000132;.000261;.000833;4;404
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000135;NA;.000040;.000039;.000061;.000416;4;763
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000707;NA;.000032;.000111;.000162;.000833;4;288
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000177;NA;.000042;.000039;.000059;.000416;4;607
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000224;NA;.000038;.000042;.000072;.000416;4;568
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000265;NA;.000055;.000063;.000119;.000416;4;588
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000270;NA;.000053;.000049;.000106;.000416;4;626
