comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.14;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006337;NA;.001690;.004848;.004837;.010000;4;35
1.98;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006310;NA;.001840;.001900;.001896;.010000;3;50
2.02;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006051;NA;.002325;.000974;.000963;.010000;4;60
2.14;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005808;NA;.002098;.001216;.001204;.010000;4;60
2.18;259;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006303;NA;.001630;.001130;.001116;.010000;4;50
2.22;259;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006254;NA;.001548;.000942;.000931;.010000;4;54
2.02;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.011585;NA;.001249;.006006;.005998;.020000;4;28
2.22;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.011599;NA;.001679;.001278;.001269;.010000;4;40
2.16;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006166;NA;.001682;.001180;.001169;.010000;4;60
2.00;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006242;NA;.001183;.000939;.000927;.010000;4;54
2.01;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006234;NA;.001959;.001284;.001272;.010000;4;50
2.16;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.004791;NA;.001697;.000802;.000798;0;3;55
2.17;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.017027;NA;.001113;.001011;.001003;.020000;4;27
2.24;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006214;NA;.001645;.001107;.001085;.010000;4;66
2.02;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005492;NA;.001187;.000372;.000367;.010000;3;60
1.99;259;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005213;NA;.001945;.000947;.000934;.010000;4;70
2.01;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006039;NA;.002557;.001339;.001326;.010000;4;60
2.15;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.016426;NA;.000643;.003216;.003209;.020000;4;18
2.27;259;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006236;NA;.001526;.000994;.000990;.010000;3;50
1.98;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.011471;NA;.000914;.001698;.001690;.010000;4;41
1.99;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005137;NA;.001628;.001122;.001117;.010000;3;60
2.02;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.003794;NA;.001606;.000672;.000660;0;4;75
2.21;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005152;NA;.001887;.000905;.000893;0;4;66
2.00;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.005012;NA;.001570;.001106;.001095;0;3;66
2.18;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006175;NA;.001668;.003430;.003417;.010000;4;33
2.04;260;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006241;NA;.001797;.001269;.001258;.010000;4;60
2.00;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006197;NA;.001104;.002869;.002857;.010000;4;46
1.99;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.006210;NA;.001613;.000741;.000730;.010000;4;60
2.00;259;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.003242;NA;.001617;.001207;.001203;0;3;62
1.96;261;1;0;1;32;55;1;0;5;10000;10000;0;25000;10000;0;0;0;1;.003165;NA;.002170;.001192;.001181;0;4;87
2.17;260;1;0;1;32;55;1;0;5;10000;10000;0;10000;10000;0;0;0;1;.006340;NA;.001762;.001211;.001206;.010000;3;60
