comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.09;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.008402;NA;.011776;.013907;.013895;.020000;6;70
2.19;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.012710;NA;.011475;.011203;.011192;.020000;6;64
2.08;262;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007874;NA;.010521;.013166;.013156;.020000;6;69
2.22;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007514;NA;.010405;.010584;.010571;.020000;6;73
2.24;262;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.005916;NA;.012468;.009864;.009851;.020000;6;95
1.96;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007287;NA;.008897;.011560;.011548;.020000;6;66
1.97;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.004604;NA;.013978;.010774;.010754;.020000;6;110
1.96;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.014032;NA;.011864;.012652;.012645;.030000;6;64
1.96;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.004036;NA;.011197;.009612;.009601;.010000;6;105
2.26;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.013615;NA;.011104;.013305;.013301;.030000;6;60
2.08;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007307;NA;.010860;.013564;.013552;.020000;6;68
1.97;262;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.008358;NA;.013717;.012342;.012330;.020000;6;84
2.08;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007406;NA;.012001;.012224;.012211;.020000;6;77
2.14;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007221;NA;.009188;.011794;.011789;.020000;6;63
2.27;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.007147;NA;.011018;.012029;.012009;.020000;6;68
2.21;264;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.013471;NA;.008069;.011536;.011516;.020000;6;50
2.32;263;1;0;1;32;57;1;0;5;10000;10000;0;25000;100;0;0;0;1;.006961;NA;.008492;.013894;.013883;.020000;6;54
