comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000274;NA;.000026;.000016;.000044;.000416;3;543
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000253;NA;.000022;.000111;.000142;.000416;3;400
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000279;NA;.000033;.000012;.000019;.000416;3;613
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000255;NA;.000035;.000016;.000028;.000416;3;600
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000271;NA;.000034;.000045;.000120;.000416;3;566
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000182;NA;.000031;.000013;.000026;.000416;3;700
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000284;NA;.000053;.000030;.000055;.000416;3;635
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000254;NA;.000034;.000015;.000022;.000416;3;586
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000274;NA;.000036;.000055;.000115;.000416;3;558
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000252;NA;.000050;.000032;.000059;.000416;7;706
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000482;NA;.000023;.000036;.000209;.000416;5;438
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000259;NA;.000035;.000019;.000052;.000416;3;518
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000475;NA;.000018;.000109;.000182;.000833;3;300
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000264;NA;.000022;.000070;.000102;.000416;3;486
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000260;NA;.000020;.000115;.000140;.000416;3;450
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000250;NA;.000037;.000021;.000040;.000416;3;606
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000268;NA;.000025;.000018;.000043;.000416;3;506
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000257;NA;.000025;.000087;.000101;.000416;3;468
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000477;NA;.000030;.000028;.000188;.000833;3;435
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000261;NA;.000041;.000021;.000051;.000416;3;784
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000262;NA;.000026;.000015;.000027;.000416;3;506
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000742;NA;.000045;.000051;.000118;.000833;3;362
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000673;NA;.000049;.000124;.000240;.000833;3;358
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000257;NA;.000027;.000014;.000043;.000416;3;480
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000251;NA;.000030;.000017;.000030;.000416;3;553
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000260;NA;.000027;.000019;.000051;.000416;3;553
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000520;NA;.000054;.000044;.000105;.000416;5;573
0.02;3;1;0;4;512;40;1;0;2;10000;10000;0;25000;1;0;1;0;1;.000933;NA;.000032;.000065;.000181;.000833;3;321
