comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000239;NA;.000039;.000079;.000131;.000416;3;526
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000481;NA;.000053;.000112;.000212;.000833;3;442
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000215;NA;.000043;.000040;.000054;.000416;3;626
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000256;NA;.000039;.000038;.000054;.000416;3;607
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000474;NA;.000039;.000065;.000124;.000416;3;431
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000259;NA;.000039;.000036;.000080;.000416;3;700
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000261;NA;.000033;.000077;.000117;.000416;3;482
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000181;NA;.000037;.000060;.000102;.000416;3;607
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000164;NA;.000042;.000039;.000049;.000416;3;715
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000270;NA;.000048;.000045;.000060;.000416;3;612
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000248;NA;.000043;.000039;.000067;.000416;3;660
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000258;NA;.000041;.000045;.000058;.000416;3;575
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000472;NA;.000028;.000057;.000076;.000833;3;375
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000479;NA;.000050;.000053;.000173;.000833;3;452
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000259;NA;.000027;.000184;.000247;.000416;3;373
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000449;NA;.000039;.000177;.000224;.000416;3;488
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000475;NA;.000040;.000073;.000232;.000416;3;450
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000200;NA;.000039;.000070;.000102;.000416;3;573
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000716;NA;.000061;.000109;.000148;.000833;3;360
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000272;NA;.000035;.000049;.000116;.000416;5;505
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000255;NA;.000036;.000035;.000056;.000416;3;533
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000481;NA;.000062;.000091;.000223;.000416;3;563
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000280;NA;.000052;.000089;.000121;.000416;3;588
0.02;3;1;0;4;512;43;1;0;5;1000;1000;0;25000;27;0;1;0;16;.000479;NA;.000032;.000069;.000113;.000416;3;394
