comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.18;269;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.018535;.009343;.004672;.011036;.011034;.040000;9;47
2.18;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.013277;.009487;.005240;.010068;.010065;.030000;9;58
2.31;266;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.029305;.009629;.002510;.010024;.010021;.050000;9;33
2.15;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.012850;.008695;.003950;.009979;.009978;.030000;9;54
2.14;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.024110;.007919;.003948;.009790;.009787;.040000;8;42
2.03;266;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.013259;.009027;.003878;.012280;.012277;.030000;9;47
2.29;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.018778;.008262;.003782;.010828;.010826;.040000;9;42
2.40;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.013525;.008954;.005167;.012151;.012148;.030000;9;56
2.18;267;1;0;1;32;65;1;0;5;10000;10000;0;25000;100;1;0;0;16;.012243;.008897;.005428;.010840;.010837;.030000;9;61
2.14;267;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.184827;.310721;.003009;.558214;.558212;1.050000;9;1
2.30;267;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.280856;.209685;.007426;.662266;.662261;1.150000;8;1
2.14;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.225619;.209353;.007786;.611457;.611452;1.050000;9;2
2.17;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.187742;.259614;.007954;.610786;.610782;1.060000;9;2
2.17;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.183309;.310353;.007503;.661280;.661275;1.160000;9;2
2.31;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.233994;.209973;.004063;.662609;.662607;1.110000;8;1
2.04;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.230148;.209449;.008207;.659473;.659468;1.100000;9;2
2.19;266;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.184845;.310261;.005620;.610388;.610383;1.100000;8;1
2.35;267;1;0;1;32;65;1;0;5;10000;10000;25;25000;100;1;0;0;16;.185937;.259876;.007766;.610149;.610143;1.060000;8;2
