program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12047.732;19.83;14709;147;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11743.651;19.13;14648;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11582.788;15.65;14711;170;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12073.656;19.16;14711;137;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12050.024;19.90;14650;136;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12283.636;19.28;14650;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11983.053;16.24;14650;176;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11821.557;16.26;14650;171;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12220.877;18.49;14770;136;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11413.201;15.67;14709;176;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11860.509;15.87;14709;177;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11683.163;18.82;15115;141;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12111.512;17.02;14772;160;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11544.532;15.59;14650;167;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12116.709;19.60;14709;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12041.251;18.88;14711;145;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11634.746;16.02;14648;174;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11613.676;15.77;14647;170;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11629.061;15.95;14711;165;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11540.434;18.63;14711;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11655.364;15.14;14648;181;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11929.896;18.22;14587;147;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11797.736;19.16;14710;136;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11560.990;15.21;14648;173;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12255.383;19.66;14589;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12037.851;19.52;14711;134;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;11629.715;19.42;14711;147;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12326.570;20.17;14711;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12282.194;19.70;14650;143;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;25000;1000000;0;12232.900;18.86;14586;147;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;11816.280;19.23;14589;145;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12215.813;19.63;14640;143;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12315.292;19.77;14650;140;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;11555.632;19.00;14650;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;11603.723;18.87;14709;146;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12176.729;18.85;14711;138;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12125.605;19.89;14739;141;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12068.398;19.29;14711;142;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;12071.591;19.49;14648;138;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;10000;1000000;0;11846.025;15.32;14709;167;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;16479.078;23.46;16462;118;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15982.245;22.82;16089;124;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15654.163;23.14;16478;125;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15803.845;23.01;16549;119;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15770.496;22.93;16526;121;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15824.040;22.83;15989;122;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15694.500;22.72;16399;122;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15862.056;22.68;16089;123;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15285.838;22.28;15788;118;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;1000;1000000;0;15937.123;22.96;15778;121;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;69787.598;77.47;17070;48;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;65485.938;69.60;17057;55;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;68746.465;75.99;17076;50;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;69116.302;76.86;17085;50;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;67510.779;75.42;17089;50;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;64935.961;72.29;17067;53;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;64338.417;71.37;17046;52;621.829;621.829;514;514
multiplication;arithmetic_gmw;3;0;100;1000000;0;67327.399;75.05;17062;48;621.829;621.829;514;514
