program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
share;arithmetic_gmw;3;0;25000;1000000;0;69.566;3.09;77;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;61.351;0.08;74;142;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;61.420;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;122.247;0.14;73;112;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;76.374;3.09;77;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;76.621;3.09;73;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;70.951;3.08;80;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;61.738;3.08;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;108.081;3.12;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;62.914;3.08;72;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;74.081;3.09;74;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;64.714;3.09;76;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;63.942;3.08;72;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;71.301;3.09;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;88.257;3.10;72;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;71.814;3.09;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;90.901;3.10;78;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;52.524;3.07;72;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;66.026;3.08;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;57.684;3.07;74;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;67.720;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;64.942;3.08;76;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;75.210;3.09;78;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;75.805;3.09;76;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;75.128;3.09;77;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;75.837;0.09;72;160;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;66.573;3.09;74;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;69.995;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;68.031;0.09;78;161;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;0;67.878;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;67.480;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;69.614;3.08;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;79.153;3.10;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;274.633;3.29;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;66.484;3.08;76;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;259.067;3.27;72;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;68.060;3.08;77;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;62.825;3.08;75;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;64.815;3.29;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;64.485;0.08;74;165;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;59.924;3.08;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;51.146;3.07;74;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;73.100;3.30;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;68.220;3.08;74;5;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;277.984;1.32;74;11;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;64.264;3.09;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;48.969;0.29;73;33;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;61.227;4.09;74;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;67.889;3.08;74;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;2;270.568;3.28;77;3;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;65.156;3.27;73;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;1808.952;4.83;76;2;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;270.314;3.29;72;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;47.952;0.27;75;41;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;283.410;0.72;77;22;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;63.087;0.08;72;168;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;477.695;3.50;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;70.941;3.50;77;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;60.688;1.12;78;10;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;5;259.103;0.48;74;22;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;73.156;3.10;50;5;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;61.071;3.08;50;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;100.759;3.12;51;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;63.919;3.08;52;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;64.265;3.08;50;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;102.661;3.12;54;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;61.268;3.07;54;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;72.816;3.09;52;5;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;60.188;0.08;53;167;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;65.555;3.09;52;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;59.714;3.08;53;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;61.500;3.07;50;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;70.445;3.09;53;5;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;108.813;3.12;54;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;80.854;3.10;52;5;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;61.766;3.08;50;4;0.000;0.000;4;4
share;boolean_gmw;3;0;25000;1000000;0;56.574;3.07;50;4;0.000;0.000;4;4
