program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
logreg;boolean_gmw;3;0;25000;10;0;159917.991;177.00;40920;546;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;159472.106;176.50;41241;536;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;160688.599;177.57;41161;543;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;143866.952;160.70;40946;558;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;150013.832;170.28;41361;557;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;150767.122;171.17;41036;559;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;170428.311;190.86;41289;472;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;160644.628;181.10;40953;528;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;152351.597;168.96;40941;515;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;149013.929;166.10;41605;553;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;142287.587;162.62;40853;549;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;168864.456;189.10;41279;518;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;157504.143;177.81;41089;540;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;167289.564;188.22;41388;512;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;136782.746;156.99;41096;557;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;152311.394;172.60;41289;527;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;151132.527;167.92;41106;546;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;159752.695;179.99;40953;526;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;161518.083;181.28;41470;515;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;152631.209;172.32;41315;536;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;163320.680;183.53;41009;516;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;156788.654;176.81;41137;543;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;154771.969;175.16;41362;543;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;158396.402;178.43;41059;543;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;155258.635;175.48;41343;526;416.731;416.731;1115290;1115290
logreg;boolean_gmw;3;0;25000;10;0;165717.443;185.91;41005;503;416.731;416.731;1115290;1115290
