program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
reveal;arithmetic_gmw;3;0;25000;1000000;0;41.777;0.07;59;187;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;43.572;3.07;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;36.340;3.06;61;3;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;38.474;0.06;65;151;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;44.658;3.07;63;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;43.883;3.06;63;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;40.450;3.06;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;43.077;3.07;65;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;42.465;3.09;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;39.747;3.07;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;39.803;3.06;59;3;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;43.039;3.06;65;3;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;30.718;0.06;57;120;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;41.573;3.06;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;34.123;0.06;59;104;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;40.748;3.05;63;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;85.264;3.10;63;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;45.998;3.06;61;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;45.444;3.06;65;4;3.815;3.815;5;5
reveal;arithmetic_gmw;3;0;25000;1000000;0;39.324;0.07;63;140;3.815;3.815;5;5
