program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
mean;boolean_gmw;3;0;25000;10000;0;26471.935;29.55;196;28;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26792.525;29.89;144;39;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26784.733;29.86;190;42;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;24749.027;27.85;167;29;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;27157.709;30.26;199;34;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;27147.289;30.22;144;43;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26303.409;29.39;181;23;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;24548.967;27.62;141;33;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;25781.487;28.87;200;33;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;21787.870;24.86;140;37;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;24270.804;27.36;203;59;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26782.493;26.87;138;60;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;28291.381;31.36;145;25;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26637.998;29.72;138;26;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;26388.291;29.47;202;40;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;27210.185;30.31;183;53;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;25765.865;28.86;171;28;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;27027.235;30.12;199;36;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;27005.174;30.09;175;38;0.186;0.186;2859;2859
mean;boolean_gmw;3;0;25000;10000;0;24984.798;28.07;141;27;0.186;0.186;2859;2859
