program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
auction;boolean_gmw;3;0;25000;50;0;270290.352;336.57;68583;1100;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;275157.633;344.00;68550;1043;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;263956.688;333.29;68478;1085;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;277308.504;346.63;68885;1083;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;256973.076;326.13;69237;1136;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;271448.769;337.77;69124;1125;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;267258.248;333.66;69020;1100;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;259912.391;330.17;69091;1130;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;273232.689;343.07;69327;1056;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;278958.150;348.54;69072;1033;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;247993.521;317.96;69258;1145;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;267448.438;337.69;69301;1065;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;274779.704;344.64;69352;1109;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;263484.712;329.38;68443;1086;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;264227.750;333.43;68708;1013;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;262316.711;328.79;69121;1127;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;270207.882;339.63;68757;1047;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;277061.136;343.40;68747;1079;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;259942.698;330.20;69184;1118;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;272395.867;342.09;69999;1083;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;271936.425;338.93;68719;1042;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;274908.167;344.59;68652;1063;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;268168.124;337.02;68687;1090;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;265738.565;335.30;68624;1140;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;261752.930;331.55;69853;1131;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;273050.893;339.93;69622;1075;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;276618.973;346.47;68483;1067;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;267916.319;337.48;68634;1076;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;273223.687;342.34;69014;1089;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;25000;50;0;270906.521;340.95;69167;1080;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;266288.600;332.71;69418;1107;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;267505.118;336.95;68692;1107;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;258036.326;327.59;69205;1112;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;268216.069;338.21;68732;1072;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;265534.172;335.97;68463;1062;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;266500.021;335.77;68756;1037;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;267956.515;338.62;69819;1109;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;272523.959;343.10;68935;1047;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;270380.101;336.38;68626;1087;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;10000;50;0;270270.422;336.36;69568;1087;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;266184.612;336.12;69948;1065;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;266289.820;332.02;69655;1047;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;286773.870;356.28;69557;1078;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;279162.227;348.63;69598;1054;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;274293.982;343.24;69781;1115;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;275354.729;344.75;68704;1036;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;264041.125;333.68;69452;1070;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;275406.168;343.35;69358;1050;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;296128.287;362.86;69716;1001;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;1000;50;0;275251.491;344.68;70648;1089;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;336489.084;406.36;70952;919;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;339093.709;408.66;70346;862;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;337781.464;407.43;70045;926;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;347751.892;415.90;69971;902;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;336208.988;406.38;70811;912;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;335527.754;405.51;70146;853;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;338041.732;408.30;71784;900;1071.333;1236.372;9542229;9542229
auction;boolean_gmw;3;0;100;50;0;320140.841;386.84;72690;953;1071.333;1236.372;9542229;9542229
