program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
auction;boolean_gmw;3;0;25000;100;0;52267.629;70.57;15205;1003;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;50127.053;67.22;13942;1101;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;57231.166;75.10;13786;956;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52384.458;69.25;13940;1083;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;56429.788;70.32;13750;1054;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;51823.054;69.69;13897;1002;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52772.730;70.59;13671;1002;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;49414.830;63.49;14028;1165;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;49621.012;63.95;13902;1162;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;49788.655;66.60;13953;1098;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;57126.678;74.45;14267;964;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;53893.104;71.19;13726;1033;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;56217.794;73.86;14019;998;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;57998.162;75.18;13826;995;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;52810.186;70.37;13857;980;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;50238.446;67.27;13783;1104;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;50900.659;68.06;13875;1105;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;53796.668;71.55;13818;996;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;54705.303;71.82;13710;1055;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;10000;100;0;53247.859;70.52;13752;1024;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;55607.380;69.29;14024;1071;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;54156.931;71.39;13907;1059;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;55198.125;72.57;13815;1022;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;55457.789;69.66;13815;1064;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;59864.176;76.56;13774;978;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;51134.699;65.01;13877;1160;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;51692.717;69.20;13973;1037;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;53431.845;67.84;13754;1067;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;55177.921;72.38;13831;1028;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;1000;100;0;58359.717;75.37;13967;1037;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;64647.092;81.84;13859;881;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;64475.907;81.18;13893;932;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;69788.753;87.26;13886;901;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;71233.347;87.93;13954;875;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;78449.606;95.87;18136;798;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;70099.827;86.98;13888;895;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;72025.188;89.35;13859;812;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;68491.198;85.38;13819;895;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;67013.813;84.38;13936;853;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;100;100;0;63964.601;81.37;13981;907;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;49430.385;67.46;15607;1044;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;48594.746;65.18;13868;1096;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52320.897;70.05;13897;1037;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;48407.471;62.08;13753;1189;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;50730.510;68.45;13858;1048;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;51638.059;69.03;13871;1045;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;53465.222;70.78;13699;1044;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;54855.906;68.43;13941;1094;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;51751.889;69.09;14017;1091;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;49776.581;67.41;13874;1107;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;59902.289;74.08;14715;1007;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;58640.965;73.03;14712;1004;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;56268.227;70.57;14583;1013;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;57021.637;71.57;14777;1028;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;56643.338;70.93;14620;975;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;57019.221;71.55;14712;991;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;53200.341;67.72;14720;1049;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;57588.428;72.08;15061;1020;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;54338.272;68.68;14726;1092;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;25;25000;100;0;55791.965;70.13;14715;1041;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;65626.070;80.13;15638;920;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;62208.268;76.62;15254;924;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;65887.710;80.38;15517;947;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;60726.274;75.49;15253;1004;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;60903.214;75.60;15238;954;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;61913.796;76.44;15712;916;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;58092.208;71.93;15273;1004;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;63567.236;78.23;15788;957;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;63659.737;78.16;15128;909;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;50;25000;100;0;64072.341;78.35;15158;937;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;67246.276;82.28;15616;875;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;69114.288;84.19;15607;886;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;69610.266;84.11;15586;878;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;69669.516;84.35;15582;917;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;71778.747;86.14;15566;857;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;66845.342;81.54;15562;881;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;65852.117;80.29;15619;915;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;65934.046;80.75;15480;932;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;65606.849;80.04;15639;964;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;75;25000;100;0;67277.578;81.72;15917;923;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;56505.901;74.36;14903;993;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;55260.028;69.64;14135;1032;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;53649.708;71.21;13882;1075;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52227.644;69.63;13896;1041;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;53677.312;67.39;13804;1107;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;47715.076;65.67;13835;1081;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;54430.871;70.86;13737;1054;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;55685.383;72.78;13826;1034;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52868.565;70.42;13894;1064;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;0;52873.754;70.43;13991;1034;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;59197.686;76.57;14834;962;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;53120.980;69.96;14964;1050;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;47802.149;64.45;14939;1164;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;58051.127;76.20;15037;1011;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;61094.969;78.78;14933;966;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;54714.843;71.70;14885;1071;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;50779.028;67.58;14949;1111;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;50962.281;64.71;15546;1097;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;50903.649;68.18;15531;1112;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;1;52748.421;66.62;15072;1093;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;49447.218;66.71;15744;1105;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;58810.352;75.53;16212;1003;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;56788.379;73.30;15851;1028;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;64263.574;82.22;18343;925;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;52831.837;70.00;15525;1072;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;58194.346;75.70;15809;977;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;57315.935;74.92;16224;989;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;55731.264;72.73;16324;1025;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;59607.382;73.62;16071;1036;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;2;55747.709;73.43;15983;979;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;101499.404;119.28;22725;706;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;88670.933;106.47;21844;755;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;106072.649;123.77;23450;686;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;99039.203;116.89;22172;732;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;102432.363;119.96;23168;703;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;107219.646;123.02;23317;713;211.259;243.632;1885582;1885582
auction;boolean_gmw;3;0;25000;100;5;103770.567;121.22;23128;680;211.259;243.632;1885582;1885582
