program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
53;RING;semihonest;replicated-ring;3;0.47;32;1;0;25000;10000;0;1.07013;1.16;72;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.09349;1.18;70;87%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08553;1.17;69;85%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07665;1.16;71;86%;~140;14.7459;44.2377;0.13
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08095;1.16;70;86%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0734;1.16;72;85%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.09049;1.17;69;86%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.09279;1.18;68;85%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0894;1.18;70;85%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.06779;1.15;70;87%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;0.46;32;1;0;25000;10000;0;1.09643;1.18;68;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07128;1.15;72;86%;~140;14.7459;44.2377;0.07
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07556;1.16;68;87%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.09569;1.18;70;86%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.06763;1.16;70;87%;~140;14.7459;44.2377;0.07
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0848;1.17;69;84%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08737;1.17;70;84%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08837;1.18;73;86%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.10071;1.18;72;86%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08253;1.17;69;87%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;0.40;32;1;0;25000;10000;0;1.06027;1.14;70;88%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0841;1.17;71;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07875;1.15;69;87%;~140;14.7459;44.2377;0.07
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.06945;1.15;70;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07739;1.15;70;84%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08714;1.17;71;87%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.08025;1.16;69;88%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0867;1.17;68;88%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.0817;1.18;70;86%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;10000;0;1.07106;1.15;70;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.07876;1.17;70;85%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08207;1.16;66;87%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08181;1.16;68;81%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08424;1.17;71;86%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.09392;1.17;72;85%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.06674;1.15;72;88%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08486;1.18;72;86%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.09446;1.18;70;86%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08273;1.17;72;87%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;10000;0;1.08107;1.16;70;86%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.16886;1.26;70;82%;~140;14.7459;44.2377;0.09
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.15754;1.25;70;84%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.16158;1.25;70;82%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.15599;1.24;68;82%;~140;14.7459;44.2377;0.12
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.17394;1.26;70;81%;~140;14.7459;44.2377;0.08
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.17204;1.26;72;84%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.16985;1.26;70;83%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.16775;1.26;70;83%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.17603;1.26;72;83%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;10000;0;1.1596;1.25;70;81%;~140;14.7459;44.2377;0.11
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;10000;0;2.67834;2.75;70;48%;~140;14.7459;44.2377;0.14
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;10000;0;2.64838;2.73;70;48%;~140;14.7459;44.2377;0.17
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;10000;0;2.67924;2.77;70;47%;~140;14.7459;44.2377;0.10
53;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;10000;0;2.66197;2.76;69;48%;~140;14.7459;44.2377;0.15
