program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
65;RING;semihonest;replicated-ring;3;4.90;450;1;0;25000;64;0;1.7328;2.08;374;1433%;~210016;73.0456;216.105;10.28
65;RING;semihonest;replicated-ring;3;4.93;457;1;0;25000;64;0;1.79659;2.17;375;1361%;~210016;73.0456;216.105;9.46
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.68004;3.05;378;1454%;~210016;73.0456;216.105;18.96
65;RING;semihonest;replicated-ring;3;5.22;455;1;0;25000;64;0;2.06596;2.41;376;1364%;~210016;73.0456;216.105;10.89
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.5375;2.91;370;1439%;~210016;73.0456;216.105;17.95
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.68038;3.08;378;1410%;~210016;73.0456;216.105;18.13
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.27575;2.62;370;1409%;~210016;73.0456;216.105;14.08
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.46449;2.83;378;1465%;~210016;73.0456;216.105;17.67
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.46647;2.85;376;1396%;~210016;73.0456;216.105;16.43
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.79111;3.17;378;1490%;~210016;73.0456;216.105;22.80
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.50037;2.89;377;1445%;~210016;73.0456;216.105;17.51
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;3.03745;3.41;376;1435%;~210016;73.0456;216.105;22.26
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.76936;3.16;376;1415%;~210016;73.0456;216.105;18.89
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.55673;2.95;374;1436%;~210016;73.0456;216.105;17.75
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.58575;2.99;370;1436%;~210016;73.0456;216.105;18.25
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.71064;3.09;376;1406%;~210016;73.0456;216.105;18.51
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.66471;3.02;376;1454%;~210016;73.0456;216.105;19.31
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.45956;2.80;379;1366%;~210016;73.0456;216.105;15.06
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.57825;2.95;370;1412%;~210016;73.0456;216.105;17.52
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.63188;3.00;374;1459%;~210016;73.0456;216.105;19.00
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.99731;3.37;367;1412%;~210016;73.0456;216.105;20.60
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.73261;3.12;378;1427%;~210016;73.0456;216.105;19.02
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.58698;2.97;379;1439%;~210016;73.0456;216.105;18.17
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.712;3.08;376;1432%;~210016;73.0456;216.105;19.02
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.44998;2.83;378;1442%;~210016;73.0456;216.105;17.22
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.49597;2.87;372;1436%;~210016;73.0456;216.105;17.21
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.56319;2.96;378;1425%;~210016;73.0456;216.105;17.99
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.5801;2.94;377;1376%;~210016;73.0456;216.105;16.03
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.54233;2.91;376;1455%;~210016;73.0456;216.105;17.98
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;0;2.5961;2.96;372;1422%;~210016;73.0456;216.105;17.58
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.297;171.42;372;93%;~210016;73.0456;216.105;66.01
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.206;171.33;374;93%;~210016;73.0456;216.105;66.33
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.287;171.41;374;94%;~210016;73.0456;216.105;66.93
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.174;171.29;374;93%;~210016;73.0456;216.105;66.47
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.168;171.29;376;91%;~210016;73.0456;216.105;65.77
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.176;171.31;382;92%;~210016;73.0456;216.105;65.64
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.271;171.39;374;94%;~210016;73.0456;216.105;70.15
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.298;171.42;374;93%;~210016;73.0456;216.105;65.87
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.272;171.39;374;92%;~210016;73.0456;216.105;64.46
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;0;169.302;171.42;376;93%;~210016;73.0456;216.105;65.93
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.768;338.64;373;46%;~210016;73.0456;216.105;65.89
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.595;338.45;372;46%;~210016;73.0456;216.105;65.83
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.578;338.44;374;46%;~210016;73.0456;216.105;64.66
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.692;338.56;376;47%;~210016;73.0456;216.105;65.98
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.587;338.45;374;47%;~210016;73.0456;216.105;66.44
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.708;338.60;366;47%;~210016;73.0456;216.105;65.10
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.741;338.61;374;45%;~210016;73.0456;216.105;63.21
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.885;338.75;375;47%;~210016;73.0456;216.105;65.33
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.596;338.47;374;46%;~210016;73.0456;216.105;65.55
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.579;338.44;374;45%;~210016;73.0456;216.105;64.83
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.812;505.44;376;31%;~210016;73.0456;216.105;66.00
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.733;505.37;378;31%;~210016;73.0456;216.105;65.52
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.766;505.38;372;31%;~210016;73.0456;216.105;66.29
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.771;505.39;373;32%;~210016;73.0456;216.105;66.77
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.8;505.43;377;31%;~210016;73.0456;216.105;65.65
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.79;505.41;377;30%;~210016;73.0456;216.105;64.16
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.807;505.42;370;31%;~210016;73.0456;216.105;65.66
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.796;505.41;378;31%;~210016;73.0456;216.105;65.70
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.818;505.44;375;31%;~210016;73.0456;216.105;66.58
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;500.319;505.94;376;32%;~210016;73.0456;216.105;68.15
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;18.7593;21.40;371;519%;~210016;73.0456;216.105;47.07
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;19.1941;21.71;377;516%;~210016;73.0456;216.105;50.07
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;19.6566;23.23;378;484%;~210016;73.0456;216.105;49.09
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;19.7834;23.31;376;476%;~210016;73.0456;216.105;47.69
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;20.4177;23.01;377;475%;~210016;73.0456;216.105;47.23
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;18.8297;20.22;374;538%;~210016;73.0456;216.105;47.68
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;19.3128;21.85;376;499%;~210016;73.0456;216.105;47.07
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;20.4598;21.78;378;507%;~210016;73.0456;216.105;48.20
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;20.142;22.51;378;487%;~210016;73.0456;216.105;47.02
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;20.1769;21.68;374;521%;~210016;73.0456;216.105;49.77
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;33.7594;37.14;374;347%;~210016;73.0456;216.105;56.68
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;35.7738;40.73;377;331%;~210016;73.0456;216.105;63.05
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;34.4507;35.98;372;358%;~210016;73.0456;216.105;56.46
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;38.0266;41.55;372;313%;~210016;73.0456;216.105;57.37
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;35.761;41.34;378;318%;~210016;73.0456;216.105;57.80
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;34.1061;35.67;372;369%;~210016;73.0456;216.105;56.61
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;36.6254;39.69;376;333%;~210016;73.0456;216.105;57.55
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;35.7582;39.12;378;345%;~210016;73.0456;216.105;60.26
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;34.0685;36.81;378;359%;~210016;73.0456;216.105;56.56
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;33.312;37.08;378;354%;~210016;73.0456;216.105;57.27
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;96.6579;101.24;383;139%;~210016;73.0456;216.105;57.05
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;102.953;110.72;377;127%;~210016;73.0456;216.105;58.64
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;93.942;100.60;372;140%;~210016;73.0456;216.105;57.33
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;98.2164;105.23;378;134%;~210016;73.0456;216.105;59.58
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;102.037;106.05;380;132%;~210016;73.0456;216.105;58.24
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;95.1496;101.37;379;139%;~210016;73.0456;216.105;59.73
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;94.8567;98.41;378;142%;~210016;73.0456;216.105;59.58
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;104.182;109.26;378;129%;~210016;73.0456;216.105;57.99
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;93.0735;97.87;378;143%;~210016;73.0456;216.105;57.09
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;91.7896;100.42;378;139%;~210016;73.0456;216.105;57.79
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.60298;2.96;379;1396%;~210016;73.0456;216.105;17.07
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.4949;2.84;374;1406%;~210016;73.0456;216.105;16.02
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.69209;3.10;378;1424%;~210016;73.0456;216.105;19.25
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.58275;2.98;374;1386%;~210016;73.0456;216.105;17.19
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.81251;3.21;370;1407%;~210016;73.0456;216.105;19.75
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.66082;3.04;375;1433%;~210016;73.0456;216.105;18.27
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.84973;3.25;372;1414%;~210016;73.0456;216.105;19.90
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.70056;3.08;378;1440%;~210016;73.0456;216.105;18.80
