program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
66;RING;semihonest;replicated-ring;3;2.56;112;1;0;25000;256;0;0.0192976;0.10;14;64%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;2.55;112;1;0;25000;256;0;0.0173226;0.11;14;62%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0197985;0.11;14;70%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0252091;0.11;16;72%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0260833;0.11;14;67%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0117183;0.09;14;58%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0221443;0.10;14;64%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0225639;0.11;16;68%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0256856;0.11;14;70%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0220659;0.11;12;65%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0220773;0.11;14;70%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;2.74;112;1;0;25000;256;0;0.0220451;0.11;14;67%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.025108;0.12;14;69%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0224333;0.11;14;67%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0242477;0.11;14;65%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0235268;0.11;14;70%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0254729;0.11;14;66%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0215686;0.11;16;68%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0262554;0.11;14;67%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0239598;0.11;14;70%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0184016;0.11;14;65%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0174971;0.10;13;74%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0190107;0.10;14;61%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0189963;0.10;16;69%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0213319;0.10;16;61%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0246262;0.11;14;68%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0239509;0.11;14;64%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0195749;0.11;16;65%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.025031;0.11;14;70%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;0;0.0247628;0.11;14;69%;~61;0.204816;0.614448;0.00
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58736;3.54;14;4%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58915;3.55;14;4%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.5876;3.55;14;4%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58688;3.56;14;4%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58798;3.57;14;4%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.588;3.55;14;4%;~61;0.204816;0.614448;0.05
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58652;3.55;14;4%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58852;3.55;14;4%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58737;3.55;14;4%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;256;0;1.58859;3.55;16;4%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13764;6.88;16;2%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13929;6.88;14;2%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13763;6.88;14;2%;~61;0.204816;0.614448;0.05
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13874;6.88;14;2%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13694;6.87;14;2%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13868;6.89;14;2%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13827;6.88;12;2%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13856;6.88;14;2%;~61;0.204816;0.614448;0.05
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.1365;6.88;14;2%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;256;0;3.13786;6.88;12;2%;~61;0.204816;0.614448;0.07
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68848;10.20;12;1%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68857;10.20;16;1%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68755;10.20;14;1%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68868;10.20;16;1%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.6883;10.22;14;1%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68763;10.21;13;1%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68688;10.20;16;1%;~61;0.204816;0.614448;0.05
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68856;10.21;14;1%;~61;0.204816;0.614448;0.06
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.68827;10.21;14;1%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;256;0;4.6871;10.20;12;1%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0256733;0.11;13;66%;~61;0.204816;0.614448;0.00
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0230918;0.11;16;69%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0191124;0.11;14;69%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0217707;0.11;14;71%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0218425;0.11;14;64%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0231186;0.11;14;70%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.026234;0.11;14;66%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0252607;0.11;14;68%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0213031;0.11;14;64%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;256;0;0.0246769;0.11;16;71%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0218978;0.11;14;64%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0279634;0.11;16;68%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0254842;0.11;14;69%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0236657;0.11;13;66%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0235079;0.11;16;62%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0277244;0.11;14;70%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0271885;0.11;14;68%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0250208;0.11;14;66%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0249472;0.12;12;70%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;256;0;0.0247804;0.12;14;69%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0434746;0.13;12;63%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0456913;0.14;14;60%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.042251;0.13;14;60%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0445615;0.14;14;61%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0450249;0.14;14;61%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0422484;0.13;14;56%;~61;0.204816;0.614448;0.04
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0456398;0.14;14;65%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0461234;0.14;14;63%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0463708;0.14;14;62%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;256;0;0.0430938;0.13;14;57%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0168492;0.11;12;62%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0281219;0.34;14;26%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0332206;0.55;14;18%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.025863;1.17;16;7%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0354177;1.37;16;7%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0221348;0.11;16;53%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0177607;0.11;14;62%;~61;0.204816;0.614448;0.00
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0194195;1.16;16;7%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0265774;0.32;12;24%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;1;0.0191858;0.10;16;69%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;2;0.0280672;1.60;14;7%;~61;0.204816;0.614448;0.05
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;2;0.0212281;1.79;14;6%;~61;0.204816;0.614448;0.03
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;2;0.256213;2.40;14;3%;~61;0.204816;0.614448;0.02
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;2;0.24577;0.96;14;8%;~61;0.204816;0.614448;0.01
66;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;256;2;0.0367297;1.61;13;6%;~61;0.204816;0.614448;0.04
