program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
61;RING;semihonest;replicated-ring;3;0.35;30;1;0;25000;1000;0;3.50159;3.57;11;100%;~8005;0.057416;0.172248;2.32
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.63957;3.71;11;89%;~8005;0.057416;0.172248;2.15
61;RING;semihonest;replicated-ring;3;0.33;30;1;0;25000;1000;0;3.31252;3.39;11;101%;~8005;0.057416;0.172248;2.19
61;RING;semihonest;replicated-ring;3;0.36;30;1;0;25000;1000;0;3.83852;3.91;11;99%;~8005;0.057416;0.172248;2.51
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.29991;3.36;11;101%;~8005;0.057416;0.172248;2.09
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.98533;3.05;10;101%;~8005;0.057416;0.172248;1.85
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.0067;2.07;11;114%;~8005;0.057416;0.172248;1.53
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.49281;3.56;13;102%;~8005;0.057416;0.172248;2.29
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.71592;3.79;11;95%;~8005;0.057416;0.172248;2.23
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.68869;2.76;13;109%;~8005;0.057416;0.172248;1.86
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.53343;3.61;11;90%;~8005;0.057416;0.172248;2.01
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.07702;3.14;11;96%;~8005;0.057416;0.172248;1.86
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.58094;3.66;11;89%;~8005;0.057416;0.172248;2.04
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.08221;3.15;13;92%;~8005;0.057416;0.172248;1.79
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.32648;3.39;13;87%;~8005;0.057416;0.172248;1.81
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.8656;3.94;11;94%;~8005;0.057416;0.172248;2.44
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.62398;3.69;11;93%;~8005;0.057416;0.172248;2.16
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.67475;3.74;11;96%;~8005;0.057416;0.172248;2.13
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.3508;3.43;11;98%;~8005;0.057416;0.172248;2.23
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.64944;3.73;11;99%;~8005;0.057416;0.172248;2.24
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.79701;3.87;11;94%;~8005;0.057416;0.172248;2.54
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.51979;3.59;11;89%;~8005;0.057416;0.172248;1.99
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;1.81533;1.88;11;114%;~8005;0.057416;0.172248;1.25
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.93716;3.01;13;110%;~8005;0.057416;0.172248;1.97
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.31566;3.39;11;99%;~8005;0.057416;0.172248;2.06
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.62218;3.70;11;89%;~8005;0.057416;0.172248;1.96
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.52226;3.59;13;89%;~8005;0.057416;0.172248;2.04
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.97981;3.05;11;103%;~8005;0.057416;0.172248;2.05
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;3.41493;3.48;11;96%;~8005;0.057416;0.172248;2.16
61;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1000;0;2.63552;2.71;11;105%;~8005;0.057416;0.172248;1.71
