program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
63;RING;semidishonest;semi2k;3;0.39;30;1;0;25000;500;0;26.7698;26.91;79;259%;~27490;250.532;748.941;40.38
63;RING;semidishonest;semi2k;3;0.34;30;1;0;25000;500;0;26.6852;26.85;79;256%;~27490;250.532;748.941;40.83
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.7743;26.91;82;263%;~27490;250.532;748.941;41.61
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.7517;26.89;80;262%;~27490;250.532;748.941;41.17
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.9145;27.05;80;263%;~27490;250.532;748.941;41.06
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.8579;27.00;82;264%;~27490;250.532;748.941;41.32
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.9065;27.05;84;261%;~27490;250.532;748.941;41.36
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.869;27.00;80;263%;~27490;250.532;748.941;41.88
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.9708;27.12;76;262%;~27490;250.532;748.941;41.35
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.7549;26.89;80;265%;~27490;250.532;748.941;41.06
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.8844;27.02;82;260%;~27490;250.532;748.941;41.27
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;27.0062;27.14;77;263%;~27490;250.532;748.941;41.44
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.9072;27.05;78;263%;~27490;250.532;748.941;41.22
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.867;27.00;78;255%;~27490;250.532;748.941;39.90
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.791;26.93;78;259%;~27490;250.532;748.941;40.28
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.9126;27.05;78;263%;~27490;250.532;748.941;41.92
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.8885;27.04;84;263%;~27490;250.532;748.941;41.64
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.821;26.96;78;263%;~27490;250.532;748.941;41.03
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.576;26.71;83;262%;~27490;250.532;748.941;41.03
63;RING;semidishonest;semi2k;3;NA;NA;NA;0;25000;500;0;26.8148;26.95;76;264%;~27490;250.532;748.941;41.17
