program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
65;RING;semihonest;replicated-ring;3;10.05;621;1;0;25000;1;0;15.9965;19.49;2410;621%;~219708;598.341;718.5;15.32
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;16.1675;18.98;2399;644%;~219708;598.341;718.5;15.71
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;15.118;18.76;2390;629%;~219708;598.341;718.5;14.15
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;15.821;19.45;2393;624%;~219708;598.341;718.5;15.31
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;15.8213;19.41;2402;618%;~219708;598.341;718.5;14.47
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;16.8174;20.35;2411;604%;~219708;598.341;718.5;15.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;16.179;19.02;2399;633%;~219708;598.341;718.5;14.85
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;16.335;19.93;2387;616%;~219708;598.341;718.5;15.97
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;18.1237;21.75;2379;611%;~219708;598.341;718.5;25.63
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;1;0;16.212;19.74;2379;623%;~219708;598.341;718.5;16.76
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.951;175.20;2404;125%;~219708;598.341;718.5;45.16
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.686;174.99;2408;119%;~219708;598.341;718.5;45.36
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.439;174.70;2406;121%;~219708;598.341;718.5;44.64
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;170.082;175.45;2398;125%;~219708;598.341;718.5;46.10
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.808;174.98;2402;120%;~219708;598.341;718.5;47.46
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.981;175.30;2409;118%;~219708;598.341;718.5;43.76
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.578;174.10;2407;118%;~219708;598.341;718.5;44.26
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;170.661;176.01;2392;117%;~219708;598.341;718.5;43.28
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.644;175.00;2391;118%;~219708;598.341;718.5;45.65
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;1;0;169.662;174.86;2398;118%;~219708;598.341;718.5;43.98
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.036;331.54;2397;64%;~219708;598.341;718.5;43.94
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.609;332.64;2413;64%;~219708;598.341;718.5;46.32
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.005;331.99;2401;65%;~219708;598.341;718.5;44.93
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;324.878;331.92;2401;64%;~219708;598.341;718.5;43.77
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.205;332.30;2400;64%;~219708;598.341;718.5;44.08
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.042;332.10;2409;66%;~219708;598.341;718.5;46.33
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.715;332.76;2395;66%;~219708;598.341;718.5;44.98
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.279;332.30;2395;65%;~219708;598.341;718.5;44.86
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.337;332.47;2407;65%;~219708;598.341;718.5;49.75
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;1;0;325.007;331.52;2392;64%;~219708;598.341;718.5;43.04
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;1;0;479.615;488.48;2406;43%;~219708;598.341;718.5;45.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;1;0;479.661;488.41;2407;43%;~219708;598.341;718.5;44.44
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;1;0;479.655;488.49;2403;44%;~219708;598.341;718.5;45.34
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;1;0;479.622;487.77;2391;45%;~219708;598.341;718.5;45.56
