program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
65;RING;semihonest;rep4-ring;4;35.28;804;1;0;25000;64;0;1.05624;1.71;586;1603%;~17302;183.763;512.646;1.58
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.22716;1.96;584;1453%;~17302;183.763;512.646;1.71
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.22498;1.95;582;1437%;~17302;183.763;512.646;1.96
65;RING;semihonest;rep4-ring;4;35.67;794;1;0;25000;64;0;1.06702;1.78;582;1566%;~17302;183.763;512.646;1.56
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.23746;1.97;579;1502%;~17302;183.763;512.646;1.99
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.4633;2.24;584;1413%;~17302;183.763;512.646;2.41
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.16617;1.90;579;1520%;~17302;183.763;512.646;1.88
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.13196;1.75;571;1576%;~17302;183.763;512.646;1.40
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.06413;1.72;581;1617%;~17302;183.763;512.646;1.61
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.0975;1.72;583;1592%;~17302;183.763;512.646;1.56
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.11492;1.78;579;1530%;~17302;183.763;512.646;1.48
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.26902;2.00;580;1535%;~17302;183.763;512.646;2.65
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.26245;1.96;589;1559%;~17302;183.763;512.646;2.96
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.39506;2.09;583;1439%;~17302;183.763;512.646;1.90
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.1277;1.83;586;1548%;~17302;183.763;512.646;2.31
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.30342;2.03;582;1460%;~17302;183.763;512.646;2.41
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.19457;1.87;584;1544%;~17302;183.763;512.646;2.49
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.08487;1.76;580;1621%;~17302;183.763;512.646;1.69
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.11903;1.84;582;1581%;~17302;183.763;512.646;2.21
65;RING;semihonest;rep4-ring;4;NA;NA;NA;0;25000;64;0;1.13308;1.82;580;1521%;~17302;183.763;512.646;1.50
65;RING;semihonest;rep4-ring;4;NA;NA;NA;25;25000;64;0;23.041;25.76;582;225%;~17302;183.763;512.646;4.67
65;RING;semihonest;rep4-ring;4;NA;NA;NA;25;25000;64;0;23.0485;25.76;581;225%;~17302;183.763;512.646;4.92
65;RING;semihonest;rep4-ring;4;NA;NA;NA;25;25000;64;0;23.0434;25.76;582;231%;~17302;183.763;512.646;7.36
