program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
54;BINARY;semihonest;replicated-bin;3;1.45;77;1;0;25000;10000;0;0.0033091;0.07;12;59%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00402183;0.07;11;54%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00452227;0.07;10;41%;~7;0.002538;0.007614;0.02
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00423643;0.07;14;55%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00418353;0.08;12;50%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00440914;0.07;9;53%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00396634;0.07;10;56%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00399607;0.07;13;56%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00475358;0.08;11;53%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.0043263;0.07;12;49%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;1.35;77;1;0;25000;10000;0;0.00393857;0.07;12;41%;~7;0.002538;0.007614;0.01
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00395843;0.07;10;55%;~7;0.002538;0.007614;0.00
54;BINARY;semihonest;replicated-bin;3;NA;NA;NA;0;25000;10000;0;0.00408963;0.07;10;55%;~7;0.002538;0.007614;0.01
