program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/compare;3;0;25000;10000;0;0:00:02.153;13301899;2.45;165;4.37
Benchmarks/compare;3;0;25000;10000;0;0:00:01.907;13301965;2.17;170;4.39
Benchmarks/compare;3;0;25000;10000;0;0:00:01.970;13301879;2.20;145;4.27
Benchmarks/compare;3;0;25000;10000;0;0:00:01.992;13302017;2.17;158;4.16
Benchmarks/compare;3;0;25000;10000;0;0:00:02.051;13302018;2.30;158;4.35
Benchmarks/compare;3;0;25000;10000;0;0:00:02.015;13301898;2.28;164;4.41
Benchmarks/compare;3;0;25000;10000;0;0:00:02.113;13302035;2.39;156;4.36
Benchmarks/compare;3;0;25000;10000;0;0:00:02.026;13301968;2.30;156;4.30
Benchmarks/compare;3;0;25000;10000;0;0:00:02.051;13301873;2.32;152;4.34
Benchmarks/compare;3;0;25000;10000;0;0:00:02.222;13302057;2.47;155;4.24
Benchmarks/compare;3;0;25000;10000;0;0:00:02.042;13302091;2.34;162;4.35
Benchmarks/compare;3;0;25000;10000;0;0:00:02.063;13301921;2.25;161;4.58
Benchmarks/compare;3;0;25000;10000;0;0:00:02.186;13302156;2.42;149;4.25
Benchmarks/compare;3;0;25000;10000;0;0:00:02.199;13301710;2.38;153;4.43
Benchmarks/compare;3;0;25000;10000;0;0:00:01.821;13301958;2.05;148;4.29
Benchmarks/compare;3;0;25000;10000;0;0:00:02.018;13301933;2.29;151;4.53
Benchmarks/compare;3;0;25000;10000;0;0:00:01.900;13301840;2.14;151;4.42
Benchmarks/compare;3;0;25000;10000;0;0:00:01.844;13302001;2.07;166;4.34
Benchmarks/compare;3;0;25000;10000;0;0:00:01.997;13301932;2.24;160;4.33
Benchmarks/compare;3;0;25000;10000;0;0:00:02.155;13301839;2.39;164;4.13
Benchmarks/compare;3;0;25000;10000;0;0:00:02.208;13301846;2.51;162;4.51
Benchmarks/compare;3;0;25000;10000;0;0:00:02.299;13301965;2.58;148;4.37
Benchmarks/compare;3;0;25000;10000;0;0:00:02.051;13301917;2.30;162;4.33
Benchmarks/compare;3;0;25000;10000;0;0:00:02.265;13302028;2.50;158;4.34
Benchmarks/compare;3;0;25000;10000;0;0:00:02.038;13302002;2.28;160;4.29
Benchmarks/compare;3;0;25000;10000;0;0:00:02.086;13301961;2.36;154;4.40
Benchmarks/compare;3;0;25000;10000;0;0:00:02.041;13301957;2.31;145;4.34
Benchmarks/compare;3;0;25000;10000;0;0:00:01.957;13301869;2.21;167;4.32
Benchmarks/compare;3;0;25000;10000;0;0:00:02.213;13301973;2.45;161;4.29
Benchmarks/compare;3;0;25000;10000;0;0:00:02.118;13302002;2.36;160;4.39
Benchmarks/compare;3;25;25000;10000;0;0:00:03.608;13302021;3.92;146;4.41
Benchmarks/compare;3;25;25000;10000;0;0:00:03.532;13301876;3.85;153;4.59
Benchmarks/compare;3;25;25000;10000;0;0:00:02.813;13301912;3.23;162;4.25
Benchmarks/compare;3;25;25000;10000;0;0:00:03.657;13301829;3.98;147;4.53
Benchmarks/compare;3;25;25000;10000;0;0:00:03.492;13301915;3.81;168;4.36
Benchmarks/compare;3;25;25000;10000;0;0:00:03.457;13301953;3.78;148;4.55
Benchmarks/compare;3;25;25000;10000;0;0:00:03.696;13301996;3.97;165;4.31
Benchmarks/compare;3;25;25000;10000;0;0:00:02.832;13302006;3.15;158;4.29
Benchmarks/compare;3;25;25000;10000;0;0:00:02.794;13301977;3.11;162;4.17
Benchmarks/compare;3;25;25000;10000;0;0:00:02.910;13302026;3.21;181;4.28
Benchmarks/compare;3;50;25000;10000;0;0:00:04.418;13301901;4.87;153;4.39
Benchmarks/compare;3;50;25000;10000;0;0:00:03.622;13302109;4.04;171;4.38
Benchmarks/compare;3;50;25000;10000;0;0:00:04.441;13302013;4.90;157;4.32
Benchmarks/compare;3;50;25000;10000;0;0:00:04.542;13301999;5.00;146;4.50
Benchmarks/compare;3;50;25000;10000;0;0:00:04.353;13301800;4.76;161;4.29
Benchmarks/compare;3;50;25000;10000;0;0:00:04.330;13301892;4.75;171;4.41
Benchmarks/compare;3;50;25000;10000;0;0:00:03.505;13302083;3.91;174;4.39
Benchmarks/compare;3;50;25000;10000;0;0:00:04.383;13301912;4.84;154;4.52
Benchmarks/compare;3;50;25000;10000;0;0:00:04.503;13302047;4.96;148;4.49
Benchmarks/compare;3;50;25000;10000;0;0:00:03.672;13301891;4.12;150;4.20
Benchmarks/compare;3;75;25000;10000;0;0:00:04.321;13302161;4.88;152;4.21
Benchmarks/compare;3;75;25000;10000;0;0:00:05.176;13302054;5.74;173;4.35
Benchmarks/compare;3;75;25000;10000;0;0:00:04.316;13301912;4.89;158;4.46
Benchmarks/compare;3;75;25000;10000;0;0:00:04.297;13302002;4.85;180;4.22
Benchmarks/compare;3;75;25000;10000;0;0:00:04.237;13301903;4.82;158;4.26
Benchmarks/compare;3;75;25000;10000;0;0:00:04.468;13301867;5.03;160;4.25
Benchmarks/compare;3;75;25000;10000;0;0:00:05.461;13301887;6.03;157;4.38
Benchmarks/compare;3;75;25000;10000;0;0:00:05.047;13301839;5.63;150;4.47
Benchmarks/compare;3;75;25000;10000;0;0:00:05.200;13301939;5.78;157;4.55
Benchmarks/compare;3;75;25000;10000;0;0:00:04.223;13301990;4.80;149;4.31
Benchmarks/compare;3;0;25000;10000;1;0:00:01.844;13302054;2.08;152;4.37
Benchmarks/compare;3;0;25000;10000;1;0:00:01.913;13301857;2.17;173;4.28
Benchmarks/compare;3;0;25000;10000;1;0:00:02.071;13302063;2.25;143;4.25
Benchmarks/compare;3;0;25000;10000;1;0:00:02.457;13302018;2.70;161;4.37
Benchmarks/compare;3;0;25000;10000;1;0:00:02.479;13301892;2.76;158;4.48
Benchmarks/compare;3;0;25000;10000;1;0:00:02.217;13302035;2.48;160;4.35
Benchmarks/compare;3;0;25000;10000;1;0:00:02.306;13301760;2.54;154;4.32
Benchmarks/compare;3;0;25000;10000;1;0:00:01.904;13302001;2.36;168;4.37
Benchmarks/compare;3;0;25000;10000;1;0:00:03.144;13301883;3.39;180;4.32
Benchmarks/compare;3;0;25000;10000;1;0:00:01.919;13302230;2.17;154;4.35
Benchmarks/compare;3;0;25000;10000;2;0:00:02.260;13301855;2.49;153;4.31
Benchmarks/compare;3;0;25000;10000;2;0:00:02.023;13302031;2.26;150;4.27
Benchmarks/compare;3;0;25000;10000;2;0:00:03.282;13301872;3.52;153;4.38
Benchmarks/compare;3;0;25000;10000;2;0:00:02.109;13301937;2.34;165;4.29
Benchmarks/compare;3;0;25000;10000;2;0:00:02.020;13301781;2.30;149;4.24
Benchmarks/compare;3;0;25000;10000;2;0:00:02.354;13301902;2.63;152;4.32
Benchmarks/compare;3;0;25000;10000;2;0:00:02.265;13301903;2.51;166;4.38
Benchmarks/compare;3;0;25000;10000;2;0:00:03.388;13302000;3.62;167;4.44
Benchmarks/compare;3;0;25000;10000;2;0:00:02.961;13302001;4.21;162;4.58
Benchmarks/compare;3;0;25000;10000;2;0:00:02.766;13302029;3.05;163;4.44
Benchmarks/compare;3;0;25000;10000;5;0:00:03.141;13301763;3.41;154;4.34
Benchmarks/compare;3;0;25000;10000;5;0:00:04.075;13302047;6.38;151;4.52
Benchmarks/compare;3;0;25000;10000;5;0:00:02.765;13301877;3.15;151;4.33
Benchmarks/compare;3;0;25000;10000;5;0:00:03.182;13302120;5.37;158;4.58
Benchmarks/compare;3;0;25000;10000;5;0:00:02.763;13301951;3.03;157;4.31
Benchmarks/compare;3;0;25000;10000;5;0:00:02.945;13301883;3.13;164;4.30
Benchmarks/compare;3;0;25000;10000;5;0:00:02.397;13301992;2.57;157;4.31
Benchmarks/compare;3;0;25000;10000;5;0:00:03.932;13301847;4.21;152;4.24
Benchmarks/compare;3;0;25000;10000;5;0:00:03.336;13301918;3.51;151;4.28
Benchmarks/compare;3;0;25000;10000;5;0:00:03.564;13301955;4.76;148;4.35
Benchmarks/compare;3;0;10000;10000;0;0:00:01.837;13301868;2.11;168;4.22
Benchmarks/compare;3;0;10000;10000;0;0:00:01.804;13302068;2.07;153;4.27
Benchmarks/compare;3;0;10000;10000;0;0:00:02.054;13301940;2.33;145;4.31
Benchmarks/compare;3;0;10000;10000;0;0:00:02.040;13302027;2.31;150;4.37
Benchmarks/compare;3;0;10000;10000;0;0:00:02.207;13301852;2.45;158;4.36
Benchmarks/compare;3;0;10000;10000;0;0:00:01.805;13302002;2.04;164;4.21
Benchmarks/compare;3;0;10000;10000;0;0:00:02.213;13302133;2.49;148;4.17
Benchmarks/compare;3;0;10000;10000;0;0:00:02.199;13301887;2.47;155;4.48
Benchmarks/compare;3;0;10000;10000;0;0:00:01.812;13301963;2.05;155;4.25
Benchmarks/compare;3;0;10000;10000;0;0:00:01.873;13302016;2.05;156;4.36
Benchmarks/compare;3;0;1000;10000;0;0:00:02.342;13301912;2.58;152;4.26
Benchmarks/compare;3;0;1000;10000;0;0:00:02.031;13302016;2.27;165;4.40
Benchmarks/compare;3;0;1000;10000;0;0:00:02.077;13301951;2.35;157;4.27
Benchmarks/compare;3;0;1000;10000;0;0:00:02.191;13302034;2.45;160;4.40
Benchmarks/compare;3;0;1000;10000;0;0:00:02.154;13302028;2.39;166;4.45
Benchmarks/compare;3;0;1000;10000;0;0:00:02.076;13301845;2.25;160;4.23
Benchmarks/compare;3;0;1000;10000;0;0:00:02.075;13301893;2.35;151;4.33
Benchmarks/compare;3;0;1000;10000;0;0:00:02.980;13302055;3.26;166;4.34
Benchmarks/compare;3;0;1000;10000;0;0:00:02.944;13302024;3.22;158;4.35
Benchmarks/compare;3;0;1000;10000;0;0:00:02.170;13301855;2.42;174;4.41
Benchmarks/compare;3;0;100;10000;0;0:00:03.909;13301864;4.08;153;4.29
Benchmarks/compare;3;0;100;10000;0;0:00:03.374;13302086;3.56;157;4.41
Benchmarks/compare;3;0;100;10000;0;0:00:03.875;13301847;4.06;169;4.38
Benchmarks/compare;3;0;100;10000;0;0:00:03.304;13301947;3.49;169;4.28
Benchmarks/compare;3;0;100;10000;0;0:00:03.032;13301896;3.22;165;4.36
Benchmarks/compare;3;0;100;10000;0;0:00:03.969;13302090;4.24;159;4.44
Benchmarks/compare;3;0;100;10000;0;0:00:03.988;13301938;4.27;159;4.36
Benchmarks/compare;3;0;100;10000;0;0:00:03.637;13301954;3.81;160;4.34
Benchmarks/compare;3;0;100;10000;0;0:00:03.534;13301894;3.81;145;4.42
Benchmarks/compare;3;0;100;10000;0;0:00:03.404;13301942;3.69;155;4.57
