program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.310;19999319;2.68;360;4.71
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.113;19999290;2.46;354;4.68
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.035;19999327;2.37;356;4.64
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.456;19999331;2.70;350;4.76
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.028;19999190;2.36;352;4.57
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.046;19999132;2.37;361;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.188;19999216;2.43;346;4.60
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.031;19999140;2.28;363;4.53
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.042;19999225;2.37;350;4.43
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.048;19999215;2.39;356;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.079;19999216;2.44;356;4.51
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.219;19999168;2.47;360;4.66
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.063;19999120;2.31;353;4.63
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.031;19999292;2.36;362;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.241;19999225;2.49;352;4.70
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.035;19999160;2.35;353;4.53
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.048;19999137;2.39;362;4.63
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.153;19999050;2.41;360;4.49
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.049;19999176;2.39;364;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.042;19999215;2.29;348;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.208;19999191;2.57;367;4.62
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.090;19999217;2.43;358;4.48
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.034;19999075;2.37;354;4.63
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.113;19999449;2.46;354;4.68
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.106;19999464;2.36;352;4.75
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.040;19999056;2.36;350;4.65
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.048;19999229;2.41;368;4.52
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.035;19999154;2.35;356;4.50
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.051;19999241;2.29;352;4.58
Benchmarks/Share;3;0;25000;1000000;0;0:00:02.032;19999111;2.38;360;4.61
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.208;19999257;2.56;361;4.54
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.213;19999141;2.56;348;4.67
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.058;19999128;2.40;351;4.58
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.034;19999068;2.36;346;4.51
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.040;19999258;2.37;350;4.60
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.040;19999337;2.38;355;4.58
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.088;19999126;2.34;348;4.64
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.040;19999314;2.28;346;4.55
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.046;19999206;2.37;352;4.59
Benchmarks/Share;3;0;10000;1000000;0;0:00:02.037;19999351;2.37;350;4.57
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.084;19999227;2.41;354;4.72
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.064;19999198;2.49;366;4.65
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.243;19999238;2.68;362;4.65
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.037;19999217;2.44;348;4.64
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.068;19999353;2.40;354;4.66
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.038;19999310;2.37;352;4.58
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.286;19999135;2.71;346;4.61
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.031;19999280;2.43;352;4.64
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.082;19999121;2.51;344;4.60
Benchmarks/Share;3;0;1000;1000000;0;0:00:02.053;19999032;2.48;358;4.66
Benchmarks/Share;3;0;100;1000000;0;0:00:02.042;19999201;3.19;356;4.69
Benchmarks/Share;3;0;100;1000000;0;0:00:02.040;19999281;3.17;354;4.52
Benchmarks/Share;3;0;100;1000000;0;0:00:02.033;19999435;3.08;362;4.67
Benchmarks/Share;3;0;100;1000000;0;0:00:02.195;19999276;3.34;356;4.61
Benchmarks/Share;3;0;100;1000000;0;0:00:02.041;19999359;3.16;348;4.64
Benchmarks/Share;3;0;100;1000000;0;0:00:02.037;19999233;3.16;356;4.65
Benchmarks/Share;3;0;100;1000000;0;0:00:02.162;19999254;3.30;360;4.70
Benchmarks/Share;3;0;100;1000000;0;0:00:02.038;19999231;3.15;364;4.48
Benchmarks/Share;3;0;100;1000000;0;0:00:02.077;19999338;3.21;364;4.66
Benchmarks/Share;3;0;100;1000000;0;0:00:02.042;19999514;3.17;358;4.52
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.063;19999256;3.03;350;4.58
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.161;19999241;2.90;356;4.68
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.047;19999198;2.88;354;4.64
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.354;19999366;3.20;348;4.70
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.055;19999241;3.02;352;4.58
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.037;19999335;2.88;364;4.63
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.053;19999133;2.86;344;4.51
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.139;19999208;2.94;370;4.79
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.098;19999249;2.96;366;4.71
Benchmarks/Share;3;25;25000;1000000;0;0:00:02.042;19999146;2.87;352;4.77
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.038;19999266;3.48;354;4.55
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.115;19999149;3.60;350;4.66
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.164;19999396;3.66;344;4.58
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.081;19999093;3.52;354;4.61
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.507;19999176;4.02;352;4.74
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.167;19999124;3.66;362;4.54
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.118;19999202;3.62;360;4.61
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.136;19999241;3.64;364;4.52
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.035;19999179;3.52;356;4.53
Benchmarks/Share;3;50;25000;1000000;0;0:00:02.421;19999294;3.93;352;4.60
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.052;19999461;4.20;350;4.47
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.029;19999108;4.08;352;4.54
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.108;19999169;4.23;356;4.59
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.112;19999431;4.27;370;4.63
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.049;19999320;4.20;367;4.65
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.041;19999225;4.19;356;4.67
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.137;19999183;4.28;374;4.79
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.133;19999187;4.14;351;4.56
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.317;19999054;4.32;360;4.73
Benchmarks/Share;3;75;25000;1000000;0;0:00:02.091;19999177;4.09;352;4.61
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.051;19999263;2.40;354;4.64
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.020;19999067;2.34;348;4.68
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.045;19999146;2.38;352;4.68
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.059;19999204;2.38;350;4.58
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.038;19999166;2.39;370;4.54
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.210;19998973;3.56;348;4.67
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.043;19999176;2.29;362;4.71
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.395;19999198;2.74;350;4.78
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.230;19999283;2.58;348;4.67
Benchmarks/Share;3;0;25000;1000000;1;0:00:02.053;19999245;2.41;364;4.59
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.227;19999260;2.59;354;4.55
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.036;19999310;2.30;351;4.62
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.139;19999135;2.49;346;4.61
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.035;19999244;2.36;358;4.55
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.049;19999198;2.40;352;4.53
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.034;19999219;2.38;364;4.59
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.035;19998941;2.38;356;4.67
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.200;19999084;2.45;344;4.57
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.046;19999258;2.40;366;4.54
Benchmarks/Share;3;0;25000;1000000;2;0:00:02.166;19999345;2.43;348;4.65
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.071;19999286;3.32;368;4.52
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.034;19999277;2.59;362;4.56
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.038;19999157;2.67;348;4.37
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.035;19999192;2.30;366;4.64
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.110;19999149;2.66;366;4.74
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.040;19999298;4.53;357;4.69
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.044;19999139;2.45;344;4.59
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.044;19999093;3.59;346;4.62
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.052;19999189;3.63;360;4.63
Benchmarks/Share;3;0;25000;1000000;5;0:00:02.050;19999206;2.85;362;4.52
