program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/AES;3;0;25000;256;0;0:00:28.550;24318205;28.85;348;4.80
UseCases/AES;3;0;25000;256;0;0:00:29.992;24318205;30.32;344;4.61
UseCases/AES;3;0;25000;256;0;0:00:29.513;24318205;29.80;338;4.58
UseCases/AES;3;0;25000;256;0;0:00:28.816;24318205;29.09;337;4.46
UseCases/AES;3;0;25000;256;0;0:00:28.155;24318205;28.42;330;4.45
UseCases/AES;3;0;25000;256;0;0:00:29.447;24318205;29.74;334;4.65
UseCases/AES;3;0;25000;256;0;0:00:28.970;24318205;29.17;337;4.59
UseCases/AES;3;0;25000;256;0;0:00:28.893;24318205;29.09;326;4.56
UseCases/AES;3;0;25000;256;0;0:00:28.695;24318205;28.97;329;4.68
UseCases/AES;3;0;25000;256;0;0:00:28.460;24318205;28.70;333;4.57
UseCases/AES;3;0;25000;256;0;0:00:28.651;24318205;28.91;347;4.43
UseCases/AES;3;0;25000;256;0;0:00:28.878;24318205;29.19;345;4.64
UseCases/AES;3;0;25000;256;0;0:00:29.251;24318205;29.44;332;4.62
UseCases/AES;3;0;25000;256;0;0:00:27.919;24318205;28.12;345;4.48
UseCases/AES;3;0;25000;256;0;0:00:29.273;24318205;29.58;331;4.54
UseCases/AES;3;0;25000;256;0;0:00:29.615;24318205;29.89;359;4.51
UseCases/AES;3;0;25000;256;0;0:00:28.814;24318205;29.10;325;4.54
UseCases/AES;3;0;25000;256;0;0:00:29.123;24318205;29.42;329;4.53
UseCases/AES;3;0;25000;256;0;0:00:28.625;24318205;28.82;328;4.61
UseCases/AES;3;0;25000;256;0;0:00:29.182;24318205;29.47;329;4.50
UseCases/AES;3;0;25000;256;0;0:00:28.371;24318205;28.65;339;4.53
UseCases/AES;3;0;25000;256;0;0:00:28.633;24318205;28.94;335;4.55
UseCases/AES;3;0;25000;256;0;0:00:28.704;24318205;29.00;333;4.52
UseCases/AES;3;0;25000;256;0;0:00:28.509;24318205;28.71;349;4.45
UseCases/AES;3;0;25000;256;0;0:00:28.804;24318205;29.07;327;4.48
UseCases/AES;3;0;25000;256;0;0:00:28.879;24318205;29.12;330;4.44
UseCases/AES;3;0;25000;256;0;0:00:28.761;24318205;29.02;330;4.45
