program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
Benchmarks/Division;3;0;25000;1000;0;0:00:52.435;7300023;52.74;1441;5.12
Benchmarks/Division;3;0;25000;1000;0;0:00:46.737;7300023;47.06;1396;4.82
Benchmarks/Division;3;0;25000;1000;0;0:00:48.794;7300023;49.16;1460;4.92
Benchmarks/Division;3;0;25000;1000;0;0:00:48.073;7300023;48.35;1410;5.08
Benchmarks/Division;3;0;25000;1000;0;0:00:52.811;7300023;53.10;1428;5.15
Benchmarks/Division;3;0;25000;1000;0;0:00:50.269;7300023;50.56;1289;4.74
Benchmarks/Division;3;0;25000;1000;0;0:00:49.441;7300023;49.72;1432;4.97
Benchmarks/Division;3;0;25000;1000;0;0:00:45.777;7300023;46.07;1281;4.81
Benchmarks/Division;3;0;25000;1000;0;0:00:46.583;7300023;46.88;1428;4.92
Benchmarks/Division;3;0;25000;1000;0;0:00:46.928;7300023;47.23;1338;4.94
Benchmarks/Division;3;0;25000;1000;0;0:00:56.169;7300023;56.47;1348;4.91
Benchmarks/Division;3;0;25000;1000;0;0:00:47.653;7300023;47.87;1395;4.95
Benchmarks/Division;3;0;25000;1000;0;0:00:46.845;7300023;47.15;1314;4.91
Benchmarks/Division;3;0;25000;1000;0;0:00:47.094;7300023;47.40;1325;4.77
Benchmarks/Division;3;0;25000;1000;0;0:00:55.341;7300023;55.63;1388;4.96
Benchmarks/Division;3;0;25000;1000;0;0:00:53.793;7300023;54.10;1380;5.02
Benchmarks/Division;3;0;25000;1000;0;0:00:51.714;7300023;52.00;1363;4.80
Benchmarks/Division;3;0;25000;1000;0;0:00:50.982;7300023;51.26;1415;5.01
Benchmarks/Division;3;0;25000;1000;0;0:00:47.076;7300023;47.28;1404;5.15
Benchmarks/Division;3;0;25000;1000;0;0:00:49.497;7300023;49.69;1311;4.85
Benchmarks/Division;3;0;25000;1000;0;0:00:48.709;7300023;49.01;1369;4.96
Benchmarks/Division;3;0;25000;1000;0;0:00:46.639;7300023;46.91;1381;4.87
Benchmarks/Division;3;0;25000;1000;0;0:00:46.097;7300023;46.38;1398;4.82
Benchmarks/Division;3;0;25000;1000;0;0:00:51.495;7300023;51.80;1328;5.02
Benchmarks/Division;3;0;25000;1000;0;0:00:48.394;7300023;48.68;1368;4.98
Benchmarks/Division;3;0;25000;1000;0;0:00:48.561;7300023;48.85;1349;4.81
Benchmarks/Division;3;0;25000;1000;0;0:00:47.528;7300023;47.82;1329;4.93
Benchmarks/Division;3;0;25000;1000;0;0:00:47.205;7300023;47.50;1326;4.81
Benchmarks/Division;3;0;25000;1000;0;0:00:45.887;7300023;46.17;1323;4.85
Benchmarks/Division;3;0;25000;1000;0;0:00:46.388;7300023;46.67;1416;4.91
Benchmarks/Division;3;0;10000;1000;0;0:00:46.878;7300023;47.08;1347;4.83
Benchmarks/Division;3;0;10000;1000;0;0:00:49.599;7300023;49.81;1407;4.92
Benchmarks/Division;3;0;10000;1000;0;0:00:47.182;7300023;47.45;1362;4.81
Benchmarks/Division;3;0;10000;1000;0;0:00:51.644;7300023;51.93;1415;4.89
Benchmarks/Division;3;0;10000;1000;0;0:00:47.250;7300023;47.52;1420;4.93
Benchmarks/Division;3;0;10000;1000;0;0:00:48.377;7300023;48.58;1439;4.72
Benchmarks/Division;3;0;10000;1000;0;0:00:52.486;7300023;52.69;1420;5.11
Benchmarks/Division;3;0;10000;1000;0;0:00:47.841;7300023;48.14;1257;4.74
Benchmarks/Division;3;0;10000;1000;0;0:00:49.542;7300023;49.72;1347;4.68
Benchmarks/Division;3;0;10000;1000;0;0:00:52.590;7300023;52.87;1439;4.82
Benchmarks/Division;3;0;1000;1000;0;0:00:45.768;7300023;45.97;1440;5.05
Benchmarks/Division;3;0;1000;1000;0;0:00:46.166;7300023;46.47;1322;5.01
Benchmarks/Division;3;0;1000;1000;0;0:00:47.269;7300023;47.56;1262;4.86
Benchmarks/Division;3;0;1000;1000;0;0:00:50.278;7300023;50.48;1426;5.00
Benchmarks/Division;3;0;1000;1000;0;0:00:49.546;7300023;49.85;1357;4.92
Benchmarks/Division;3;0;1000;1000;0;0:00:46.919;7300023;47.22;1433;5.00
Benchmarks/Division;3;0;1000;1000;0;0:00:46.895;7300023;47.10;1433;5.06
Benchmarks/Division;3;0;1000;1000;0;0:00:50.434;7300023;50.65;1428;5.13
Benchmarks/Division;3;0;1000;1000;0;0:00:51.780;7300023;51.98;1275;4.85
Benchmarks/Division;3;0;1000;1000;0;0:00:46.853;7300023;47.16;1330;4.95
Benchmarks/Division;3;0;100;1000;0;0:00:47.163;7300023;47.46;1432;4.80
Benchmarks/Division;3;0;100;1000;0;0:00:51.462;7300023;51.75;1388;4.91
Benchmarks/Division;3;0;100;1000;0;0:00:48.234;7300023;48.53;1350;4.89
Benchmarks/Division;3;0;100;1000;0;0:00:46.817;7300023;47.03;1346;4.94
Benchmarks/Division;3;0;100;1000;0;0:00:45.657;7300023;45.87;1425;5.16
Benchmarks/Division;3;0;100;1000;0;0:00:52.159;7300023;52.44;1266;5.00
Benchmarks/Division;3;0;100;1000;0;0:00:47.769;7300023;48.04;1347;4.97
Benchmarks/Division;3;0;100;1000;0;0:00:49.832;7300023;50.13;1435;4.81
Benchmarks/Division;3;0;100;1000;0;0:00:51.336;7300023;51.54;1433;4.96
Benchmarks/Division;3;0;100;1000;0;0:00:46.976;7300023;47.18;1325;4.89
Benchmarks/Division;3;25;25000;1000;0;0:00:51.994;7300023;52.32;1270;4.70
Benchmarks/Division;3;25;25000;1000;0;0:00:47.366;7300023;47.81;1238;4.77
Benchmarks/Division;3;25;25000;1000;0;0:00:52.742;7300023;53.09;1245;4.78
Benchmarks/Division;3;25;25000;1000;0;0:00:50.582;7300023;50.88;1274;4.86
Benchmarks/Division;3;25;25000;1000;0;0:00:50.897;7300023;51.22;1265;4.77
Benchmarks/Division;3;25;25000;1000;0;0:00:56.126;7300023;56.60;1260;4.71
Benchmarks/Division;3;25;25000;1000;0;0:00:52.611;7300023;52.94;1259;4.86
Benchmarks/Division;3;25;25000;1000;0;0:00:46.799;7300023;47.24;1267;4.84
Benchmarks/Division;3;25;25000;1000;0;0:00:50.591;7300023;50.91;1504;4.95
Benchmarks/Division;3;25;25000;1000;0;0:00:47.287;7300023;47.62;1378;4.85
Benchmarks/Division;3;25;25000;1000;0;0:00:51.991;7300023;52.31;1306;4.74
Benchmarks/Division;3;50;25000;1000;0;0:00:49.740;7300023;50.21;1262;4.88
Benchmarks/Division;3;50;25000;1000;0;0:00:52.559;7300023;53.05;1269;4.87
Benchmarks/Division;3;50;25000;1000;0;0:00:50.133;7300023;50.61;1266;4.86
Benchmarks/Division;3;50;25000;1000;0;0:00:47.178;7300023;47.64;1272;4.75
Benchmarks/Division;3;50;25000;1000;0;0:00:48.586;7300023;49.06;1256;4.83
Benchmarks/Division;3;50;25000;1000;0;0:00:48.179;7300023;48.62;1237;4.75
Benchmarks/Division;3;50;25000;1000;0;0:00:49.760;7300023;50.25;1240;4.63
Benchmarks/Division;3;50;25000;1000;0;0:00:48.672;7300023;49.12;1279;4.76
Benchmarks/Division;3;50;25000;1000;0;0:00:47.797;7300023;48.27;1258;4.88
Benchmarks/Division;3;50;25000;1000;0;0:00:47.315;7300023;47.80;1261;4.72
Benchmarks/Division;3;75;25000;1000;0;0:00:48.044;7300023;48.66;1279;4.78
Benchmarks/Division;3;75;25000;1000;0;0:00:51.060;7300023;51.67;1182;4.92
Benchmarks/Division;3;75;25000;1000;0;0:00:50.936;7300023;51.56;1256;4.71
Benchmarks/Division;3;75;25000;1000;0;0:00:47.378;7300023;48.01;1278;4.80
Benchmarks/Division;3;75;25000;1000;0;0:00:53.056;7300023;53.68;1260;4.78
Benchmarks/Division;3;75;25000;1000;0;0:00:50.788;7300023;51.41;1474;4.87
Benchmarks/Division;3;75;25000;1000;0;0:00:52.442;7300023;53.06;1275;4.92
Benchmarks/Division;3;75;25000;1000;0;0:00:47.547;7300023;48.14;1305;4.82
Benchmarks/Division;3;75;25000;1000;0;0:00:48.509;7300023;49.12;1247;4.63
Benchmarks/Division;3;75;25000;1000;0;0:00:53.201;7300023;53.81;1309;4.72
Benchmarks/Division;3;0;25000;1000;1;0:00:46.993;7300023;47.28;1336;4.74
Benchmarks/Division;3;0;25000;1000;1;0:00:47.855;7300023;48.13;1306;4.68
Benchmarks/Division;3;0;25000;1000;1;0:00:49.812;7300023;50.08;1430;4.72
Benchmarks/Division;3;0;25000;1000;1;0:00:51.275;7300023;51.58;1391;4.87
Benchmarks/Division;3;0;25000;1000;1;0:00:46.020;7300023;46.31;1437;4.76
Benchmarks/Division;3;0;25000;1000;1;0:00:52.134;7300023;52.43;1381;4.74
Benchmarks/Division;3;0;25000;1000;1;0:00:50.281;7300023;50.59;1394;4.82
Benchmarks/Division;3;0;25000;1000;1;0:00:51.451;7300023;51.65;1353;4.83
Benchmarks/Division;3;0;25000;1000;1;0:00:49.662;7300023;49.95;1347;4.80
Benchmarks/Division;3;0;25000;1000;1;0:00:46.603;7300023;46.81;1289;4.65
Benchmarks/Division;3;0;25000;1000;2;0:00:46.917;7300023;47.53;1426;4.72
Benchmarks/Division;3;0;25000;1000;2;0:00:46.149;7300023;46.70;1374;4.62
Benchmarks/Division;3;0;25000;1000;2;0:00:52.602;7300023;53.06;1358;4.76
Benchmarks/Division;3;0;25000;1000;2;0:00:49.762;7300023;49.96;1265;4.72
Benchmarks/Division;3;0;25000;1000;2;0:00:47.623;7300023;47.95;1317;4.67
Benchmarks/Division;3;0;25000;1000;2;0:00:46.585;7300023;47.09;1441;4.71
Benchmarks/Division;3;0;25000;1000;2;0:00:53.961;7300023;54.24;1425;4.77
Benchmarks/Division;3;0;25000;1000;2;0:00:50.456;7300023;51.74;1336;4.71
Benchmarks/Division;3;0;25000;1000;2;0:00:47.298;7300023;47.69;1367;4.55
Benchmarks/Division;3;0;25000;1000;2;0:00:47.354;7300023;47.64;1331;4.74
Benchmarks/Division;3;0;25000;1000;5;0:00:46.989;7300023;48.22;1384;4.60
Benchmarks/Division;3;0;25000;1000;5;0:00:56.429;7300023;56.74;1270;4.70
Benchmarks/Division;3;0;25000;1000;5;0:00:50.435;7300023;50.97;1251;4.55
Benchmarks/Division;3;0;25000;1000;5;0:00:53.280;7300023;53.75;1279;4.56
Benchmarks/Division;3;0;25000;1000;5;0:00:53.726;7300023;54.01;1478;4.91
Benchmarks/Division;3;0;25000;1000;5;0:00:52.485;7300023;52.78;1426;4.70
Benchmarks/Division;3;0;25000;1000;5;0:00:52.900;7300023;54.22;1213;4.62
Benchmarks/Division;3;0;25000;1000;5;0:00:54.595;7300023;55.04;1421;4.75
Benchmarks/Division;3;0;25000;1000;5;0:00:52.716;7300023;52.96;1319;4.50
Benchmarks/Division;3;0;25000;1000;5;0:00:49.784;7300023;50.10;1303;4.61
