comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;0;1;.000412;preprocessin;.000045;.000048;.000066;.000833;4;615
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;1;1;.047783;preprocessin;.000065;.000061;.000153;.047916;4;13
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;2;1;.085879;preprocessin;.000072;.003292;.042668;.086250;4;8
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;0;1;5;1;.160298;preprocessin;.000094;.012174;.093864;.169166;4;5
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;1;1;0;1;.000493;.000053;.000037;.000044;.000068;.000833;4;513
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;1;1;1;1;.066759;.042625;.000059;.001836;.042360;.085416;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;1;1;2;1;.085107;.042436;.000064;.014344;.046781;.090833;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;25000;2605;1;1;5;1;.303895;.084919;.000102;.010704;.082934;.346666;4;2
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;0;1;0;1;.000491;preprocessin;.000040;.000064;.000086;.000833;4;508
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;0;1;1;1;.091733;preprocessin;.000066;.001868;.042884;.092083;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;0;1;2;1;.085115;preprocessin;.000070;.009490;.051378;.085833;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;0;1;5;1;.344111;preprocessin;.000103;.007632;.043067;.461666;4;1
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;1;1;0;1;.000426;.000067;.000041;.000064;.000095;.000833;4;561
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;1;1;1;1;.095260;.041911;.000058;.001818;.041667;.095416;4;6
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;1;1;2;1;.128378;.041724;.000079;.007273;.072105;.142083;4;4
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;10000;2605;1;1;5;1;.170142;.041783;.000098;.010467;.102965;.177083;4;4
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;0;1;0;1;.000934;preprocessin;.000034;.000402;.000567;.001666;4;240
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;0;1;1;1;.085853;preprocessin;.000060;.001958;.042668;.086250;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;0;1;2;1;.084983;preprocessin;.000079;.007046;.042919;.101250;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;0;1;5;1;.126585;preprocessin;.000088;.009974;.076363;.127916;4;5
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;1;1;0;1;.000671;.000211;.000036;.000338;.000502;.001250;4;334
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;1;1;1;1;.083185;.041709;.000096;.005315;.042785;.083333;4;10
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;1;1;2;1;.085504;.041585;.000059;.002063;.044941;.088333;4;7
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;1000;2605;1;1;5;1;.126289;.043003;.000101;.011163;.126646;.169166;4;5
0.03;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;0;1;0;1;.003487;preprocessin;.000095;.003585;.004629;.007500;4;91
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;0;1;1;1;.083603;preprocessin;.000100;.005161;.043339;.086666;4;8
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;0;1;2;1;.087804;preprocessin;.000114;.008273;.043771;.089166;4;9
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;0;1;5;1;.173327;preprocessin;.000112;.002173;.019246;.174166;4;4
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;1;1;0;1;.003263;.002455;.000103;.003604;.004868;.007500;4;101
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;1;1;1;1;.072016;.085217;.000085;.005134;.041952;.087083;4;8
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;1;1;2;1;.125498;.042500;.000109;.008427;.044111;.127916;4;6
0.02;3;1;0;4;512;44;1;0;5;10000;10000;0;100;2605;1;1;5;1;.127308;.085353;.000118;.010061;.043928;.170833;4;5
