program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Multiplication;arithmetic_gmw;0;0;25000;1000000;0;12186.894;19.60;14701;145;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;25000;1000000;1;11820.317;18.87;14772;141;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;25000;1000000;2;12402.858;18.70;14770;147;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;25000;1000000;5;16458.564;24.49;15105;110;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;25000;1000000;10;175558.587;183.90;17042;16;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;10000;1000000;0;12265.994;19.53;14587;143;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;10000;1000000;1;12519.277;20.16;14650;143;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;10000;1000000;2;12572.958;20.23;14693;141;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;10000;1000000;5;16202.407;23.76;16260;116;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;10000;1000000;10;141382.492;155.32;17026;20;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;1000;1000000;0;15993.096;22.25;15964;119;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;1000;1000000;1;16318.574;23.87;16623;119;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;1000;1000000;2;17850.434;25.27;15820;117;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;1000;1000000;5;29012.509;36.17;15926;81;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;1000;1000000;10;172745.628;180.36;17087;19;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;100;1000000;0;71059.221;79.08;17077;47;621.829;621.829;514;514
Multiplication;arithmetic_gmw;0;0;100;1000000;1;75362.054;82.41;17015;46;621.829;621.829;514;514
