program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Division;boolean_gmw;0;0;25000;10000;0;21506.824;27.45;6526;65;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;25000;10000;0.5;29879.472;35.84;6549;51;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;25000;10000;1;36591.633;42.71;6502;39;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;25000;10000;2;49357.465;53.38;6561;32;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;25000;10000;5;76916.221;82.88;6193;20;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;10000;10000;0;18973.941;24.94;6530;74;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;10000;10000;0.5;30945.807;37.16;6478;48;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;10000;10000;1;34721.759;40.56;6366;41;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;10000;10000;2;44673.443;48.63;6559;39;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;10000;10000;5;73057.676;79.21;6469;21;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;1000;10000;0;20708.473;26.65;6560;63;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;1000;10000;0.5;32314.716;38.27;6572;43;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;1000;10000;1;36600.837;42.76;6567;40;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;1000;10000;2;48481.891;54.43;6559;30;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;1000;10000;5;85045.395;91.21;6677;19;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;100;10000;0;41430.014;47.38;6721;45;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;100;10000;0.5;50737.062;56.71;6695;36;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;100;10000;1;55535.813;58.53;6694;36;220.932;220.932;3196;3196
Division;boolean_gmw;0;0;100;10000;2;69912.329;73.09;6719;29;220.932;220.932;3196;3196
