program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Comparison;boolean_gmw;0;0;25000;10000;0;580.631;3.84;440;40;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;25000;10000;1;824.494;4.10;448;38;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;25000;10000;2;1442.697;5.70;453;28;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;25000;10000;5;2725.948;3.21;442;50;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;25000;10000;10;4070.526;8.59;454;18;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;10000;10000;0;552.243;3.77;452;41;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;10000;10000;1;962.757;4.18;451;37;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;10000;10000;2;914.456;4.13;454;36;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;10000;10000;5;1215.466;4.50;455;36;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;10000;10000;10;11560.766;15.00;453;11;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;1000;10000;0;674.987;3.96;434;41;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;1000;10000;1;951.980;5.18;436;31;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;1000;10000;2;1038.631;1.49;452;103;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;1000;10000;5;1505.626;4.79;444;36;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;1000;10000;10;6498.590;9.73;457;17;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;100;10000;0;2543.433;2.79;449;66;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;100;10000;1;2420.106;5.66;448;30;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;100;10000;2;2425.028;5.70;453;31;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;100;10000;5;3777.489;7.31;451;25;14.040;14.040;568;568
Comparison;boolean_gmw;0;0;100;10000;10;20850.747;24.35;449;7;14.040;14.040;568;568
Comparison;boolean_gmw;0;25;25000;10000;0;1739.343;2.19;454;72;14.040;14.040;568;568
Comparison;boolean_gmw;0;25;25000;10000;1;6805.028;7.23;455;21;14.040;14.040;568;568
