program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Share;arithmetic_gmw;0;0;25000;1000000;0;113.004;3.14;78;4;0.000;0.000;4;4
share;arithmetic_gmw;3;0;25000;1000000;1;54.357;3.07;76;3;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;25000;1000000;2;70.860;3.30;74;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;25000;1000000;5;63.025;3.08;74;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;25000;1000000;10;484.279;3.50;76;4;0.000;0.000;4;4
share;arithmetic_gmw;0;0;10000;1000000;0;65.403;3.09;76;5;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;10000;1000000;1;74.376;3.09;78;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;10000;1000000;2;64.990;3.27;78;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;10000;1000000;5;65.417;3.08;74;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;10000;1000000;10;73.713;3.10;74;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;1000;1000000;0;72.876;3.09;74;5;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;1000;1000000;1;47.584;0.07;75;139;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;1000;1000000;2;70.924;3.09;77;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;1000;1000000;5;274.390;0.50;78;29;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;1000;1000000;10;107.566;3.31;73;3;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;100;1000000;0;62.561;3.09;78;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;100;1000000;1;91.475;3.11;74;3;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;100;1000000;2;65.497;3.08;74;4;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;100;1000000;5;81.908;0.30;74;53;0.000;0.000;4;4
Share;arithmetic_gmw;0;0;100;1000000;10;64.760;4.49;78;3;0.000;0.000;4;4
Share;arithmetic_gmw;0;25;25000;1000000;0;204.394;0.37;78;37;0.000;0.000;4;4
Share;arithmetic_gmw;0;25;25000;1000000;1;192.705;0.39;78;26;0.000;0.000;4;4
Share;arithmetic_gmw;0;25;25000;1000000;2;213.185;0.37;74;43;0.000;0.000;4;4
Share;arithmetic_gmw;0;25;25000;1000000;5;466.457;1.62;76;8;0.000;0.000;4;4
