program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec;multTripPresetup;multTripSetup;sharedPowerPresetup;sharedPowerSetup;sharedBitPresetup;sharedBitSetup;baseOT;otExtension;kk13OtExtension;preprocessingTime;gatesSetup;gatesOnline
Reveal;arithmetic_gmw;0;0;25000;1000000;0;45.490;0.07;65;181;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.024;0.003;28.250
Reveal;arithmetic_gmw;0;0;25000;1000000;1;48.224;3.07;59;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.709;0.020;32.318
Reveal;arithmetic_gmw;0;0;25000;1000000;2;37.864;3.06;65;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.775;0.003;24.641
Reveal;arithmetic_gmw;0;0;25000;1000000;5;41.735;3.06;65;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.264;0.002;28.942
Reveal;arithmetic_gmw;0;0;25000;1000000;10;279.784;3.30;62;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.912;0.003;268.021
Reveal;arithmetic_gmw;0;0;10000;1000000;0;42.427;3.07;65;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.696;0.003;24.533
Reveal;arithmetic_gmw;0;0;10000;1000000;1;255.321;3.28;65;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;205.812;0.005;34.045
Reveal;arithmetic_gmw;0;0;10000;1000000;2;43.207;3.06;62;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.654;0.004;29.169
Reveal;arithmetic_gmw;0;0;10000;1000000;5;682.015;3.70;64;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;208.750;0.004;461.723
Reveal;arithmetic_gmw;0;0;10000;1000000;10;253.652;6.47;69;2;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.408;0.003;240.067
Reveal;arithmetic_gmw;0;0;1000;1000000;0;71.147;3.10;63;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;2.157;0.003;56.361
Reveal;arithmetic_gmw;0;0;1000;1000000;1;92.492;3.32;64;4;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.459;0.004;74.352
Reveal;arithmetic_gmw;0;0;1000;1000000;2;79.780;3.09;65;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.679;0.002;65.610
Reveal;arithmetic_gmw;0;0;1000;1000000;5;75.356;3.99;69;3;3.815;3.815;5;5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;Setup;Extension;1.763;0.002;62.346
