program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Reveal;arithmetic_gmw;0;0;25000;1000000;0;45.490;0.07;65;181;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;25000;1000000;1;48.224;3.07;59;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;25000;1000000;2;37.864;3.06;65;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;25000;1000000;5;41.735;3.06;65;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;25000;1000000;10;279.784;3.30;62;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;10000;1000000;0;42.427;3.07;65;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;10000;1000000;1;255.321;3.28;65;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;10000;1000000;2;43.207;3.06;62;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;10000;1000000;5;682.015;3.70;64;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;10000;1000000;10;253.652;6.47;69;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;1000;1000000;0;71.147;3.10;63;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;1000;1000000;1;92.492;3.32;64;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;1000;1000000;2;79.780;3.09;65;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;1000;1000000;5;75.356;3.99;69;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;1000;1000000;10;1035.157;4.13;62;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;100;1000000;0;431.037;3.57;61;5;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;100;1000000;1;500.059;3.65;61;5;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;100;1000000;2;481.398;3.51;64;5;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;100;1000000;5;676.094;3.76;65;5;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;0;100;1000000;10;1814.878;6.25;65;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;25000;1000000;0;612.827;0.81;65;18;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;25000;1000000;1;1444.763;2.27;65;7;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;25000;1000000;2;1123.648;3.09;59;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;25000;1000000;5;4102.641;5.80;62;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;25000;1000000;10;7736.653;9.21;62;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;10000;1000000;0;579.881;0.76;61;18;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;10000;1000000;1;772.978;2.63;65;5;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;10000;1000000;2;2682.563;3.15;60;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;10000;1000000;5;4110.538;5.42;66;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;10000;1000000;10;6237.390;10.95;65;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;1000;1000000;0;602.278;0.78;61;17;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;1000;1000000;1;1029.519;1.17;66;10;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;1000;1000000;2;3453.516;3.90;64;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;1000;1000000;5;4761.341;5.77;63;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;1000;1000000;10;10551.349;14.83;69;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;100;1000000;0;847.430;1.04;68;19;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;100;1000000;1;2700.087;2.84;62;6;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;100;1000000;2;3677.388;4.13;62;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;100;1000000;5;4947.899;7.91;67;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;25;100;1000000;10;9556.359;12.20;63;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;25000;1000000;0;1067.901;1.42;63;7;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;25000;1000000;1;2891.231;4.67;66;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;25000;1000000;2;4032.599;5.36;66;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;25000;1000000;5;6604.008;10.22;65;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;25000;1000000;10;17676.431;18.79;59;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;10000;1000000;0;1176.667;1.44;62;10;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;10000;1000000;1;1383.580;1.66;62;7;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;10000;1000000;2;1871.997;3.17;59;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;10000;1000000;5;9081.433;10.92;66;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;10000;1000000;10;12170.026;15.46;61;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;1000;1000000;0;1086.862;1.45;61;11;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;1000;1000000;1;2323.678;4.29;65;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;1000;1000000;2;1792.415;2.43;61;6;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;1000;1000000;5;7842.248;9.13;62;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;1000;1000000;10;19941.454;20.98;66;0;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;100;1000000;0;1395.557;1.86;66;9;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;100;1000000;1;1482.148;1.79;62;10;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;100;1000000;2;4588.150;9.57;61;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;100;1000000;5;10806.414;11.69;64;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;50;100;1000000;10;18368.787;18.98;64;0;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;25000;1000000;0;1579.482;2.13;61;6;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;25000;1000000;1;6983.054;7.38;64;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;25000;1000000;2;7177.763;7.57;66;2;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;25000;1000000;5;11034.147;11.95;64;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;25000;1000000;10;28143.122;32.38;62;0;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;10000;1000000;0;1581.557;2.11;64;7;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;10000;1000000;1;2630.133;3.34;66;4;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;10000;1000000;2;7151.792;11.96;69;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;10000;1000000;5;16238.447;16.64;64;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;10000;1000000;10;20427.146;30.04;69;0;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;1000;1000000;0;1593.153;2.14;60;6;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;1000;1000000;1;3540.903;3.94;62;3;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;1000;1000000;2;10187.462;11.08;62;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;1000;1000000;5;10848.206;11.24;66;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;1000;1000000;10;22777.434;24.76;62;0;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;100;1000000;0;1778.395;2.31;63;8;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;100;1000000;1;4574.039;10.11;69;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;100;1000000;2;8466.860;9.88;60;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;100;1000000;5;15581.137;16.66;62;1;3.815;3.815;5;5
Reveal;arithmetic_gmw;0;75;100;1000000;10;23926.461;27.66;61;0;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;25000;1000000;0;52.177;3.08;64;3;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;25000;1000000;1;48.862;3.13;62;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;25000;1000000;2;99.990;3.12;63;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;25000;1000000;5;496.533;0.54;58;28;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;25000;1000000;10;1353.427;5.02;66;3;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;10000;1000000;0;45.677;0.07;62;134;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;10000;1000000;1;263.888;3.28;63;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;10000;1000000;2;61.003;3.29;58;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;10000;1000000;5;263.973;3.29;55;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;10000;1000000;10;72.371;8.50;62;1;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;1000;1000000;0;132.328;3.15;63;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;1000;1000000;1;301.773;3.32;64;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;1000;1000000;2;131.567;3.15;60;5;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;1000;1000000;5;88.097;0.54;60;24;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;1000;1000000;10;3827.834;7.05;57;3;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;100;1000000;0;457.782;3.47;67;6;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;100;1000000;1;472.712;0.57;58;40;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;100;1000000;2;445.908;3.49;66;6;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;100;1000000;5;588.641;4.62;64;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;0;100;1000000;10;1180.069;2.72;62;8;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;25000;1000000;0;587.491;0.77;66;19;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;25000;1000000;1;1755.318;1.91;66;9;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;25000;1000000;2;1044.636;3.61;66;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;25000;1000000;5;5007.169;7.25;62;2;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;25000;1000000;10;8179.079;11.16;64;1;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;10000;1000000;0;584.869;0.78;66;19;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;10000;1000000;1;1243.519;2.39;63;7;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;10000;1000000;2;4598.912;4.75;62;3;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;10000;1000000;5;3129.644;5.58;70;3;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;10000;1000000;10;9781.508;11.44;62;1;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;1000;1000000;0;634.345;0.78;62;20;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;1000;1000000;1;689.991;2.25;64;6;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;1000;1000000;2;2857.532;3.00;66;6;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;1000;1000000;5;5486.745;5.69;61;4;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;1000;1000000;10;7157.308;11.35;68;1;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;100;1000000;0;891.018;1.05;62;20;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;100;1000000;1;942.060;2.16;70;8;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;100;1000000;2;2941.688;3.09;65;6;3.815;3.815;5;5
Reveal;boolean_gmw;0;25;100;1000000;5;6955.486;7.82;59;3;3.815;3.815;5;5
