program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
53;FIELD;semihonest;replicated-field;3;0.47;32;1;0;25000;10000;0;4.14363;4.23;71;81%;~299;21.0172;63.0517;0.11
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;1;4.85435;7.00;70;51%;~299;21.0172;63.0517;0.16
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;2;5.09956;7.21;71;49%;~299;21.0172;63.0517;0.08
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;5;10.8164;17.12;71;27%;~299;21.0172;63.0517;0.12
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;0;4.07737;4.15;69;74%;~299;21.0172;63.0517;0.15
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;1;4.68035;5.79;71;59%;~299;21.0172;63.0517;0.12
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;2;5.5807;7.12;71;55%;~299;21.0172;63.0517;0.14
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;5;11.1468;13.13;70;34%;~299;21.0172;63.0517;0.13
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;0;4.15056;4.23;69;79%;~299;21.0172;63.0517;0.10
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;1;6.12316;6.41;69;61%;~299;21.0172;63.0517;0.12
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;2;6.05074;7.59;71;49%;~299;21.0172;63.0517;0.08
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;5;11.8446;13.17;72;35%;~299;21.0172;63.0517;0.11
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;0;6.18288;6.26;70;56%;~299;21.0172;63.0517;0.17
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;1;6.82573;7.96;71;55%;~299;21.0172;63.0517;0.18
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;2;7.38769;7.48;73;59%;~299;21.0172;63.0517;0.20
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;5;13.6277;16.64;70;29%;~299;21.0172;63.0517;0.20
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;0;10.2111;12.15;71;40%;~299;21.0172;63.0517;0.19
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;1;19.593;21.77;71;23%;~299;21.0172;63.0517;0.13
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;2;30.2531;33.49;71;15%;~299;21.0172;63.0517;0.17
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;5;45.3445;48.37;69;11%;~299;21.0172;63.0517;0.17
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;0;10.2491;12.18;71;41%;~299;21.0172;63.0517;0.13
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;1;19.3082;21.70;72;24%;~299;21.0172;63.0517;0.11
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;2;27.3918;29.45;73;17%;~299;21.0172;63.0517;0.17
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;5;50.26;55.99;71;9%;~299;21.0172;63.0517;0.18
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;1000;10000;0;10.1415;12.06;72;41%;~299;21.0172;63.0517;0.14
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;1000;10000;1;20.7183;22.69;71;23%;~299;21.0172;63.0517;0.15
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;1000;10000;2;30.2094;34.41;72;15%;~299;21.0172;63.0517;0.13
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;1000;10000;5;44.5729;48.51;71;11%;~299;21.0172;63.0517;0.18
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;100;10000;0;11.497;13.42;72;37%;~299;21.0172;63.0517;0.20
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;100;10000;1;21.4986;23.44;71;23%;~299;21.0172;63.0517;0.18
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;100;10000;2;29.9538;32.21;71;17%;~299;21.0172;63.0517;0.17
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;100;10000;5;49.8802;54.32;71;10%;~299;21.0172;63.0517;0.20
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;50;25000;10000;0;15.2797;19.05;71;29%;~299;21.0172;63.0517;0.12
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;50;25000;10000;1;37.4391;41.13;71;13%;~299;21.0172;63.0517;0.15
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;50;25000;10000;2;46.3554;51.88;73;10%;~299;21.0172;63.0517;0.15
53;FIELD;semihonest;replicated-field;3;NA;NA;NA;50;25000;10000;5;78.8437;84.98;70;6%;~299;21.0172;63.0517;0.15
