program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
54;FIELD;semihonest;replicated-field;3;0.43;32;1;0;25000;10000;0;0.0173556;0.09;12;60%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;1;0.0249762;0.12;12;53%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;2;0.0173165;1.56;12;4%;~2;0.160016;0.480048;0.00
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;25000;10000;5;0.0416979;4.04;14;2%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;0;0.0171663;0.09;14;62%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;1;0.031645;1.33;14;5%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;2;0.0172047;0.09;12;56%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;10000;10000;5;0.0795694;0.99;12;9%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;0;0.0178915;0.09;12;62%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;1;0.0413411;0.54;12;16%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;2;0.0183385;0.09;12;63%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;1000;10000;5;0.0420049;4.61;14;2%;~2;0.160016;0.480048;0.00
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;0;0.0297602;0.10;12;53%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;1;0.0457724;1.18;12;6%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;2;0.049483;3.21;12;2%;~2;0.160016;0.480048;0.03
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;0;100;10000;5;0.0347117;4.24;14;2%;~2;0.160016;0.480048;0.00
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;0;0.242533;2.18;12;5%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;1;0.262431;3.48;12;3%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;2;0.242691;2.29;12;4%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;25000;10000;5;0.2669;5.52;12;2%;~2;0.160016;0.480048;0.02
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;0;0.242886;2.19;12;5%;~2;0.160016;0.480048;0.01
54;FIELD;semihonest;replicated-field;3;NA;NA;NA;25;10000;10000;1;0.292719;2.31;12;4%;~2;0.160016;0.480048;0.02
