program             partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
Benchmarks/compare  3          0              25000            10000       0               0:00:01.955          13301989    2.25                167872       4.40
Benchmarks/compare  3          0              25000            10000       1               0:00:02.481          13301893    2.76                166552       4.38
Benchmarks/compare  3          0              25000            10000       2               0:00:02.108          13301746    2.39                158740       4.40
Benchmarks/compare  3          0              25000            10000       5               0:00:02.418          13301966    2.68                176984       4.34
Benchmarks/compare  3          0              25000            10000       10              0:00:13.963          13301857    14.27               170860       4.47
Benchmarks/compare  3          0              10000            10000       0               0:00:01.967          13302130    2.21                164608       4.36
Benchmarks/compare  3          0              10000            10000       1               0:00:03.190          13301915    3.43                154932       4.28
Benchmarks/compare  3          0              10000            10000       2               0:00:01.954          13301994    2.21                156364       4.32
Benchmarks/compare  3          0              10000            10000       5               0:00:03.438          13301733    3.62                159508       4.36
Benchmarks/compare  3          0              10000            10000       10              0:00:06.424          13302069    7.94                168508       4.52
Benchmarks/compare  3          0              1000             10000       0               0:00:01.969          13302078    2.23                166568       4.35
Benchmarks/compare  3          0              1000             10000       1               0:00:02.632          13301973    2.81                154464       4.41
Benchmarks/compare  3          0              1000             10000       2               0:00:03.151          13301924    4.42                165196       4.45
Benchmarks/compare  3          0              1000             10000       5               0:00:04.102          13301881    5.41                162064       4.43
Benchmarks/compare  3          0              1000             10000       10              0:00:09.218          13301983    10.40               157500       4.36
Benchmarks/compare  3          0              100              10000       0               0:00:03.488          13301917    3.78                152692       4.46
Benchmarks/compare  3          0              100              10000       1               0:00:04.341          13302024    4.63                154440       4.33
Benchmarks/compare  3          0              100              10000       2               0:00:03.733          13301882    4.91                162372       4.42
Benchmarks/compare  3          0              100              10000       5               0:00:04.991          13301946    5.26                155924       4.28
Benchmarks/compare  3          0              100              10000       10              0:00:12.282          13301947    13.60               160704       4.46
Benchmarks/compare  3          25             25000            10000       0               0:00:02.788          13301957    3.11                166032       4.42
Benchmarks/compare  3          25             25000            10000       1               0:00:06.431          13302086    6.77                159980       4.38
Benchmarks/compare  3          25             25000            10000       2               0:00:07.141          13301781    7.46                151740       4.46
Benchmarks/compare  3          25             25000            10000       5               0:00:11.050          13301867    11.41               157592       4.47
Benchmarks/compare  3          25             25000            10000       10              0:00:24.217          13301932    24.53               160756       4.57
Benchmarks/compare  3          25             10000            10000       0               0:00:03.604          13301961    3.92                168756       4.31
Benchmarks/compare  3          25             10000            10000       1               0:00:05.832          13301998    6.15                150896       4.39
Benchmarks/compare  3          25             10000            10000       2               0:00:06.979          13301995    7.37                163316       4.31
