program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time (s)
Benchmarks/BitAND;3;0;25000;10000;0;0:00:17.400;1519867;17.98;434980;4.22
Benchmarks/BitAND;3;0;25000;10000;1;0:00:16.971;1519867;17.41;474952;4.20
Benchmarks/BitAND;3;0;25000;10000;2;0:00:17.218;1519867;18.57;485980;4.09
Benchmarks/BitAND;3;0;25000;10000;5;0:00:16.332;1519867;16.49;477996;4.44
Benchmarks/BitAND;3;0;25000;10000;10;0:00:18.232;1519867;19.41;486164;4.11
Benchmarks/BitAND;3;0;10000;10000;0;0:00:16.255;1519867;16.78;478400;4.38
Benchmarks/BitAND;3;0;10000;10000;1;0:00:16.609;1519867;17.12;513296;4.40
Benchmarks/BitAND;3;0;10000;10000;2;0:00:17.023;1519867;17.22;488452;4.33
Benchmarks/BitAND;3;0;10000;10000;5;0:00:16.997;1519867;18.20;464840;4.05
Benchmarks/BitAND;3;0;10000;10000;10;0:00:20.442;1519867;21.78;414984;4.10
Benchmarks/BitAND;3;0;1000;10000;0;0:00:16.551;1519867;16.78;471316;4.12
Benchmarks/BitAND;3;0;1000;10000;1;0:00:16.449;1519867;16.84;477148;4.09
Benchmarks/BitAND;3;0;1000;10000;2;0:00:16.838;1519867;17.03;488244;4.39
Benchmarks/BitAND;3;0;1000;10000;5;0:00:17.253;1519867;17.47;494948;4.25
Benchmarks/BitAND;3;0;1000;10000;10;0:00:26.689;1519867;29.04;456608;4.17
Benchmarks/BitAND;3;0;100;10000;0;0:00:17.158;1519867;17.45;477004;4.28
Benchmarks/BitAND;3;0;100;10000;1;0:00:16.977;1519867;17.34;449848;4.21
Benchmarks/BitAND;3;0;100;10000;2;0:00:17.505;1519867;17.82;445868;4.09
Benchmarks/BitAND;3;0;100;10000;5;0:00:17.932;1519867;18.25;492640;4.21
Benchmarks/BitAND;3;0;100;10000;10;0:00:17.674;1519867;18.85;448768;4.26
Benchmarks/BitAND;3;25;25000;10000;0;0:00:17.529;1519867;18.00;463216;4.24
Benchmarks/BitAND;3;25;25000;10000;1;0:00:18.517;1519867;19.14;467124;4.20
Benchmarks/BitAND;3;25;25000;10000;2;0:00:20.052;1519867;20.90;468756;4.16
Benchmarks/BitAND;3;25;25000;10000;5;0:00:21.820;1519867;22.21;421020;4.22
Benchmarks/BitAND;3;25;25000;10000;10;0:00:27.473;1519867;29.71;392300;4.31
Benchmarks/BitAND;3;25;10000;10000;0;0:00:17.255;1519867;17.63;469340;4.27
Benchmarks/BitAND;3;25;10000;10000;1;0:00:19.827;1519867;20.12;412572;4.13
Benchmarks/BitAND;3;25;10000;10000;2;0:00:21.210;1519867;21.51;428992;4.21
Benchmarks/BitAND;3;25;10000;10000;5;0:00:23.454;1519867;23.80;445036;4.33
Benchmarks/BitAND;3;25;10000;10000;10;0:00:28.136;1519867;29.51;401696;4.10
Benchmarks/BitAND;3;25;1000;10000;0;0:00:17.635;1519867;18.01;436004;4.09
Benchmarks/BitAND;3;25;1000;10000;1;0:00:18.653;1519867;19.29;435120;4.24
Benchmarks/BitAND;3;25;1000;10000;2;0:00:20.890;1519867;21.25;404476;4.28
Benchmarks/BitAND;3;25;1000;10000;5;0:00:22.216;1519867;24.61;418704;4.15
Benchmarks/BitAND;3;25;1000;10000;10;0:00:26.391;1519867;27.82;459924;4.33
Benchmarks/BitAND;3;25;100;10000;0;0:00:17.475;1519867;17.95;420192;4.13
Benchmarks/BitAND;3;25;100;10000;1;0:00:19.009;1519867;19.29;415856;4.34
Benchmarks/BitAND;3;25;100;10000;2;0:00:19.233;1519867;19.75;466792;4.20
Benchmarks/BitAND;3;25;100;10000;5;0:00:22.568;1519867;22.91;400488;4.25
Benchmarks/BitAND;3;25;100;10000;10;0:00:29.045;1519867;29.38;397820;4.21
Benchmarks/BitAND;3;50;25000;10000;0;0:00:17.827;1519867;18.32;428704;4.15
Benchmarks/BitAND;3;50;25000;10000;1;0:00:21.810;1519867;22.22;405992;4.22
Benchmarks/BitAND;3;50;25000;10000;2;0:00:23.320;1519867;23.76;404904;4.25
Benchmarks/BitAND;3;50;25000;10000;5;0:00:27.085;1519867;28.96;443036;4.15
Benchmarks/BitAND;3;50;25000;10000;10;0:00:33.482;1519867;34.03;445592;4.34
Benchmarks/BitAND;3;50;10000;10000;0;0:00:17.514;1519867;18.01;387616;4.09
