program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Multiplication;boolean_gmw;3;1;25000;10000;0;5264.382;7.68;4961;160;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;25000;10000;1;5267.226;10.68;4971;139;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;25000;10000;2;4887.824;10.25;5021;125;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;25000;10000;5;5490.761;7.83;5002;167;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;25000;10000;10;4848.338;7.25;4961;182;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;10000;10000;0;4662.360;9.64;5091;133;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;10000;10000;1;5219.098;10.58;4971;134;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;10000;10000;2;5387.698;10.75;4970;127;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;10000;10000;5;5259.845;10.67;4964;108;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;10000;10000;10;4701.464;10.11;5026;124;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;1000;10000;0;5695.546;11.07;5242;114;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;1000;10000;1;5590.215;11.01;5217;119;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;1000;10000;2;5658.134;11.03;5213;111;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;1000;10000;5;5650.984;11.04;5079;124;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;1000;10000;10;5909.470;11.32;5250;112;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;100;10000;0;18880.206;24.25;5345;56;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;100;10000;1;18934.085;24.32;5339;65;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;100;10000;2;18695.528;24.07;5343;64;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;100;10000;5;18962.027;24.27;5350;67;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;1;100;10000;10;18700.860;24.12;5341;65;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;25000;10000;0;5021.816;10.38;4983;122;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;25000;10000;1;5020.433;10.42;5024;136;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;25000;10000;2;5077.769;10.50;5022;120;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;25000;10000;5;4880.068;10.28;5094;139;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;25000;10000;10;4690.352;10.05;4982;128;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;10000;10000;0;5272.279;10.64;4963;139;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;10000;10000;1;5181.686;10.54;4965;134;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;10000;10000;2;5311.724;10.72;4964;121;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;10000;10000;5;5268.458;10.28;4968;117;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;10000;10000;10;5517.527;10.87;4981;127;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;1000;10000;0;5441.099;10.94;5238;127;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;1000;10000;1;5760.142;10.39;5123;122;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;1000;10000;2;5612.898;10.62;5264;118;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;1000;10000;5;5838.735;11.20;5230;112;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;1000;10000;10;5537.344;10.94;5250;122;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;100;10000;0;18641.772;24.01;5334;62;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;100;10000;1;18793.189;24.39;5358;62;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;100;10000;2;18670.923;24.04;5340;62;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;100;10000;5;18702.384;21.08;5374;72;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;30;100;10000;10;18523.594;20.95;5335;71;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;25000;10000;0;4981.253;10.35;4963;121;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;25000;10000;1;4943.498;10.32;5104;131;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;25000;10000;2;5243.025;10.65;5074;129;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;25000;10000;5;5157.035;7.56;4963;165;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;25000;10000;10;5168.952;10.57;4965;134;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;10000;10000;0;5180.591;10.59;5107;136;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;10000;10000;1;5070.422;10.48;5030;132;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;10000;10000;2;5200.583;10.57;4980;123;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;10000;10000;5;5356.218;7.72;4968;161;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;10000;10000;10;4833.934;10.23;5022;139;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;1000;10000;0;5584.059;10.22;5221;115;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;1000;10000;1;5585.723;10.96;5217;121;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;1000;10000;2;5739.862;8.11;5164;170;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;1000;10000;5;5791.684;11.16;5240;112;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;1000;10000;10;5800.871;8.18;5222;159;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;100;10000;0;18813.461;21.20;5335;71;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;100;10000;1;18727.221;21.15;5349;67;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;100;10000;2;18705.667;20.35;5351;65;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;100;10000;5;18900.366;24.33;5349;62;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;100;100;10000;10;18941.984;24.38;5340;59;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;25000;10000;0;5193.711;6.86;5045;196;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;25000;10000;1;4864.063;10.25;4971;139;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;25000;10000;2;4829.645;10.19;4964;136;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;25000;10000;5;4877.991;7.29;5076;179;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;25000;10000;10;5359.675;10.76;5092;135;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;10000;10000;0;5285.144;7.66;5015;163;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;10000;10000;1;5436.923;10.79;4973;134;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;10000;10000;2;5334.338;10.70;5019;134;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;10000;10000;5;5174.662;10.59;5024;140;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;10000;10000;10;4894.141;10.28;5072;133;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;1000;10000;0;5589.162;10.96;5222;116;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;1000;10000;1;5776.642;11.16;5248;119;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;1000;10000;2;5786.332;11.16;5223;114;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;1000;10000;5;5701.753;10.38;5224;121;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;1000;10000;10;5674.290;11.08;5207;126;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;100;10000;0;18810.907;24.19;5340;61;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;100;10000;1;18632.226;24.01;5381;65;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;100;10000;2;18615.353;23.99;5354;58;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;100;10000;5;18799.274;24.22;5379;63;176.058;176.058;2626;2626
Multiplication;boolean_gmw;3;150;100;10000;10;18947.669;24.32;5338;61;176.058;176.058;2626;2626
Multiplication;boolean_bmr;3;1;25000;10000;0;10437.899;25.57;22689;279;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;25000;10000;1;9731.338;21.50;22714;335;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;25000;10000;2;9625.025;24.36;22968;293;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;25000;10000;5;9505.617;25.02;23524;268;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;25000;10000;10;9989.498;25.19;23457;284;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;10000;10000;0;9747.810;24.70;23268;276;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;10000;10000;1;9823.033;24.89;23196;274;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;10000;10000;2;9601.029;24.39;23098;277;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;10000;10000;5;10089.634;25.20;22896;285;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;10000;10000;10;9736.429;24.97;23209;285;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;1000;10000;0;31590.280;46.40;23950;208;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;1000;10000;1;32028.507;43.46;26157;226;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;1000;10000;2;31791.755;46.77;24697;196;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;1000;10000;5;31114.354;45.83;25710;211;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;1000;10000;10;31390.629;46.17;24932;209;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;100;10000;0;250738.103;265.60;24036;50;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;100;10000;1;251336.523;266.19;24981;48;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;100;10000;2;251162.056;265.96;25163;51;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;100;10000;5;250893.966;262.48;26639;54;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;1;100;10000;10;250747.519;265.02;26668;51;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;25000;10000;0;9656.473;24.63;23353;277;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;25000;10000;1;9720.851;25.11;22865;277;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;25000;10000;2;9774.162;25.34;22789;284;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;25000;10000;5;9835.414;25.19;22738;279;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;25000;10000;10;9779.597;24.45;22646;285;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;10000;10000;0;10167.287;25.13;23296;272;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;10000;10000;1;10063.194;25.04;23140;291;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;10000;10000;2;9665.932;24.85;23298;284;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;10000;10000;5;9680.302;25.71;23125;269;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;10000;10000;10;10208.430;25.27;23155;278;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;1000;10000;0;30152.416;44.98;24943;216;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;1000;10000;1;30859.037;45.74;25717;216;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;1000;10000;2;30798.433;42.19;25820;229;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;1000;10000;5;30686.632;45.28;25318;202;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;1000;10000;10;30781.214;45.26;25020;218;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;100;10000;0;250613.422;264.47;24857;43;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;100;10000;1;250560.634;261.96;25277;47;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;100;10000;2;250493.553;265.24;25168;46;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;100;10000;5;250490.498;266.30;26653;44;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;30;100;10000;10;250626.692;265.08;26534;43;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;100;25000;10000;0;9634.458;24.62;23096;280;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;100;25000;10000;1;9473.006;24.45;23217;283;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;100;25000;10000;2;9621.555;24.44;23396;280;2894.832;2894.908;5355;5357
Multiplication;boolean_bmr;3;100;25000;10000;5;9515.309;24.69;23486;281;2894.832;2894.908;5355;5357
