program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Comparison;boolean_gmw;3;1;25000;10000;0;695.771;0.93;438;169;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;25000;10000;1;630.138;3.91;441;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;25000;10000;2;628.862;3.86;451;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;25000;10000;5;585.104;3.82;438;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;25000;10000;10;537.055;3.77;445;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;10000;10000;0;585.172;3.86;455;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;10000;10000;1;621.606;3.87;439;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;10000;10000;2;620.377;3.86;441;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;10000;10000;5;611.704;3.84;445;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;10000;10000;10;571.189;0.80;443;191;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;1000;10000;0;720.347;3.96;433;39;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;1000;10000;1;593.152;3.83;431;42;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;1000;10000;2;602.058;3.85;431;43;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;1000;10000;5;777.640;4.01;437;44;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;1000;10000;10;627.891;0.87;432;188;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;100;10000;0;1776.174;2.01;450;92;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;100;10000;1;1741.775;5.01;447;38;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;100;10000;2;1630.655;4.87;450;39;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;100;10000;5;1640.958;1.88;453;100;14.040;14.040;568;568
Comparison;boolean_gmw;3;1;100;10000;10;1717.733;5.00;449;35;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;25000;10000;0;633.355;3.87;452;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;25000;10000;1;632.473;3.87;448;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;25000;10000;2;614.304;3.85;450;42;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;25000;10000;5;580.416;3.86;439;40;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;25000;10000;10;514.080;3.75;440;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;10000;10000;0;572.122;0.81;454;196;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;10000;10000;1;679.104;3.92;451;41;14.040;14.040;568;568
Comparison;boolean_gmw;3;30;10000;10000;2;570.701;3.85;454;41;14.040;14.040;568;568
