program  protocol        partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
Share    arithmetic_gmw  3          1              25000            1000000     0               111.826               3.13                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              25000            1000000     1               63.399                3.09                 76            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              25000            1000000     2               65.714                3.08                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              25000            1000000     5               73.917                3.09                 78            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              25000            1000000     10              63.987                3.08                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              10000            1000000     0               77.062                3.10                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              10000            1000000     1               65.814                3.09                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              10000            1000000     2               71.156                3.09                 76            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              10000            1000000     5               50.544                0.07                 76            131        0.000            0.000           4                4
Share    arithmetic_gmw  3          1              10000            1000000     10              64.783                3.08                 80            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              1000             1000000     0               52.970                3.07                 74            3          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              1000             1000000     1               72.066                3.09                 77            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              1000             1000000     2               63.747                3.08                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              1000             1000000     5               72.149                3.10                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              1000             1000000     10              73.353                3.10                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              100              1000000     0               66.718                3.09                 72            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              100              1000000     1               66.405                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          1              100              1000000     2               93.354                0.12                 74            102        0.000            0.000           4                4
Share    arithmetic_gmw  3          1              100              1000000     5               111.173               0.13                 73            106        0.000            0.000           4                4
Share    arithmetic_gmw  3          1              100              1000000     10              115.633               3.13                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             25000            1000000     0               66.655                3.09                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             25000            1000000     1               73.965                3.09                 75            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             25000            1000000     2               71.501                3.09                 78            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             25000            1000000     5               63.845                0.08                 77            163        0.000            0.000           4                4
Share    arithmetic_gmw  3          30             25000            1000000     10              96.116                0.12                 75            104        0.000            0.000           4                4
Share    arithmetic_gmw  3          30             10000            1000000     0               80.575                3.10                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             10000            1000000     1               67.792                3.09                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             10000            1000000     2               58.085                0.07                 76            150        0.000            0.000           4                4
Share    arithmetic_gmw  3          30             10000            1000000     5               64.512                3.09                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             10000            1000000     10              73.594                3.09                 75            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             1000             1000000     0               69.664                3.09                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             1000             1000000     1               66.619                3.07                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             1000             1000000     2               63.422                3.08                 76            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             1000             1000000     5               57.795                3.08                 74            3          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             1000             1000000     10              64.012                3.07                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             100              1000000     0               64.620                3.07                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             100              1000000     1               75.994                3.10                 76            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             100              1000000     2               66.539                0.08                 76            168        0.000            0.000           4                4
Share    arithmetic_gmw  3          30             100              1000000     5               68.217                3.09                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          30             100              1000000     10              67.500                3.07                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            25000            1000000     0               73.656                3.09                 75            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            25000            1000000     1               65.545                3.08                 71            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            25000            1000000     2               48.105                0.07                 75            138        0.000            0.000           4                4
Share    arithmetic_gmw  3          100            25000            1000000     5               58.279                3.08                 78            3          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            25000            1000000     10              68.410                3.09                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            10000            1000000     0               67.825                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            10000            1000000     1               63.705                3.09                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            10000            1000000     2               55.926                3.06                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            10000            1000000     5               64.305                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            10000            1000000     10              64.937                3.08                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            1000             1000000     0               63.215                3.08                 75            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            1000             1000000     1               65.775                3.07                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            1000             1000000     2               73.126                3.09                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            1000             1000000     5               69.463                3.09                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            1000             1000000     10              61.477                0.08                 73            167        0.000            0.000           4                4
Share    arithmetic_gmw  3          100            100              1000000     0               60.945                3.08                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            100              1000000     1               113.066               3.13                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            100              1000000     2               108.876               3.11                 75            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            100              1000000     5               65.286                3.09                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          100            100              1000000     10              48.175                0.07                 77            143        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     0               51.894                0.07                 76            154        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     1               65.546                3.08                 77            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     2               64.661                3.08                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     5               73.372                3.09                 78            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            25000            1000000     10              64.047                3.09                 75            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     0               75.822                3.10                 74            5          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     1               109.703               0.13                 74            116        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     2               64.934                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     5               49.636                3.06                 73            3          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            10000            1000000     10              79.305                0.10                 74            158        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     0               76.289                0.09                 75            162        0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     1               68.933                3.09                 72            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     2               111.515               3.12                 73            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     5               62.424                3.07                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            1000             1000000     10              67.802                3.08                 74            4          0.000            0.000           4                4
Share    arithmetic_gmw  3          150            100              1000000     0               108.169               0.13                 73            110        0.000            0.000           4                4
