program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
51;FIELD;semihonest;shamir;3;15.59;1070;1;1;25000;1000000;0;0.744275;0.90;137;104;~3;32;96;0.14
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;25000;1000000;1;0.746995;0.90;140;101;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;25000;1000000;2;0.76198;0.91;139;102;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;25000;1000000;5;0.806835;0.97;137;66;~3;32;96;0.08
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;25000;1000000;10;0.738361;0.90;140;104;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;10000;1000000;0;0.752103;0.92;139;101;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;10000;1000000;1;0.764865;0.94;140;98;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;10000;1000000;2;0.738684;0.90;137;104;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;10000;1000000;5;0.725436;0.89;137;104;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;10000;1000000;10;0.725905;0.89;136;104;~3;32;96;0.15
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;1000;1000000;0;0.852762;1.01;137;98;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;1000;1000000;1;0.866526;1.02;139;96;~3;32;96;0.15
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;1000;1000000;2;0.854471;1.01;139;98;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;1000;1000000;5;0.853849;1.03;137;95;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;1000;1000000;10;0.849622;0.99;138;93;~3;32;96;0.11
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;100;1000000;0;2.01311;2.17;139;54;~3;32;96;0.20
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;100;1000000;1;1.99895;2.17;136;53;~3;32;96;0.16
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;100;1000000;2;2.00814;2.16;137;54;~3;32;96;0.18
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;100;1000000;5;1.99325;2.15;136;52;~3;32;96;0.15
51;FIELD;semihonest;shamir;3;NA;NA;NA;1;100;1000000;10;2.00951;2.17;142;49;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;25000;1000000;0;0.733797;0.90;136;102;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;25000;1000000;1;0.744733;0.89;136;104;~3;32;96;0.09
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;25000;1000000;2;0.73447;0.90;137;102;~3;32;96;0.11
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;25000;1000000;5;0.76224;0.93;139;103;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;25000;1000000;10;0.735846;0.90;136;104;~3;32;96;0.14
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;10000;1000000;0;0.750055;0.92;139;103;~3;32;96;0.12
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;10000;1000000;1;0.739265;0.90;139;103;~3;32;96;0.11
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;10000;1000000;2;0.730044;0.89;137;102;~3;32;96;0.09
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;10000;1000000;5;0.745693;0.89;140;74;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;10000;1000000;10;0.732639;0.90;141;102;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;1000;1000000;0;0.846972;1.01;138;95;~3;32;96;0.10
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;1000;1000000;1;0.834737;1.00;137;96;~3;32;96;0.15
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;1000;1000000;2;0.856037;1.01;141;98;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;1000;1000000;5;0.824513;0.99;139;95;~3;32;96;0.14
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;1000;1000000;10;0.884365;1.05;136;100;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;100;1000000;0;1.99849;2.16;136;50;~3;32;96;0.16
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;100;1000000;1;2.00942;2.18;140;51;~3;32;96;0.13
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;100;1000000;2;2.01659;2.19;137;50;~3;32;96;0.15
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;100;1000000;5;1.9965;2.16;138;48;~3;32;96;0.11
51;FIELD;semihonest;shamir;3;NA;NA;NA;30;100;1000000;10;2.01993;2.17;136;52;~3;32;96;0.17
