program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
51;FIELD;maldishonest;mascot;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.861666;;0;	Percent of CPU this job got: 135;~71;45.1476;135.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;maldishonest;lowgear;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;1368.56;;0;	Percent of CPU this job got: 114;~481;59.0189;174.697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;covertdishonest;cowgear;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;14.6548;;0;	Percent of CPU this job got: 97;~481;59.0189;174.697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;covertdishonest;chaigear;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;56.2695;;0;	Percent of CPU this job got: 98;~179;37.6129;133.287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;semidishonest;semi;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.168838;;0;	Percent of CPU this job got: 110;~12;8.20086;24.6019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;semidishonest;hemi;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.483154;;0;	Percent of CPU this job got: 92;~11;3.14695;9.44018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;semidishonest;temi;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.301453;;0;	Percent of CPU this job got: 88;~18;3.92944;8.64107;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;semidishonest;soho;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;1.14283;;0;	Percent of CPU this job got: 97;~12;10.9747;32.9234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;malhonest;malicious-shamir;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.0518105;;0;	Percent of CPU this job got: 66;~11;1.76084;5.28252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;FIELD;malhonest;malicious-rep-field;3;0.27;30;1;NA;NA;NA;NA;NA;NA;NA;10;NA;2;10;0.0251866;;0;	Percent of CPU this job got: 61;~9;0.480632;1.4419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
