program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
52       RING      malhonest   ps-rep-ring      3          0.76          44                 1                  1              25000            10000       0               39.7696              39.87                302           98%        ~6015         782.982         2348.95          1.90
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              25000            10000       1               38.6582              38.75                304           103%       ~6015         782.982         2348.95          1.66
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              25000            10000       2               37.4181              37.51                305           104%       ~6015         782.982         2348.95          1.77
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              25000            10000       5               37.7953              37.90                306           103%       ~6015         782.982         2348.95          1.65
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              25000            10000       10              37.5027              37.60                304           103%       ~6015         782.982         2348.95          1.81
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              10000            10000       0               38.189               38.29                304           102%       ~6015         782.982         2348.95          1.81
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              10000            10000       1               37.9679              38.07                304           102%       ~6015         782.982         2348.95          1.73
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              10000            10000       2               38.1619              38.26                306           102%       ~6015         782.982         2348.95          1.89
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              10000            10000       5               37.9363              38.03                304           101%       ~6015         782.982         2348.95          1.51
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              10000            10000       10              38.6718              38.76                304           101%       ~6015         782.982         2348.95          1.83
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              1000             10000       0               42.1136              42.21                304           95%        ~6015         782.982         2348.95          1.91
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              1000             10000       1               42.8711              42.98                304           94%        ~6015         782.982         2348.95          1.88
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              1000             10000       2               41.9587              42.05                306           95%        ~6015         782.982         2348.95          2.07
52       RING      malhonest   ps-rep-ring      3          NA            NA                 NA                 1              1000             10000       5               41.8725              41.98                304           96%        ~6015         782.982         2348.95          1.97
