program	c.domain	adv.model	protocol	partysize	comp.time(s)	comp.peakRAM(MiB)	bin.filesize(MiB)	input_size	runtime_internal(s)	runtime_external(s)	peakRAM(MiB)	jobCPU(%)	P0commRounds	P0dataSent(MB)	ALLdataSent(MB)	
53	BINARY	maldishonest	tinier	3	0.34	30	1	10	0.696245	0:00.76	73		Percent of CPU this job got: 104	NA	25.9579	NA
53	BINARY	maldishonest	real-bmr	3	0.34	30	1	10	6.38082	0:08.01	382		Percent of CPU this job got: 116	NA	447.923	NA
53	BINARY	semidishonest	semi-bin	3	0.34	30	1	10	0.478642	0:00.54	198		Percent of CPU this job got: 136	NA	21.7969	NA
53	BINARY	semidishonest	yao	2	0.34	30	1	10	0.0153182	0:00.03	10		Percent of CPU this job got: 59	NA	0.020192	NA
53	BINARY	semidishonest	yaoO	2	0.34	30	1	10	0.0146124	0:00.03	12		Percent of CPU this job got: 100	NA	0.020192	NA
53	BINARY	semidishonest	semi-bmr	3	0.34	30	1	10	1.12031	0:01.21	60		Percent of CPU this job got: 101	NA	74.5774	NA
53	BINARY	malhonest	malicious-rep-bin	3	0.34	30	1	10	0.038886	0:00.08	18		Percent of CPU this job got: 68	NA	0.839888	NA
53	BINARY	malhonest	malicious-ccd	3	0.34	30	1	10	0.0321939	0:00.07	12		Percent of CPU this job got: 74	NA	0.90076	NA
53	BINARY	malhonest	ps-rep-bin	3	0.34	30	1	10	1.80023	0:01.85	406		Percent of CPU this job got: 90	NA	67.1206	NA
53	BINARY	malhonest	mal-shamir-bmr	3	0.34	30	1	10	0.118238	0:00.17	22		Percent of CPU this job got: 88	NA	4.22942	NA
53	BINARY	malhonest	mal-rep-bmr	3	0.34	30	1	10	0.0563972	0:00.10	19		Percent of CPU this job got: 63	NA	1.47507	NA
53	BINARY	semihonest	replicated-bin	3	0.34	30	1	10	0.00693264	0:00.04	11		Percent of CPU this job got: 48	NA	0.00067	NA
53	BINARY	semihonest	ccd	3	0.34	30	1	10	0.00897996	0:00.06	10		Percent of CPU this job got: 71	NA	0.001292	NA
53	BINARY	semihonest	shamir-bmr	3	0.34	30	1	10	0.0308077	0:00.07	14		Percent of CPU this job got: 54	NA	1.08714	NA
53	BINARY	semihonest	rep-bmr	3	0.34	30	1	10	0.0184947	0:00.05	13		Percent of CPU this job got: 57	NA	0.383648	NA
53	FIELD	maldishonest	mascot	3	0.32	30	1	10	1.84962	0:01.97	199		Percent of CPU this job got: 138	~341	90.3445	270.869
53	FIELD	semidishonest	semi	3	0.32	30	1	10	0.412254	0:00.51	64		Percent of CPU this job got: 117	~260	16.5012	49.4028
53	FIELD	semidishonest	hemi	3	0.32	30	1	10	0.5339	0:00.68	45		Percent of CPU this job got: 92	~255	3.24711	9.6405
53	FIELD	semidishonest	temi	3	0.32	30	1	10	0.358496	0:00.61	39		Percent of CPU this job got: 84	~262	4.02942	8.84122
53	FIELD	semidishonest	soho	3	0.32	30	1	10	2.0594	0:03.41	163		Percent of CPU this job got: 97	~255	17.2977	51.8244
53	FIELD	malhonest	malicious-shamir	3	0.32	30	1	10	0.102875	0:00.19	25		Percent of CPU this job got: 81	~78	3.5571	10.3513
53	FIELD	malhonest	malicious-rep-field	3	0.32	30	1	10	0.0766128	0:00.16	22		Percent of CPU this job got: 62	~75	1.13888	3.25664
53	FIELD	malhonest	ps-rep-field	3	0.32	30	1	10	0.0398658	0:00.12	19		Percent of CPU this job got: 61	~75	0.668	1.844
53	FIELD	malhonest	sy-rep-field	3	0.32	30	1	10	0.0807879	0:00.17	22		Percent of CPU this job got: 69	~87	0.819256	2.29777
53	FIELD	semihonest	shamir	3	0.32	30	1	10	0.0267206	0:00.10	15		Percent of CPU this job got: 55	~74	0.658592	1.65525
53	FIELD	semihonest	atlas	3	0.32	30	1	10	0.0786412	0:00.16	19		Percent of CPU this job got: 70	~137	1.93261	4.51726
53	FIELD	semihonest	replicated-field	3	0.32	30	1	10	0.0208009	0:00.10	17		Percent of CPU this job got: 56	~63	0.329296	0.827888
53	RING	maldishonest	spdz2k	3	0.31	30	1	10	4.89893	0:05.05	748		Percent of CPU this job got: 97	~515	124.987	374.66
53	RING	semidishonest	semi2k	3	0.31	30	1	10	0.168738	0:00.27	30		Percent of CPU this job got: 96	~304	9.32331	27.8872
53	RING	malhonest	brain	3	0.31	30	1	10	0.238455	0:00.31	30		Percent of CPU this job got: 78	~121	4.13041	12.3112
53	RING	malhonest	malicious-rep-ring	3	0.31	30	1	10	0.0868426	0:00.17	21		Percent of CPU this job got: 65	~96	0.909966	2.7299
53	RING	malhonest	ps-rep-ring	3	0.31	30	1	10	0.0700117	0:00.15	19		Percent of CPU this job got: 65	~92	0.533258	1.59977
53	RING	malhonest	sy-rep-ring	3	0.31	30	1	10	0.077478	0:00.18	24		Percent of CPU this job got: 75	~173	0.709714	1.99779
53	RING	semihonest	replicated-ring	3	0.31	30	1	10	0.0146674	0:00.09	14		Percent of CPU this job got: 56	~73	0.164728	0.414184
