program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
53;FIELD;maldishonest;mascot;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;1.84962;0:01.97;199;	Percent of CPU this job got: 138;~341;90.3445;270.869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;semidishonest;semi;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.412254;0:00.51;64;	Percent of CPU this job got: 117;~260;16.5012;49.4028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;semidishonest;hemi;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.5339;0:00.68;45;	Percent of CPU this job got: 92;~255;3.24711;9.6405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;semidishonest;temi;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.358496;0:00.61;39;	Percent of CPU this job got: 84;~262;4.02942;8.84122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;semidishonest;soho;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;2.0594;0:03.41;163;	Percent of CPU this job got: 97;~255;17.2977;51.8244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;malhonest;malicious-shamir;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.102875;0:00.19;25;	Percent of CPU this job got: 81;~78;3.5571;10.3513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;malhonest;malicious-rep-field;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.0766128;0:00.16;22;	Percent of CPU this job got: 62;~75;1.13888;3.25664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;malhonest;ps-rep-field;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.0398658;0:00.12;19;	Percent of CPU this job got: 61;~75;0.668;1.844;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;malhonest;sy-rep-field;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.0807879;0:00.17;22;	Percent of CPU this job got: 69;~87;0.819256;2.29777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;FIELD;semihonest;shamir;3;0.32;30;1;NA;NA;NA;NA;NA;NA;730;570;NA;61;10;0.0267206;0:00.10;15;	Percent of CPU this job got: 55;~74;0.658592;1.65525;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
