program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
57;BINARY;semidishonest;semi-bin;3;3957.39;174445;1536;1;25000;1000000;0;1.7271;21.18;6754;99%;~29;16.0282;32.0845;6.43
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;25000;1000000;1;1.77806;21.09;6754;99%;~29;16.0282;32.0845;6.83
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;25000;1000000;2;1.74997;21.28;6754;97%;~29;16.0282;32.0845;6.11
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;25000;1000000;5;1.90474;21.42;6754;98%;~29;16.0282;32.0845;6.43
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;25000;1000000;10;1.8507;21.34;6754;98%;~29;16.0282;32.0845;6.51
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;10000;1000000;0;2.03988;21.54;6755;97%;~29;16.0282;32.0845;6.28
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;10000;1000000;1;1.79801;21.25;6754;97%;~29;16.0282;32.0845;6.20
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;10000;1000000;2;1.76303;21.28;6756;99%;~29;16.0282;32.0845;6.62
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;10000;1000000;5;1.94716;21.45;6754;97%;~29;16.0282;32.0845;6.20
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;10000;1000000;10;1.71371;22.05;6754;95%;~29;16.0282;32.0845;6.30
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;0;1.94662;21.20;6754;99%;~29;16.0282;32.0845;6.53
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;1;1.99253;21.39;6754;99%;~29;16.0282;32.0845;6.59
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;2;2.24657;21.93;6754;98%;~29;16.0282;32.0845;6.45
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;5;2.0753;21.50;6752;97%;~29;16.0282;32.0845;6.38
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;10;2.19365;21.70;6752;99%;~29;16.0282;32.0845;6.88
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;0;2.22463;21.57;6754;98%;~29;16.0282;32.0845;6.42
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;1;1.97396;21.31;6754;99%;~29;16.0282;32.0845;6.61
57;BINARY;semidishonest;semi-bin;3;NA;NA;NA;1;1000;1000000;2;1.95982;21.38;6756;99%;~29;16.0282;32.0845;6.56
