program;protocol;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(ms);runtime_external(s);peakRAM(MiB);jobCPU(%);ALLdataSent(MB);AllDataRec(MB);ALLmessagesSent;AllMessagesRec
Min;boolean_gmw;0;0;25000;100;0;20481.204;25.17;2033;340;23.108;29.456;168797;168797
Min;boolean_gmw;0;0;25000;100;1;63217.898;64.92;2123;146;23.108;29.456;168797;168797
Min;boolean_gmw;0;0;25000;100;2;90877.683;95.60;2145;91;23.108;29.456;168797;168797
Min;boolean_gmw;0;0;25000;100;5;142265.678;147.95;2160;66;23.108;29.456;168797;168797
Min;boolean_gmw;0;0;25000;1000;0;176082.921;192.12;20019;457;230.833;294.310;1684408;1684408
Min;boolean_gmw;0;0;25000;1000;1;598788.181;614.79;20524;149;230.833;294.310;1684408;1684408
Min;boolean_gmw;0;0;25000;1000;2;851399.044;867.22;21339;105;230.833;294.310;1684408;1684408
Min;boolean_gmw;0;0;25000;1000;5;1422313.578;1438.02;21427;63;230.833;294.310;1684408;1684408
Min;boolean_gmw;0;0;25000;10000;0;1768207.295;1891.75;196472;456;2308.080;2942.846;16840525;16840525
Min;boolean_gmw;0;0;25000;10000;1;6081660.027;6203.08;207155;146;2308.080;2942.846;16840525;16840525
Min;boolean_gmw;0;0;25000;10000;2;8521378.241;8639.82;209725;107;2308.080;2942.846;16840525;16840525
