program  protocol     partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(ms)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  ALLdataSent(MB)  AllDataRec(MB)  ALLmessagesSent  AllMessagesRec
AES      boolean_gmw  0          0              25000            1           0               2509.361              5.77                 407           236        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              25000            1           1               5555.712              9.02                 417           155        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              25000            1           2               6002.476              9.45                 424           152        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              25000            128         0               2897.874              3.28                 762           536        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              25000            128         1               3695.663              7.48                 784           161        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              25000            128         2               6302.271              9.73                 780           196        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              25000            256         0               2201.223              2.76                 1136          496        26.443           26.443          13190            13190
AES      boolean_gmw  0          0              25000            256         1               3512.974              7.04                 1139          156        26.443           26.443          13190            13190
AES      boolean_gmw  0          0              25000            256         2               4773.128              8.33                 1147          163        26.443           26.443          13190            13190
AES      boolean_gmw  0          0              25000            512         0               2774.605              6.59                 1902          216        52.224           52.224          13190            13190
AES      boolean_gmw  0          0              25000            512         1               3611.412              7.42                 1891          201        52.224           52.224          13190            13190
AES      boolean_gmw  0          0              25000            512         2               4003.702              5.81                 1861          269        52.224           52.224          13190            13190
AES      boolean_gmw  0          0              10000            1           0               1920.717              5.16                 408           224        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              10000            1           1               4966.499              8.20                 414           160        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              10000            1           2               5791.308              9.08                 418           146        0.761            0.761           13190            13190
AES      boolean_gmw  0          0              10000            128         0               2364.584              2.77                 789           386        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              10000            128         1               4021.749              7.41                 782           194        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              10000            128         2               5166.955              8.76                 782           162        13.553           13.553          13190            13190
AES      boolean_gmw  0          0              10000            256         0               2615.576              6.14                 1141          235        26.443           26.443          13190            13190
AES      boolean_gmw  0          0              10000            256         1               6348.929              7.12                 1138          251        26.443           26.443          13190            13190
AES      boolean_gmw  0          0              10000            256         2               5728.322              9.23                 1141          121        26.443           26.443          13190            13190
