program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
61       FIELD     semihonest  replicated-field  3          0.38          30                 1                  1              25000            100         0.57604              0.66                 16            73%        ~1525         0.06556         0.173152         0.24
61       FIELD     semihonest  replicated-field  3          0.33          27                 1                  1              25000            10000       40.3718              40.45                21            101%       ~80820        3.29597         9.04847          23.87
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              10000            100         0.658036             0.74                 14            95%        ~1525         0.06556         0.173152         0.41
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              10000            10000       39.0278              39.11                21            102%       ~80820        3.29597         9.04847          22.85
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              1000             100         0.71285              0.79                 14            93%        ~1525         0.06556         0.173152         0.42
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              1000             10000       36.7391              36.82                20            104%       ~80820        3.29597         9.04847          21.65
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              100              100         0.716264             0.80                 16            90%        ~1525         0.06556         0.173152         0.39
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 1              100              10000       38.5414              38.62                20            96%        ~80820        3.29597         9.04847          21.08
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             25000            100         0.596051             0.67                 14            100%       ~1525         0.06556         0.173152         0.37
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             25000            10000       39.6048              39.69                21            98%        ~80820        3.29597         9.04847          22.88
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             10000            100         0.577242             0.65                 16            96%        ~1525         0.06556         0.173152         0.33
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             10000            10000       40.1605              40.24                20            102%       ~80820        3.29597         9.04847          23.48
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             1000             100         0.721875             0.80                 14            92%        ~1525         0.06556         0.173152         0.37
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             1000             10000       34.8525              34.93                22            102%       ~80820        3.29597         9.04847          20.76
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             100              100         0.742619             0.82                 14            95%        ~1525         0.06556         0.173152         0.39
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 30             100              10000       39.1881              39.26                22            95%        ~80820        3.29597         9.04847          20.63
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            25000            100         0.633328             0.71                 14            97%        ~1525         0.06556         0.173152         0.34
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            25000            10000       38.7127              38.79                20            100%       ~80820        3.29597         9.04847          22.58
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            10000            100         0.654373             0.73                 16            78%        ~1525         0.06556         0.173152         0.29
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            10000            10000       38.9928              39.07                20            101%       ~80820        3.29597         9.04847          22.74
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            1000             100         0.67631              0.75                 14            94%        ~1525         0.06556         0.173152         0.35
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            1000             10000       39.5323              39.61                21            102%       ~80820        3.29597         9.04847          23.12
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            100              100         0.714527             0.79                 16            93%        ~1525         0.06556         0.173152         0.42
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 100            100              10000       38.6731              38.75                20            89%        ~80820        3.29597         9.04847          19.47
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            25000            100         0.67436              0.75                 14            91%        ~1525         0.06556         0.173152         0.28
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            25000            10000       39.5111              39.59                21            99%        ~80820        3.29597         9.04847          22.30
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            10000            100         0.663396             0.74                 16            75%        ~1525         0.06556         0.173152         0.30
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            10000            10000       40.0494              40.12                22            99%        ~80820        3.29597         9.04847          22.98
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            1000             100         0.701013             0.78                 14            90%        ~1525         0.06556         0.173152         0.39
61       FIELD     semihonest  replicated-field  3          NA            NA                 NA                 150            1000             10000       39.8936              39.97                20            98%        ~80820        3.29597         9.04847          23.30
