program  c.domain  adv.model   protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
62       FIELD     malhonest   ps-rep-field      3          0.35          30                 1                  1              25000            50          4.51248              4.60                 74            111%       ~7273         23.1328         66.506           2.12
62       FIELD     malhonest   ps-rep-field      3          0.19          21                 1                  1              25000            100         13.9286              14.01                73            100%       ~27373        25.1797         72.5244          7.44
62       FIELD     malhonest   ps-rep-field      3          0.21          21                 1                  1              25000            500         349.223              349.31               75            116%       ~655362       599.224         1723.34          210.98
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              10000            50          4.4502               4.53                 68            112%       ~7273         23.1328         66.506           2.37
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              10000            100         14.2986              14.38                71            110%       ~27373        25.1797         72.5244          8.17
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              10000            500         349.34               349.42               75            113%       ~655362       599.224         1723.34          203.93
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              1000             50          4.35122              4.44                 74            104%       ~7273         23.1328         66.506           1.96
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              1000             100         14.5374              14.62                71            113%       ~27373        25.1797         72.5244          8.65
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              1000             500         353.226              353.30               76            114%       ~655362       599.224         1723.34          211.51
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              100              50          6.85868              6.95                 73            85%        ~7273         23.1328         66.506           2.04
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              100              100         16.3863              16.47                73            104%       ~27373        25.1797         72.5244          8.52
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 1              100              500         406.312              406.39               77            104%       ~655362       599.224         1723.34          207.79
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             25000            50          3.67567              3.76                 76            91%        ~7273         23.1328         66.506           1.42
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             25000            100         13.7793              13.86                72            111%       ~27373        25.1797         72.5244          8.05
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             25000            500         348.751              348.83               77            116%       ~655362       599.224         1723.34          209.61
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             10000            50          4.3535               4.44                 73            100%       ~7273         23.1328         66.506           1.77
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             10000            100         14.4776              14.57                72            118%       ~27373        25.1797         72.5244          8.66
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             10000            500         349.454              349.54               77            115%       ~655362       599.224         1723.34          210.70
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             1000             50          4.49876              4.59                 74            112%       ~7273         23.1328         66.506           2.22
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             1000             100         14.4963              14.58                73            106%       ~27373        25.1797         72.5244          7.84
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             1000             500         357.334              357.42               76            114%       ~655362       599.224         1723.34          212.24
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             100              50          6.78017              6.87                 73            83%        ~7273         23.1328         66.506           2.00
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             100              100         16.9633              17.05                71            102%       ~27373        25.1797         72.5244          8.89
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 30             100              500         403.998              404.08               77            103%       ~655362       599.224         1723.34          201.41
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            25000            50          4.21199              4.30                 72            109%       ~7273         23.1328         66.506           2.01
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            25000            100         14.3053              14.39                73            117%       ~27373        25.1797         72.5244          8.87
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            25000            500         351.784              351.87               75            115%       ~655362       599.224         1723.34          209.33
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            10000            50          4.3335               4.42                 70            110%       ~7273         23.1328         66.506           2.11
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            10000            100         14.4696              14.56                73            108%       ~27373        25.1797         72.5244          8.33
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            10000            500         351.294              351.37               77            115%       ~655362       599.224         1723.34          210.05
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            1000             50          4.55153              4.64                 73            110%       ~7273         23.1328         66.506           2.32
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            1000             100         14.0376              14.12                73            117%       ~27373        25.1797         72.5244          8.64
62       FIELD     malhonest   ps-rep-field      3          NA            NA                 NA                 100            1000             500         356.492              356.58               77            114%       ~655362       599.224         1723.34          212.19
