program  c.domain  adv.model   protocol         partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
65       RING      semihonest  replicated-ring  3          4.96          451                1                  0              25000            64          0               9.88254              10.16                255           730%       ~205448       69.0029         203.977          32.09
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            64          1               58.5173              59.45                259           212%       ~205448       69.0029         203.977          57.64
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            64          2               105.969              107.26               257           119%       ~205448       69.0029         203.977          59.27
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            64          5               317.386              320.66               254           40%        ~205448       69.0029         203.977          56.63
65       RING      semihonest  replicated-ring  3          6.59          479                1                  0              25000            384         0               83.526               84.30                1231          787%       ~1233307      407.111         1210.25          329.03
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            384         1               339.987              343.22               1277          220%       ~1233307      407.111         1210.25          362.27
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            384         2               618.004              620.22               1271          121%       ~1233307      407.111         1210.25          359.00
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              25000            384         5               1803.67              1809.16              1304          42%        ~1233307      407.111         1210.25          351.39
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            64          0               11.5248              11.83                257           756%       ~205448       69.0029         203.977          42.22
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            64          1               60.031               62.55                254           204%       ~205448       69.0029         203.977          62.03
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            64          2               108.95               109.65               255           118%       ~205448       69.0029         203.977          58.94
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            64          5               311.337              316.07               258           41%        ~205448       69.0029         203.977          58.62
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            384         0               83.6822              84.48                1230          791%       ~1233307      407.111         1210.25          336.14
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            384         1               344.11               345.95               1271          218%       ~1233307      407.111         1210.25          371.67
65       RING      semihonest  replicated-ring  3          NA            NA                 NA                 0              10000            384         2               618.251              621.74               1274          122%       ~1233307      407.111         1210.25          364.12
