program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
65;RING;semihonest;replicated-ring;3;4.97;451;1;0;25000;64;0;1.60556;1.96;376;1362%;~210016;73.0456;216.105;8.51
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;1;20.5602;22.15;372;489%;~210016;73.0456;216.105;46.59
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;2;34.6982;36.10;376;357%;~210016;73.0456;216.105;57.41
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;64;5;102.082;109.37;374;128%;~210016;73.0456;216.105;58.67
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;0;2.40288;2.80;376;1360%;~210016;73.0456;216.105;14.75
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;1;20.9228;23.72;374;474%;~210016;73.0456;216.105;46.07
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;2;34.3133;39.57;379;334%;~210016;73.0456;216.105;55.05
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;64;5;93.9216;99.26;382;142%;~210016;73.0456;216.105;57.96
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;64;0;2.91972;3.31;378;1371%;~210016;73.0456;216.105;18.48
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;64;1;19.8237;21.41;374;528%;~210016;73.0456;216.105;50.40
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;64;2;35.8924;40.22;372;334%;~210016;73.0456;216.105;59.91
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;64;5;98.5239;102.76;376;140%;~210016;73.0456;216.105;63.13
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;64;0;9.40049;9.77;378;625%;~210016;73.0456;216.105;23.88
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;64;1;23.9901;25.47;378;472%;~210016;73.0456;216.105;50.48
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;64;2;38.3898;41.31;374;340%;~210016;73.0456;216.105;60.32
65;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;64;5;98.6724;103.49;379;142%;~210016;73.0456;216.105;61.31
65;RING;semihonest;replicated-ring;3;5.23;452;1;25;25000;64;0;169.154;171.27;372;93%;~210016;73.0456;216.105;66.16
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;1;221.658;224.87;376;69%;~210016;73.0456;216.105;61.56
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;2;267.426;271.04;378;56%;~210016;73.0456;216.105;60.90
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;64;5;428.721;436.15;378;34%;~210016;73.0456;216.105;58.80
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;10000;64;0;169.186;171.30;378;93%;~210016;73.0456;216.105;66.51
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;10000;64;1;222.606;226.03;372;68%;~210016;73.0456;216.105;62.04
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;10000;64;2;270.561;276.33;378;55%;~210016;73.0456;216.105;59.99
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;10000;64;5;416.515;423.23;375;35%;~210016;73.0456;216.105;59.35
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;1000;64;0;169.412;171.53;376;92%;~210016;73.0456;216.105;66.52
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;1000;64;1;220.469;223.62;376;69%;~210016;73.0456;216.105;64.05
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;1000;64;2;267.978;272.47;376;56%;~210016;73.0456;216.105;61.33
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;1000;64;5;423.99;430.82;374;34%;~210016;73.0456;216.105;56.78
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;100;64;0;173.627;175.75;377;92%;~210016;73.0456;216.105;66.83
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;100;64;1;221.502;224.66;374;69%;~210016;73.0456;216.105;63.69
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;100;64;2;272.318;276.48;377;56%;~210016;73.0456;216.105;66.39
65;RING;semihonest;replicated-ring;3;NA;NA;NA;25;100;64;5;425.779;432.39;374;34%;~210016;73.0456;216.105;57.35
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;0;334.634;338.52;376;47%;~210016;73.0456;216.105;66.88
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;1;422.561;428.39;366;35%;~210016;73.0456;216.105;62.41
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;2;505.486;511.00;378;29%;~210016;73.0456;216.105;60.85
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;64;5;760.774;771.26;385;19%;~210016;73.0456;216.105;59.53
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;10000;64;0;334.697;338.58;371;46%;~210016;73.0456;216.105;65.39
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;10000;64;1;421.897;427.45;374;36%;~210016;73.0456;216.105;68.29
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;10000;64;2;510.239;517.34;375;29%;~210016;73.0456;216.105;60.17
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;10000;64;5;757.833;766.37;385;19%;~210016;73.0456;216.105;59.89
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;1000;64;0;334.664;338.53;374;47%;~210016;73.0456;216.105;68.09
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;1000;64;1;418.788;424.75;379;36%;~210016;73.0456;216.105;63.62
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;1000;64;2;509.629;517.29;376;29%;~210016;73.0456;216.105;60.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;1000;64;5;774.933;783.18;384;18%;~210016;73.0456;216.105;59.45
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;100;64;0;337.753;341.62;374;47%;~210016;73.0456;216.105;67.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;100;64;1;427.828;433.93;378;35%;~210016;73.0456;216.105;62.82
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;100;64;2;507.859;513.54;378;29%;~210016;73.0456;216.105;62.29
65;RING;semihonest;replicated-ring;3;NA;NA;NA;50;100;64;5;769.647;779.19;386;19%;~210016;73.0456;216.105;59.52
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;0;499.79;505.41;376;31%;~210016;73.0456;216.105;66.51
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;1;632.128;638.66;370;23%;~210016;73.0456;216.105;62.68
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;2;752.648;760.56;385;19%;~210016;73.0456;216.105;60.09
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;64;5;1099.85;1117.25;391;13%;~210016;73.0456;216.105;57.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;10000;64;0;499.892;505.50;376;31%;~210016;73.0456;216.105;65.08
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;10000;64;1;627.312;635.29;381;23%;~210016;73.0456;216.105;62.75
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;10000;64;2;752.754;763.24;383;19%;~210016;73.0456;216.105;59.42
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;10000;64;5;1100.73;1124.49;392;13%;~210016;73.0456;216.105;56.90
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;1000;64;0;499.748;505.38;373;31%;~210016;73.0456;216.105;65.49
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;1000;64;1;635.025;642.15;377;23%;~210016;73.0456;216.105;62.08
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;1000;64;2;754.013;763.27;385;19%;~210016;73.0456;216.105;59.79
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;1000;64;5;1110.2;1120.82;393;13%;~210016;73.0456;216.105;56.39
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;100;64;0;502.126;507.75;376;31%;~210016;73.0456;216.105;65.78
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;100;64;1;630.065;638.36;378;23%;~210016;73.0456;216.105;62.43
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;100;64;2;763.612;773.16;386;19%;~210016;73.0456;216.105;61.26
65;RING;semihonest;replicated-ring;3;NA;NA;NA;75;100;64;5;1097.85;1110.92;393;13%;~210016;73.0456;216.105;56.75
