program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);peakRAM(MiB);System Time(s)
UseCases/SecureMin;3;0;25000;100;0;0:00:00.194;136048;0.46;73;4.01
UseCases/SecureMin;3;0;25000;100;1;0:00:00.234;136048;0.48;43;4.13
UseCases/SecureMin;3;0;25000;100;2;0:00:01.361;136048;1.65;69;4.11
UseCases/SecureMin;3;0;25000;100;5;0:00:01.242;136048;1.53;49;4.07
UseCases/SecureMin;3;0;25000;1000;0;0:00:01.377;1372648;1.56;100;4.13
UseCases/SecureMin;3;0;25000;1000;1;0:00:01.549;1372648;1.73;98;4.15
UseCases/SecureMin;3;0;25000;1000;2;0:00:02.745;1372648;3.02;86;4.18
UseCases/SecureMin;3;0;25000;1000;5;0:00:05.871;1372648;7.20;86;4.03
UseCases/SecureMin;3;0;25000;10000;0;0:00:28.262;13738648;28.45;474;4.90
UseCases/SecureMin;3;0;25000;10000;1;0:00:29.189;13738648;29.45;484;4.68
UseCases/SecureMin;3;0;25000;10000;2;0:00:31.247;13738648;31.53;477;4.77
UseCases/SecureMin;3;0;25000;10000;5;0:00:36.034;13738648;36.36;478;4.62
UseCases/SecureMin;3;0;10000;100;0;0:00:00.290;136048;0.48;53;4.03
UseCases/SecureMin;3;0;10000;100;1;0:00:00.695;136048;0.90;57;3.99
UseCases/SecureMin;3;0;10000;100;2;0:00:00.460;136048;0.66;57;4.14
UseCases/SecureMin;3;0;10000;100;5;0:00:01.596;136048;1.85;43;4.09
UseCases/SecureMin;3;0;10000;1000;0;0:00:01.708;1372648;1.98;82;4.19
UseCases/SecureMin;3;0;10000;1000;1;0:00:01.717;1372648;1.90;84;4.14
UseCases/SecureMin;3;0;10000;1000;2;0:00:02.249;1372648;2.53;86;4.09
UseCases/SecureMin;3;0;10000;1000;5;0:00:05.355;1372648;5.64;80;4.20
UseCases/SecureMin;3;0;10000;10000;0;0:00:27.151;13738648;27.44;487;4.78
UseCases/SecureMin;3;0;10000;10000;1;0:00:27.568;13738648;27.86;493;4.73
UseCases/SecureMin;3;0;10000;10000;2;0:00:29.966;13738648;30.28;496;4.57
UseCases/SecureMin;3;0;10000;10000;5;0:00:33.532;13738648;33.95;487;4.51
UseCases/SecureMin;3;0;1000;100;0;0:00:00.189;136048;0.48;57;4.21
UseCases/SecureMin;3;0;1000;100;1;0:00:00.192;136048;0.47;41;3.98
UseCases/SecureMin;3;0;1000;100;2;0:00:00.230;136048;1.45;43;4.10
UseCases/SecureMin;3;0;1000;100;5;0:00:02.566;136048;3.79;47;4.12
UseCases/SecureMin;3;0;1000;1000;0;0:00:01.543;1372648;1.72;100;4.25
UseCases/SecureMin;3;0;1000;1000;1;0:00:01.861;1372648;2.35;84;4.19
UseCases/SecureMin;3;0;1000;1000;2;0:00:03.569;1372648;3.86;96;4.26
UseCases/SecureMin;3;0;1000;1000;5;0:00:06.223;1372648;6.52;96;4.07
UseCases/SecureMin;3;0;1000;10000;0;0:00:27.152;13738648;27.33;486;4.60
UseCases/SecureMin;3;0;1000;10000;1;0:00:27.171;13738648;28.37;488;4.57
UseCases/SecureMin;3;0;1000;10000;2;0:00:29.956;13738648;30.14;484;4.58
UseCases/SecureMin;3;0;1000;10000;5;0:00:36.778;13738648;38.09;485;4.67
UseCases/SecureMin;3;0;100;100;0;0:00:00.212;136048;0.41;51;4.16
UseCases/SecureMin;3;0;100;100;1;0:00:00.162;136048;0.34;47;4.11
UseCases/SecureMin;3;0;100;100;2;0:00:00.645;136048;1.11;53;4.17
UseCases/SecureMin;3;0;100;100;5;0:00:01.744;136048;2.05;53;4.19
UseCases/SecureMin;3;0;100;1000;0;0:00:01.454;1372648;1.63;96;4.12
UseCases/SecureMin;3;0;100;1000;1;0:00:01.542;1372648;1.82;84;4.17
UseCases/SecureMin;3;0;100;1000;2;0:00:02.179;1372648;2.44;98;4.20
UseCases/SecureMin;3;0;100;1000;5;0:00:07.226;1372648;7.51;80;4.28
UseCases/SecureMin;3;0;100;10000;0;0:00:28.059;13738648;28.29;476;4.80
UseCases/SecureMin;3;0;100;10000;1;0:00:29.236;13738648;29.48;510;4.52
UseCases/SecureMin;3;0;100;10000;2;0:00:30.087;13738648;30.58;477;4.72
UseCases/SecureMin;3;0;100;10000;5;0:00:33.171;13738648;33.61;504;4.56
UseCases/SecureMin;3;25;25000;100;0;0:00:02.198;136048;2.49;59;4.14
UseCases/SecureMin;3;25;25000;100;1;0:00:03.392;136048;3.73;47;4.13
UseCases/SecureMin;3;25;25000;100;2;0:00:04.049;136048;4.37;47;4.13
UseCases/SecureMin;3;25;25000;100;5;0:00:05.287;136048;5.59;49;4.05
UseCases/SecureMin;3;25;25000;1000;0;0:00:03.524;1372648;3.86;92;4.24
UseCases/SecureMin;3;25;25000;1000;1;0:00:08.078;1372648;8.42;94;4.13
UseCases/SecureMin;3;25;25000;1000;2;0:00:09.747;1372648;10.09;86;4.23
UseCases/SecureMin;3;25;25000;1000;5;0:00:15.423;1372648;15.76;80;4.28
UseCases/SecureMin;3;25;25000;10000;0;0:00:29.399;13738648;29.76;490;4.80
UseCases/SecureMin;3;25;25000;10000;1;0:00:48.174;13738648;48.54;500;4.62
UseCases/SecureMin;3;25;25000;10000;2;0:01:00.991;13738648;61.58;484;4.70
UseCases/SecureMin;3;25;25000;10000;5;0:01:26.537;13738648;87.18;490;4.78
UseCases/SecureMin;3;25;10000;100;0;0:00:02.093;136048;2.44;61;4.07
UseCases/SecureMin;3;25;10000;100;1;0:00:03.102;136048;3.52;51;4.15
UseCases/SecureMin;3;25;10000;100;2;0:00:03.845;136048;4.18;51;4.13
UseCases/SecureMin;3;25;10000;100;5;0:00:05.989;136048;6.32;51;4.11
UseCases/SecureMin;3;25;10000;1000;0;0:00:03.679;1372648;4.13;84;4.37
UseCases/SecureMin;3;25;10000;1000;1;0:00:07.062;1372648;7.40;106;3.94
UseCases/SecureMin;3;25;10000;1000;2;0:00:09.868;1372648;10.21;94;4.09
UseCases/SecureMin;3;25;10000;1000;5;0:00:14.927;1372648;15.39;92;4.16
UseCases/SecureMin;3;25;10000;10000;0;0:00:29.053;13738648;29.39;492;4.70
UseCases/SecureMin;3;25;10000;10000;1;0:00:48.249;13738648;48.85;507;4.62
UseCases/SecureMin;3;25;10000;10000;2;0:01:01.083;13738648;61.41;486;4.60
UseCases/SecureMin;3;25;10000;10000;5;0:01:28.862;13738648;89.43;486;4.73
UseCases/SecureMin;3;25;1000;100;0;0:00:02.101;136048;2.44;49;4.07
UseCases/SecureMin;3;25;1000;100;1;0:00:03.021;136048;3.33;51;4.15
UseCases/SecureMin;3;25;1000;100;2;0:00:03.732;136048;4.05;46;4.08
UseCases/SecureMin;3;25;1000;100;5;0:00:05.969;136048;7.30;53;4.10
UseCases/SecureMin;3;25;1000;1000;0;0:00:03.626;1372648;3.98;102;4.16
UseCases/SecureMin;3;25;1000;1000;1;0:00:07.444;1372648;7.78;80;4.28
UseCases/SecureMin;3;25;1000;1000;2;0:00:09.657;1372648;9.97;88;4.25
UseCases/SecureMin;3;25;1000;1000;5;0:00:15.340;1372648;15.76;84;4.19
UseCases/SecureMin;3;25;1000;10000;0;0:00:29.940;13738648;30.30;494;4.88
UseCases/SecureMin;3;25;1000;10000;1;0:00:48.232;13738648;48.60;498;4.72
UseCases/SecureMin;3;25;1000;10000;2;0:00:59.374;13738648;60.02;502;4.86
UseCases/SecureMin;3;25;1000;10000;5;0:01:25.177;13738648;87.58;486;4.76
UseCases/SecureMin;3;25;100;100;0;0:00:02.060;136048;2.39;47;3.98
