program                 partysize  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/SecureAuction  3          1              25000            100         0:00:05.754          28142166    6.00                235156       4.44
UseCases/SecureAuction  3          1              25000            1000        0:00:42.684          268691546   42.88               1544640      7.91
UseCases/SecureAuction  3          1              25000            5000        0:03:57.987          1337828211  238.29              7600160      27.31
UseCases/SecureAuction  3          1              10000            100         0:00:05.783          28142277    5.97                235232       4.59
UseCases/SecureAuction  3          1              10000            1000        0:00:42.796          268691364   43.09               1518900      7.82
UseCases/SecureAuction  3          1              10000            5000        0:03:51.698          1337825652  231.93              7577404      28.21
UseCases/SecureAuction  3          1              1000             100         0:00:05.759          28142471    5.94                239856       4.59
UseCases/SecureAuction  3          1              1000             1000        0:00:49.565          268691360   49.81               1566648      8.11
UseCases/SecureAuction  3          1              1000             5000        0:03:35.597          1337824568  215.92              7308372      25.81
UseCases/SecureAuction  3          1              100              100         0:00:05.515          28142438    5.70                220020       4.43
UseCases/SecureAuction  3          1              100              1000        0:00:43.948          268691513   44.23               1528516      7.98
UseCases/SecureAuction  3          1              100              5000        0:04:22.064          1337828243  262.35              7312284      27.29
UseCases/SecureAuction  3          30             25000            100         0:00:05.753          28142652    6.04                230828       4.58
UseCases/SecureAuction  3          30             25000            1000        0:00:43.904          268691781   44.17               1586292      8.20
UseCases/SecureAuction  3          30             25000            5000        0:03:53.403          1337826516  233.72              7333436      25.70
UseCases/SecureAuction  3          30             10000            100         0:00:05.640          28142537    5.92                225344       4.55
UseCases/SecureAuction  3          30             10000            1000        0:00:48.990          268691234   49.28               1584548      7.92
UseCases/SecureAuction  3          30             10000            5000        0:03:35.492          1337825633  215.82              7599968      26.23
UseCases/SecureAuction  3          30             1000             100         0:00:05.640          28142216    5.82                219732       4.49
UseCases/SecureAuction  3          30             1000             1000        0:00:43.151          268691605   43.43               1545736      7.92
UseCases/SecureAuction  3          30             1000             5000        0:04:05.700          1337827208  245.97              7342104      28.10
UseCases/SecureAuction  3          30             100              100         0:00:05.735          28142071    6.02                233848       4.40
UseCases/SecureAuction  3          30             100              1000        0:00:43.199          268691248   43.48               1523916      7.80
UseCases/SecureAuction  3          30             100              5000        0:03:35.234          1337826090  215.56              7307680      26.46
UseCases/SecureAuction  3          100            25000            100         0:00:05.575          28142228    5.74                220564       4.41
UseCases/SecureAuction  3          100            25000            1000        0:00:42.996          268691098   43.29               1538488      7.93
UseCases/SecureAuction  3          100            25000            5000        0:03:55.440          1337827761  235.74              7319992      26.36
UseCases/SecureAuction  3          100            10000            100         0:00:05.783          28142403    6.06                212908       4.43
UseCases/SecureAuction  3          100            10000            1000        0:00:43.225          268691536   43.48               1566984      8.03
UseCases/SecureAuction  3          100            10000            5000        0:03:38.551          1337825716  218.79              7600140      26.16
UseCases/SecureAuction  3          100            1000             100         0:00:05.675          28142561    5.96                236680       4.48
UseCases/SecureAuction  3          100            1000             1000        0:00:42.832          268691991   43.12               1526952      7.91
UseCases/SecureAuction  3          100            1000             5000        0:03:39.650          1337826167  219.84              7323336      26.58
UseCases/SecureAuction  3          100            100              100         0:00:05.820          28142120    6.10                221620       4.46
UseCases/SecureAuction  3          100            100              1000        0:00:42.881          268691529   43.07               1523536      7.94
UseCases/SecureAuction  3          100            100              5000        0:03:36.637          1337825722  216.92              7312500      26.07
UseCases/SecureAuction  3          150            25000            100         0:00:05.696          28142446    5.88                217628       4.42
UseCases/SecureAuction  3          150            25000            1000        0:00:43.256          268690968   43.51               1622044      7.95
UseCases/SecureAuction  3          150            25000            5000        0:04:04.034          1337826058  244.33              7361292      27.71
UseCases/SecureAuction  3          150            10000            100         0:00:05.506          28142366    5.79                219732       4.55
UseCases/SecureAuction  3          150            10000            1000        0:00:44.389          268691472   44.69               1525148      7.97
UseCases/SecureAuction  3          150            10000            5000        0:04:06.004          1337826217  246.32              7365924      26.46
UseCases/SecureAuction  3          150            1000             100         0:00:05.771          28142291    6.06                223988       4.34
UseCases/SecureAuction  3          150            1000             1000        0:00:45.326          268690664   45.51               1577580      8.07
UseCases/SecureAuction  3          150            1000             5000        0:03:48.667          1337826420  228.99              7329960      26.87
UseCases/SecureAuction  3          150            100              100         0:00:05.562          28142372    5.80                215460       4.47
UseCases/SecureAuction  3          150            100              1000        0:00:42.950          268690890   43.12               1513784      7.81
UseCases/SecureAuction  3          150            100              5000        0:03:36.035          1337825942  216.31              7304092      26.28
