program                      partysize  param2  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/LogisticRegression  3          5       1              25000            100         0:00:05.091          30727619    5.39                169944       4.41
UseCases/LogisticRegression  3          5       1              25000            500         0:00:21.400          150397016   21.59               521380       5.78
UseCases/LogisticRegression  3          5       1              10000            100         0:00:05.334          30727860    5.62                159188       4.37
UseCases/LogisticRegression  3          5       1              10000            500         0:00:21.494          150396771   21.76               553640       5.72
UseCases/LogisticRegression  3          5       1              1000             100         0:00:05.155          30727689    5.43                179152       4.44
UseCases/LogisticRegression  3          5       1              1000             500         0:00:21.280          150396475   21.57               557752       5.86
UseCases/LogisticRegression  3          5       1              100              100         0:00:05.151          30727561    5.33                145056       4.62
UseCases/LogisticRegression  3          5       1              100              500         0:00:21.261          150396558   21.52               525444       5.84
UseCases/LogisticRegression  3          5       30             25000            100         0:00:05.025          30727480    5.20                149836       4.32
UseCases/LogisticRegression  3          5       30             25000            500         0:00:21.608          150396909   21.87               576420       5.77
UseCases/LogisticRegression  3          5       30             10000            100         0:00:05.118          30727567    5.40                152024       4.49
UseCases/LogisticRegression  3          5       30             10000            500         0:00:21.437          150396813   21.62               538764       5.95
UseCases/LogisticRegression  3          5       30             1000             100         0:00:05.041          30727513    5.22                155400       4.54
UseCases/LogisticRegression  3          5       30             1000             500         0:00:21.406          150396538   21.69               533388       5.69
UseCases/LogisticRegression  3          5       30             100              100         0:00:05.148          30727767    5.43                151432       4.39
UseCases/LogisticRegression  3          5       30             100              500         0:00:21.238          150396467   21.50               527132       5.83
UseCases/LogisticRegression  3          5       100            25000            100         0:00:05.162          30727593    5.35                155768       4.48
UseCases/LogisticRegression  3          5       100            25000            500         0:00:21.631          150396725   21.89               558972       6.04
UseCases/LogisticRegression  3          5       100            10000            100         0:00:04.975          30727519    5.25                155676       4.36
UseCases/LogisticRegression  3          5       100            10000            500         0:00:21.431          150396820   21.72               579248       5.81
UseCases/LogisticRegression  3          5       100            1000             100         0:00:05.137          30727591    5.40                152012       4.51
UseCases/LogisticRegression  3          5       100            1000             500         0:00:21.499          150396447   21.78               561924       5.75
UseCases/LogisticRegression  3          5       100            100              100         0:00:05.137          30727494    5.33                163664       4.54
UseCases/LogisticRegression  3          5       100            100              500         0:00:21.485          150396547   21.77               530204       5.82
UseCases/LogisticRegression  3          5       150            25000            100         0:00:04.948          30727719    5.13                154648       4.41
UseCases/LogisticRegression  3          5       150            25000            500         0:00:21.346          150396892   21.52               534136       5.67
UseCases/LogisticRegression  3          5       150            10000            100         0:00:05.198          30727451    5.39                155520       4.43
UseCases/LogisticRegression  3          5       150            10000            500         0:00:21.438          150396704   21.62               545240       5.78
UseCases/LogisticRegression  3          5       150            1000             100         0:00:05.133          30727744    5.32                146956       4.36
UseCases/LogisticRegression  3          5       150            1000             500         0:00:21.309          150396644   21.58               529532       5.78
UseCases/LogisticRegression  3          5       150            100              100         0:00:05.354          30727847    5.54                161360       4.49
UseCases/LogisticRegression  3          5       150            100              500         0:00:21.496          150396461   21.69               546016       5.84
UseCases/LogisticRegression  3          10      1              25000            100         0:00:05.147          30820728    5.34                154688       4.46
UseCases/LogisticRegression  3          10      1              25000            500         0:00:21.612          150490027   21.89               549540       5.87
UseCases/LogisticRegression  3          10      1              10000            100         0:00:05.409          30821128    5.68                165016       4.35
UseCases/LogisticRegression  3          10      1              10000            500         0:00:22.869          150490302   23.05               529392       5.91
UseCases/LogisticRegression  3          10      1              1000             100         0:00:05.002          30821086    5.18                156944       4.34
UseCases/LogisticRegression  3          10      1              1000             500         0:00:21.252          150490054   21.52               527768       5.69
UseCases/LogisticRegression  3          10      1              100              100         0:00:05.237          30820920    5.42                150852       4.41
UseCases/LogisticRegression  3          10      1              100              500         0:00:21.690          150489447   21.95               537564       5.95
UseCases/LogisticRegression  3          10      30             25000            100         0:00:04.997          30821175    5.25                145952       4.32
