program                      partysize  param2  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/LogisticRegression  3          5       1              25000            1000        0:00:42.583          299985253   42.89               1015240      7.68
UseCases/LogisticRegression  3          5       1              10000            1000        0:00:42.208          299986239   42.48               1071368      7.99
UseCases/LogisticRegression  3          5       1              1000             1000        0:00:42.343          299986555   42.63               1002804      7.89
UseCases/LogisticRegression  3          5       1              100              1000        0:00:42.886          299985523   43.08               1023236      7.75
UseCases/LogisticRegression  3          5       30             25000            1000        0:00:42.167          299986813   42.35               1003980      7.82
UseCases/LogisticRegression  3          5       30             10000            1000        0:00:42.452          299986611   42.73               1088236      7.82
UseCases/LogisticRegression  3          5       30             1000             1000        0:00:44.475          299985436   44.76               1005544      7.24
UseCases/LogisticRegression  3          5       30             100              1000        0:00:42.322          299985865   42.60               1007040      7.61
UseCases/LogisticRegression  3          5       100            25000            1000        0:00:42.519          299986776   42.81               1008176      7.92
UseCases/LogisticRegression  3          5       100            10000            1000        0:00:42.183          299986156   42.47               999680       7.74
UseCases/LogisticRegression  3          5       100            1000             1000        0:00:42.076          299986547   42.37               1029016      7.63
UseCases/LogisticRegression  3          5       100            100              1000        0:00:43.398          299986124   43.67               1000848      7.80
UseCases/LogisticRegression  3          5       150            25000            1000        0:00:42.241          299985646   42.52               1091564      7.77
UseCases/LogisticRegression  3          5       150            10000            1000        0:00:42.104          299986046   42.38               1063540      7.93
UseCases/LogisticRegression  3          5       150            1000             1000        0:00:42.271          299986039   42.56               1019936      7.77
UseCases/LogisticRegression  3          5       150            100              1000        0:00:43.238          299986306   43.53               1015236      7.84
UseCases/LogisticRegression  3          10      1              25000            1000        0:00:42.214          300079394   42.40               1007724      7.53
UseCases/LogisticRegression  3          10      1              10000            1000        0:00:42.222          300079724   42.49               1077928      7.42
UseCases/LogisticRegression  3          10      1              1000             1000        0:00:42.053          300079508   42.34               1011484      7.84
UseCases/LogisticRegression  3          10      1              100              1000        0:00:42.889          300079975   43.18               1012372      7.87
UseCases/LogisticRegression  3          10      30             25000            1000        0:00:42.690          300079571   42.88               1065936      7.63
UseCases/LogisticRegression  3          10      30             10000            1000        0:00:42.279          300079590   42.57               1062272      7.64
UseCases/LogisticRegression  3          10      30             1000             1000        0:00:42.237          300079647   42.41               1006088      7.87
UseCases/LogisticRegression  3          10      30             100              1000        0:00:42.563          300079687   42.75               998608       7.66
UseCases/LogisticRegression  3          10      100            25000            1000        0:00:42.833          300080101   43.09               1085524      7.78
UseCases/LogisticRegression  3          10      100            10000            1000        0:00:43.548          300079692   43.75               1013848      7.87
UseCases/LogisticRegression  3          10      100            1000             1000        0:00:42.031          300080204   42.22               1004920      7.83
UseCases/LogisticRegression  3          10      100            100              1000        0:00:42.151          300078770   42.44               1013388      7.85
UseCases/LogisticRegression  3          10      150            25000            1000        0:00:42.661          300079301   42.92               1030220      7.64
UseCases/LogisticRegression  3          10      150            10000            1000        0:00:42.194          300079707   42.49               1005760      7.49
UseCases/LogisticRegression  3          10      150            1000             1000        0:00:42.113          300079305   42.30               1021028      7.68
UseCases/LogisticRegression  3          10      150            100              1000        0:00:42.353          300079613   42.55               1003408      7.82
UseCases/LogisticRegression  3          10      1              25000            1000        0:00:42.212          300079458   42.50               1003556      7.62
UseCases/LogisticRegression  3          10      1              10000            1000        0:00:42.256          300078889   42.55               1007428      7.70
UseCases/LogisticRegression  3          10      1              1000             1000        0:00:42.247          300079346   42.54               1008132      7.54
UseCases/LogisticRegression  3          10      1              100              1000        0:00:42.618          300079129   42.88               1019404      7.50
UseCases/LogisticRegression  3          10      30             25000            1000        0:00:42.017          300079776   42.27               1071704      7.73
UseCases/LogisticRegression  3          10      30             10000            1000        0:00:41.817          300079195   42.01               1022244      7.52
UseCases/LogisticRegression  3          10      30             1000             1000        0:00:42.431          300078752   42.72               1040812      7.61
UseCases/LogisticRegression  3          10      30             100              1000        0:00:42.040          300079997   42.33               1013956      7.90
UseCases/LogisticRegression  3          10      100            25000            1000        0:00:42.730          300079558   43.01               1093856      7.68
UseCases/LogisticRegression  3          10      100            10000            1000        0:00:42.137          300079742   42.42               1007228      7.68
UseCases/LogisticRegression  3          10      100            1000             1000        0:00:42.339          300079273   42.62               1009700      7.50
UseCases/LogisticRegression  3          10      100            100              1000        0:00:42.755          300079585   43.04               1022120      7.75
UseCases/LogisticRegression  3          10      150            25000            1000        0:00:41.929          300080054   42.21               1060276      7.53
UseCases/LogisticRegression  3          10      150            10000            1000        0:00:42.330          300079287   42.60               1066020      7.73
UseCases/LogisticRegression  3          10      150            1000             1000        0:00:42.657          300079956   42.94               1007144      7.92
UseCases/LogisticRegression  3          10      150            100              1000        0:00:42.458          300079502   42.75               1004724      7.86
