program                      partysize  latencies(ms)  bandwidths(Mbs)  input_size  runtime_internal(s)  Bytes Send  runtimeExternal(s)  RAMused(MB)  System Time (s)
UseCases/NeuralNetworkLeNet  3          1              25000            1           0:00:01.002          3965888     1.27                76888        4.11
UseCases/NeuralNetworkLeNet  3          1              25000            16          0:00:10.469          63219894    10.74               357520       5.15
UseCases/NeuralNetworkLeNet  3          1              25000            64          0:00:46.787          252829878   47.07               1359000      8.11
UseCases/NeuralNetworkLeNet  3          1              25000            128         0:01:36.254          505644906   96.44               2612420      13.50
UseCases/NeuralNetworkLeNet  3          1              10000            1           0:00:00.913          3965895     1.19                83124        4.11
UseCases/NeuralNetworkLeNet  3          1              10000            16          0:00:10.607          63219667    10.88               373896       5.31
UseCases/NeuralNetworkLeNet  3          1              10000            64          0:00:50.957          252830382   51.25               1344588      8.50
UseCases/NeuralNetworkLeNet  3          1              10000            128         0:01:40.307          505642167   100.59              2509632      13.93
UseCases/NeuralNetworkLeNet  3          1              1000             1           0:00:00.930          3966076     1.22                66208        4.20
UseCases/NeuralNetworkLeNet  3          1              1000             16          0:00:11.945          63219355    12.23               379576       5.21
UseCases/NeuralNetworkLeNet  3          1              1000             64          0:00:46.076          252829088   46.37               1350484      8.43
UseCases/NeuralNetworkLeNet  3          1              1000             128         0:01:40.399          505646856   100.67              2603716      13.76
UseCases/NeuralNetworkLeNet  3          1              100              1           0:00:00.879          3965763     1.14                74264        4.17
UseCases/NeuralNetworkLeNet  3          1              100              16          0:00:14.462          63219118    14.72               384176       5.19
UseCases/NeuralNetworkLeNet  3          1              100              64          0:01:05.275          252830748   65.57               1341968      8.80
UseCases/NeuralNetworkLeNet  3          1              100              128         0:02:18.123          505645534   138.31              2612748      14.02
UseCases/NeuralNetworkLeNet  3          30             25000            1           0:00:00.731          3965898     0.91                76856        4.06
UseCases/NeuralNetworkLeNet  3          30             25000            16          0:00:10.427          63218670    10.69               378144       5.06
UseCases/NeuralNetworkLeNet  3          30             25000            64          0:00:50.047          252830458   50.32               1329688      8.57
UseCases/NeuralNetworkLeNet  3          30             25000            128         0:01:44.242          505646315   104.43              2675544      13.88
UseCases/NeuralNetworkLeNet  3          30             10000            1           0:00:00.998          3965719     1.28                72880        4.24
UseCases/NeuralNetworkLeNet  3          30             10000            16          0:00:11.482          63219825    11.75               392220       5.08
UseCases/NeuralNetworkLeNet  3          30             10000            64          0:00:47.637          252831275   47.91               1309220      8.46
UseCases/NeuralNetworkLeNet  3          30             10000            128         0:01:39.125          505644812   99.39               2614144      13.46
UseCases/NeuralNetworkLeNet  3          30             1000             1           0:00:00.736          3965808     0.91                67968        4.17
UseCases/NeuralNetworkLeNet  3          30             1000             16          0:00:10.587          63218981    10.87               369664       5.06
UseCases/NeuralNetworkLeNet  3          30             1000             64          0:00:47.858          252828933   48.05               1348084      8.20
UseCases/NeuralNetworkLeNet  3          30             1000             128         0:01:37.921          505644667   98.17               2588480      14.26
UseCases/NeuralNetworkLeNet  3          30             100              1           0:00:00.906          3965750     1.18                62356        4.14
UseCases/NeuralNetworkLeNet  3          30             100              16          0:00:13.138          63219700    13.40               396696       5.06
UseCases/NeuralNetworkLeNet  3          30             100              64          0:00:55.775          252829632   56.03               1373340      8.35
UseCases/NeuralNetworkLeNet  3          30             100              128         0:01:56.027          505644792   116.29              2595508      14.59
UseCases/NeuralNetworkLeNet  3          100            25000            1           0:00:00.808          3965953     1.05                70376        4.04
UseCases/NeuralNetworkLeNet  3          100            25000            16          0:00:12.185          63218755    12.47               396404       5.20
UseCases/NeuralNetworkLeNet  3          100            25000            64          0:00:47.664          252830644   47.85               1264048      8.30
UseCases/NeuralNetworkLeNet  3          100            25000            128         0:01:46.115          505643278   106.39              2638860      13.52
UseCases/NeuralNetworkLeNet  3          100            10000            1           0:00:00.754          3965867     1.01                67216        4.25
UseCases/NeuralNetworkLeNet  3          100            10000            16          0:00:11.483          63219795    11.73               382644       4.96
UseCases/NeuralNetworkLeNet  3          100            10000            64          0:00:47.275          252830757   47.56               1284920      8.24
UseCases/NeuralNetworkLeNet  3          100            10000            128         0:01:45.791          505644916   105.97              2545952      13.92
UseCases/NeuralNetworkLeNet  3          100            1000             1           0:00:00.885          3965855     1.15                82476        4.13
UseCases/NeuralNetworkLeNet  3          100            1000             16          0:00:10.674          63219338    10.86               382352       5.26
UseCases/NeuralNetworkLeNet  3          100            1000             64          0:00:42.192          252830084   42.39               1360500      8.33
UseCases/NeuralNetworkLeNet  3          100            1000             128         0:01:36.893          505642750   97.14               2595372      14.37
UseCases/NeuralNetworkLeNet  3          100            100              1           0:00:01.043          3965735     1.33                72344        4.09
UseCases/NeuralNetworkLeNet  3          100            100              16          0:00:13.380          63219653    13.68               386400       5.26
UseCases/NeuralNetworkLeNet  3          100            100              64          0:01:04.998          252829022   65.29               1331052      8.69
UseCases/NeuralNetworkLeNet  3          100            100              128         0:01:57.968          505645707   118.23              2615356      14.29
UseCases/NeuralNetworkLeNet  3          150            25000            1           0:00:00.800          3965810     1.08                61168        4.11
UseCases/NeuralNetworkLeNet  3          150            25000            16          0:00:11.214          63218718    11.46               362840       5.07
UseCases/NeuralNetworkLeNet  3          150            25000            64          0:00:47.405          252831037   47.66               1350596      8.40
UseCases/NeuralNetworkLeNet  3          150            25000            128         0:01:45.522          505641384   105.81              2644820      13.49
UseCases/NeuralNetworkLeNet  3          150            10000            1           0:00:00.679          3966270     0.95                60568        4.20
UseCases/NeuralNetworkLeNet  3          150            10000            16          0:00:11.448          63219429    11.73               388048       5.09
UseCases/NeuralNetworkLeNet  3          150            10000            64          0:00:42.780          252829651   43.06               1319304      8.32
UseCases/NeuralNetworkLeNet  3          150            10000            128         0:01:44.459          505644795   104.72              2586368      13.58
UseCases/NeuralNetworkLeNet  3          150            1000             1           0:00:00.671          3965695     0.92                74480        4.25
UseCases/NeuralNetworkLeNet  3          150            1000             16          0:00:10.533          63218803    10.82               366896       5.14
UseCases/NeuralNetworkLeNet  3          150            1000             64          0:00:47.680          252829126   47.87               1340944      8.05
UseCases/NeuralNetworkLeNet  3          150            1000             128         0:01:35.789          505645277   96.04               2591912      13.57
UseCases/NeuralNetworkLeNet  3          150            100              1           0:00:00.735          3965825     0.98                64172        4.09
UseCases/NeuralNetworkLeNet  3          150            100              16          0:00:13.430          63219462    13.71               381496       5.06
UseCases/NeuralNetworkLeNet  3          150            100              64          0:01:09.396          252828632   69.59               1359160      9.13
UseCases/NeuralNetworkLeNet  3          150            100              128         0:01:56.319          505644498   116.56              2590756      14.23
