program;partysize;param2;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
UseCases/LogisticRegression;3;5;1;25000;10000;0:07:21.194;2992675373;441.51;9594832;45.70
UseCases/LogisticRegression;3;5;1;10000;10000;0:07:21.380;2992680562;441.72;9754412;45.63
UseCases/LogisticRegression;3;5;1;1000;10000;0:07:43.501;2992676766;463.83;9593320;46.97
UseCases/LogisticRegression;3;5;1;100;10000;0:08:37.704;2992678476;517.93;9575724;47.46
UseCases/LogisticRegression;3;5;30;25000;10000;0:07:18.099;2992677826;438.42;10216060;46.41
UseCases/LogisticRegression;3;5;30;10000;10000;0:07:20.863;2992679864;441.21;9639208;45.94
UseCases/LogisticRegression;3;5;30;1000;10000;0:07:21.438;2992678486;441.75;9637440;45.76
UseCases/LogisticRegression;3;5;30;100;10000;0:07:59.879;2992677287;480.22;9579552;45.53
UseCases/LogisticRegression;3;5;100;25000;10000;0:07:18.120;2992679635;438.33;9579120;45.44
UseCases/LogisticRegression;3;5;100;10000;10000;0:07:18.588;2992676494;438.81;9583060;44.88
UseCases/LogisticRegression;3;5;100;1000;10000;0:07:25.785;2992679602;446.09;9601080;45.25
UseCases/LogisticRegression;3;5;100;100;10000;0:07:55.729;2992679306;476.07;9570132;46.54
UseCases/LogisticRegression;3;5;150;25000;10000;0:07:24.982;2992677116;445.24;9644076;44.70
UseCases/LogisticRegression;3;5;150;10000;10000;0:07:19.348;2992676607;439.58;9616120;45.37
UseCases/LogisticRegression;3;5;150;1000;10000;0:07:18.467;2992678449;438.69;9575584;45.23
UseCases/LogisticRegression;3;5;150;100;10000;0:07:49.692;2992679208;470.00;9577744;46.52
UseCases/LogisticRegression;3;10;1;25000;10000;0:07:20.480;2992771531;440.83;9584720;45.60
UseCases/LogisticRegression;3;10;1;10000;10000;0:07:32.609;2992770172;452.95;9778080;45.94
UseCases/LogisticRegression;3;10;1;1000;10000;0:07:32.720;2992771535;453.06;9625368;46.60
UseCases/LogisticRegression;3;10;1;100;10000;0:08:37.163;2992773671;517.51;9585296;48.46
UseCases/LogisticRegression;3;10;30;25000;10000;0:07:20.510;2992770246;440.82;9581044;45.63
UseCases/LogisticRegression;3;10;30;10000;10000;0:07:18.924;2992770459;439.25;9658384;45.38
UseCases/LogisticRegression;3;10;30;1000;10000;0:07:20.564;2992769791;440.93;9670360;45.49
UseCases/LogisticRegression;3;10;30;100;10000;0:07:58.090;2992771180;478.42;9584436;47.49
UseCases/LogisticRegression;3;10;100;25000;10000;0:07:25.375;2992768723;445.71;9592640;45.65
UseCases/LogisticRegression;3;10;100;10000;10000;0:07:24.866;2992770939;445.12;9616480;45.83
UseCases/LogisticRegression;3;10;100;1000;10000;0:07:21.468;2992769955;441.72;9602684;45.13
UseCases/LogisticRegression;3;10;100;100;10000;0:07:53.004;2992771513;473.34;9594544;46.27
UseCases/LogisticRegression;3;10;150;25000;10000;0:07:21.595;2992769248;441.91;9642164;45.29
UseCases/LogisticRegression;3;10;150;10000;10000;0:07:20.764;2992771071;441.12;9585296;45.44
UseCases/LogisticRegression;3;10;150;1000;10000;0:07:20.240;2992772287;440.55;9581428;44.64
UseCases/LogisticRegression;3;10;150;100;10000;0:08:02.555;2992769988;482.89;9588412;48.77
